Sample,Feature,Feature Value,SHAP Value
MBE3-250619A-GG,T Sub (°C),400.0,[-0.03220437  0.03220437]
MBE3-250619A-GG,Ripening time (s),0.0,[ 0.18309581 -0.18309581]
MBE3-250619A-GG,Bi surfactant,0.0,[ 0.0443765 -0.0443765]
MBE3-250619A-GG,In/Ga ratio,0.0,[-0.01335425  0.01335425]
MBE3-250619A-GG,V/III ratio,3.5,[-0.11048511  0.11048511]
MBE3-250620A-GG,T Sub (°C),400.0,[-0.03220437  0.03220437]
MBE3-250620A-GG,Ripening time (s),0.0,[ 0.18309581 -0.18309581]
MBE3-250620A-GG,Bi surfactant,0.0,[ 0.0443765 -0.0443765]
MBE3-250620A-GG,In/Ga ratio,0.0,[-0.01335425  0.01335425]
MBE3-250620A-GG,V/III ratio,3.5,[-0.11048511  0.11048511]
MBE3-250701A-GG,T Sub (°C),400.0,[-0.03220437  0.03220437]
MBE3-250701A-GG,Ripening time (s),0.0,[ 0.18309581 -0.18309581]
MBE3-250701A-GG,Bi surfactant,0.0,[ 0.0443765 -0.0443765]
MBE3-250701A-GG,In/Ga ratio,0.0,[-0.01335425  0.01335425]
MBE3-250701A-GG,V/III ratio,3.5,[-0.11048511  0.11048511]
MBE3-250702A-GG,T Sub (°C),400.0,[-0.03220437  0.03220437]
MBE3-250702A-GG,Ripening time (s),0.0,[ 0.18309581 -0.18309581]
MBE3-250702A-GG,Bi surfactant,0.0,[ 0.0443765 -0.0443765]
MBE3-250702A-GG,In/Ga ratio,0.0,[-0.01335425  0.01335425]
MBE3-250702A-GG,V/III ratio,3.5,[-0.11048511  0.11048511]
MBE3-250703A-GG,T Sub (°C),400.0,[-0.03220437  0.03220437]
MBE3-250703A-GG,Ripening time (s),0.0,[ 0.18309581 -0.18309581]
MBE3-250703A-GG,Bi surfactant,0.0,[ 0.0443765 -0.0443765]
MBE3-250703A-GG,In/Ga ratio,0.0,[-0.01335425  0.01335425]
MBE3-250703A-GG,V/III ratio,3.5,[-0.11048511  0.11048511]
MBE3-250707A-GG,T Sub (°C),400.0,[-0.03220437  0.03220437]
MBE3-250707A-GG,Ripening time (s),0.0,[ 0.18309581 -0.18309581]
MBE3-250707A-GG,Bi surfactant,0.0,[ 0.0443765 -0.0443765]
MBE3-250707A-GG,In/Ga ratio,0.0,[-0.01335425  0.01335425]
MBE3-250707A-GG,V/III ratio,3.5,[-0.11048511  0.11048511]
MBE3-251113A-MM,T Sub (°C),400.0,[-0.00445632  0.00445632]
MBE3-251113A-MM,Ripening time (s),0.0,[ 0.23902522 -0.23902522]
MBE3-251113A-MM,Bi surfactant,0.0,[ 0.05613799 -0.05613799]
MBE3-251113A-MM,In/Ga ratio,0.0,[ 0.0087956 -0.0087956]
MBE3-251113A-MM,V/III ratio,2.92,[ 0.20049751 -0.20049751]
MBE3-251114A-MM,T Sub (°C),425.0,[ 0.12234563 -0.12234563]
MBE3-251114A-MM,Ripening time (s),0.0,[ 0.17668109 -0.17668109]
MBE3-251114A-MM,Bi surfactant,0.0,[ 0.05111835 -0.05111835]
MBE3-251114A-MM,In/Ga ratio,0.0,[ 0.00177391 -0.00177391]
MBE3-251114A-MM,V/III ratio,2.92,[ 0.14808102 -0.14808102]
MBE3-251114B-MM,T Sub (°C),375.0,[-0.00849788  0.00849788]
