label,area,perimeter,solidity,major_axis_length,minor_axis_length,aspect_ratio,circularity,length_um,width_um,area_um2,length_nm,width_nm,area_nm2
1,1156.0,134.8111831820431,0.9498767460969597,40.71452302091484,36.78168836304556,1.1069237121213986,0.7993111246511428,0.09153683352700198,0.0826947986791008,0.0058432020199055985,91.53683352700199,82.6947986791008,5843.202019905599
2,968.0,128.22539674441617,0.9434697855750487,36.610859500294104,34.55669422191102,1.0594433386825703,0.7398388250087209,0.08231073098013121,0.07769243335135367,0.004892923490716799,82.31073098013121,77.69243335135367,4892.923490716799
3,897.0,125.05382386916237,0.9392670157068063,39.27632023512042,29.79096502260772,1.3183970443829018,0.7207893398506632,0.08830337973181183,0.06697783502172802,0.004534041705757199,88.30337973181183,66.97783502172803,4534.041705757199
4,902.0,131.29646455628165,0.9111111111111111,41.73167359501003,28.779005654013545,1.4500735048568327,0.6575220746064625,0.09382365247671724,0.06470268725169248,0.004559315070895199,93.82365247671724,64.70268725169248,4559.315070895199
5,259.0,94.91168824543142,0.7275280898876404,38.40947557979153,10.090293246423181,3.806576740810478,0.36130188809246533,0.0863544875670221,0.022685602694203378,0.0013091603141483998,86.3544875670221,22.68560269420338,1309.1603141483997
6,486.0,117.63961030678928,0.7534883720930232,38.4325992356062,19.860815405950206,1.9350967445219784,0.44130513296574414,0.08640647555744398,0.044652276844581604,0.0024565710914135996,86.40647555744398,44.6522768445816,2456.5710914135993
7,1090.0,140.46803743153546,0.922165820642978,43.823986477065155,33.24083422328346,1.318378058224807,0.6941947623783591,0.09852771583692649,0.07473403795083926,0.005509593600083999,98.52771583692649,74.73403795083925,5509.593600083999
8,747.0,109.49747468305833,0.9325842696629213,32.31505091665251,30.213782548848354,1.0695466833524374,0.7829287828294103,0.07265263637387316,0.0679284387532738,0.0037758407516171994,72.65263637387316,67.9284387532738,3775.840751617199
9,637.0,145.33809511662426,0.6871628910463862,46.99159777112618,20.52871018680123,2.2890672304068596,0.3789573796870627,0.10564932960491213,0.04615387796457773,0.003219826718581199,105.64932960491213,46.15387796457773,3219.826718581199
10,1104.0,136.22539674441617,0.9419795221843004,41.655406702781434,34.76515915573556,1.1981940458313456,0.747588779682647,0.09365218467359537,0.07816111672347402,0.005580359022470399,93.65218467359537,78.16111672347402,5580.3590224703985
11,1051.0,133.88225099390857,0.9309123117803366,39.30976148187704,35.04680722226669,1.1216360232923561,0.7368287596674507,0.08837856434924486,0.07879433480553331,0.0053124613520075985,88.37856434924485,78.79433480553331,5312.461352007599
12,804.0,118.32590180780451,0.9327146171693735,35.54353346092706,29.905254012511552,1.188538089195183,0.7216161870838544,0.07991110453886385,0.06723478638616921,0.004063957114190399,79.91110453886385,67.23478638616922,4063.9571141903994
13,1015.0,132.12489168102783,0.9337626494940202,38.389097865091436,34.39879393755657,1.1160012741952055,0.730645338300098,0.08630867316617047,0.07733743245805093,0.005130493123013999,86.30867316617046,77.33743245805093,5130.493123013999
14,970.0,133.63961030678928,0.9282296650717703,43.032065379190854,29.846370893707952,1.4417855200031249,0.6825134231364088,0.09674727130941962,0.06710240182548784,0.004903032836771999,96.74727130941962,67.10240182548783,4903.0328367719985
