label,area,bbox-0,bbox-1,bbox-2,bbox-3,major_axis_length,minor_axis_length,eccentricity,perimeter,solidity,area_um2,area_nm2,equiv_diameter_nm,major_axis_length_nm,minor_axis_length_nm,bbox_height_px,bbox_width_px,bbox_height_nm,bbox_width_nm,bbox_major_nm,bbox_minor_nm,aspect_ratio,fraction_of_total_grain_area,sample_id,field_of_view_area_um2,masked_area_um2,masked_area_fraction,grain_area_fraction_of_total_grain_area,grain_area_fraction_of_fov,area_rank
63,4.0,18,113,21,115,3.4641016151377544,1.4142135623730951,0.9128709291752769,3.2071067811865475,0.8,0.00152587890625,1525.87890625,44.07731121466846,67.65823467065927,27.621358640099515,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,88
78,4.0,22,30,25,32,3.23606797749979,1.2360679774997898,0.9241763718304448,4.414213562373095,1.0,0.00152587890625,1525.87890625,44.07731121466846,63.20445268554277,24.14195268554277,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,89
80,10.0,22,101,31,103,9.872263931955313,1.1909680339178828,0.9926965927781928,8.207106781186548,0.7692307692307693,0.003814697265625,3814.697265625,69.69234828721763,192.8176549210022,23.261094412458647,9,2,175.78125,39.0625,175.78125,39.0625,4.5,0.005385029617662897,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.011834319526627219,0.000152587890625,3
87,8.0,23,79,26,82,3.4641016151377544,2.7386127875258306,0.6123724356957945,7.414213562373095,1.0,0.0030517578125,3051.7578125,62.334731312723854,67.65823467065927,53.48853100636388,3,3,58.59375,58.59375,58.59375,58.59375,1.0,0.004308023694130318,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.009467455621301775,0.0001220703125,10
89,4.0,23,198,27,199,4.47213595499958,0.0,1.0,2.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,87.34640537108554,0.0,4,1,78.125,19.53125,78.125,19.53125,4.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,90
91,8.0,24,242,27,245,3.4641016151377544,2.7386127875258306,0.6123724356957945,7.414213562373095,1.0,0.0030517578125,3051.7578125,62.334731312723854,67.65823467065927,53.48853100636388,3,3,58.59375,58.59375,58.59375,58.59375,1.0,0.004308023694130318,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.009467455621301775,0.0001220703125,11
96,7.0,26,68,30,70,4.155374705678736,1.9054711331003737,0.8886656215775005,7.207106781186548,1.0,0.0026702880859375,2670.2880859375,58.30880196720553,81.15966222028781,37.21623306836668,4,2,78.125,39.0625,78.125,39.0625,2.0,0.003769520732364028,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.008284023668639054,0.0001068115234375,17
99,4.0,28,56,31,58,2.8284271247461903,1.7320508075688772,0.7905694150420949,4.621320343559642,1.0,0.00152587890625,1525.87890625,44.07731121466846,55.24271728019903,33.829117335329634,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,91
100,6.0,28,210,31,212,3.265986323710904,2.0,0.7905694150420949,6.0,1.0,0.002288818359375,2288.818359375,53.983460854896165,63.7887953849786,39.0625,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,28
101,5.0,29,41,32,44,4.0,2.1166010488516727,0.848528137423857,3.0,0.8333333333333334,0.0019073486328125,1907.3486328125,49.27993207070625,78.125,41.33986423538423,3,3,58.59375,58.59375,58.59375,58.59375,1.0,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,55
