label,area,perimeter,solidity,major_axis_length,minor_axis_length,aspect_ratio,circularity,length_um,width_um,area_um2,length_nm,width_nm,area_nm2,scan_width,scan_height
1,640.0,94.62741699796952,0.9770992366412213,29.67215162384097,28.014888969069496,1.0591564955549606,0.8981644615934729,0.06671071160981669,0.06298475427360017,0.0032349907376639994,66.7107116098167,62.984754273600174,3234.9907376639994,3.4533273599999994,2.2797356399999997
2,1064.0,133.94112549695427,0.95,53.65008834245504,26.004874770509197,2.0630781273093026,0.7452870997773684,0.12061934761680795,0.058465719751545,0.005378172101366398,120.61934761680796,58.465719751545,5378.172101366399,3.4533273599999994,2.2797356399999997
3,685.0,101.11269837220809,0.9422283356258597,32.14913164075793,27.995171923233496,1.1483812897779355,0.8419552989814486,0.07227960670265042,0.06294042522812893,0.003462451023905999,72.27960670265041,62.94042522812893,3462.451023905999,3.4533273599999994,2.2797356399999997
4,722.0,102.5269119345812,0.95,32.4106848151944,29.087713043731238,1.1142397054889575,0.8631202541447647,0.07286764624260895,0.06539674172769919,0.0036494739259271994,72.86764624260896,65.39674172769918,3649.473925927199,3.4533273599999994,2.2797356399999997
5,426.0,81.698484809835,0.9466666666666667,30.762219499924484,18.080441502265153,1.7014086462474123,0.802031561345916,0.06916146761290021,0.04064953341188265,0.0021532907097575995,69.16146761290021,40.64953341188264,2153.2907097575994,3.4533273599999994,2.2797356399999997
6,686.0,106.2842712474619,0.9308005427408412,37.03072079562393,24.535427417147332,1.5092755535101818,0.7631255276146822,0.08325468833596944,0.05516202004487566,0.0034675056969335994,83.25468833596945,55.16202004487565,3467.505696933599,3.4533273599999994,2.2797356399999997
7,776.0,105.11269837220809,0.9568434032059187,34.991979698035,28.83057209206218,1.2137109033528066,0.8825944965741775,0.07867106827590417,0.06481862201169972,0.003922426269417599,78.67106827590416,64.8186220116997,3922.426269417599,3.4533273599999994,2.2797356399999997
8,752.0,102.2842712474619,0.9665809768637532,32.65123499899337,29.85563308295917,1.0936373349801736,0.9032542092393873,0.07340846559883682,0.06712322563509378,0.0038011141167551992,73.40846559883681,67.12322563509377,3801.114116755199,3.4533273599999994,2.2797356399999997
9,672.0,102.5269119345812,0.9424964936886395,37.329265253961154,23.541183977681847,1.5857004171647042,0.8033473833591163,0.0839258938998707,0.05292670228966298,0.0033967402745471993,83.92589389987069,52.926702289662984,3396.740274547199,3.4533273599999994,2.2797356399999997
10,821.0,105.69848480983501,0.9750593824228029,33.76086950128435,31.521026545954122,1.0710586932206914,0.923454490904512,0.07590321246495754,0.07086746314220681,0.004149886555659599,75.90321246495753,70.8674631422068,4149.886555659599,3.4533273599999994,2.2797356399999997
12,640.0,95.35533905932738,0.9538002980625931,31.580829883756273,26.162593545761982,1.2070985939722316,0.8845040148328873,0.07100191659445387,0.05882031256519483,0.0032349907376639994,71.00191659445387,58.820312565194826,3234.9907376639994,3.4533273599999994,2.2797356399999997
15,878.0,117.84062043356595,0.9222689075630253,38.14204780044802,30.274018874129926,1.259893770927175,0.7945373894359926,0.08575324038783526,0.06806386567395134,0.004438002918232799,85.75324038783525,68.06386567395134,4438.002918232799,3.4533273599999994,2.2797356399999997
16,454.0,78.8700576850888,0.9578059071729957,25.107767703999695,23.277862536522367,1.078611391600335,0.9171521742204115,0.056448789818194345,0.05233468722636177,0.0022948215545303993,56.44878981819435,52.33468722636177,2294.8215545303997,3.4533273599999994,2.2797356399999997
17,813.0,107.94112549695427,0.9609929078014184,36.13361978473139,29.225175917024284,1.2363867333877292,0.8768524613125068,0.08123777201722018,0.06570579400720901,0.004109449171438799,81.23777201722018,65.70579400720901,4109.4491714388,3.4533273599999994,2.2797356399999997
18,352.0,74.04163056034261,0.9095607235142119,22.716804951282434,20.673695984429813,1.0988264976127815,0.8068644458478114,0.05107328389977024,0.04647984373395417,0.0017792449057151996,51.07328389977024,46.47984373395416,1779.2449057151996,3.4533273599999994,2.2797356399999997
19,699.0,100.2842712474619,0.9562243502051984,32.22024827891836,28.197207883603703,1.142675133365031,0.8734165038703434,0.072439495395561,0.06339465459639085,0.0035332164462923994,72.43949539556098,63.39465459639085,3533.2164462923993,3.4533273599999994,2.2797356399999997
20,694.0,100.01219330881975,0.9480874316939891,32.17291135215316,27.71041995699469,1.1610401936197303,0.8718934823437322,0.07233306967659185,0.06230022877251288,0.003507943081154399,72.33306967659185,62.300228772512874,3507.9430811543994,3.4533273599999994,2.2797356399999997
21,700.0,104.5269119345812,0.9308510638297872,33.905116412953525,27.265497585319988,1.2435172439768116,0.8051034057740752,0.07622751702658688,0.06129992760117151,0.003538271119319999,76.22751702658688,61.29992760117151,3538.2711193199993,3.4533273599999994,2.2797356399999997
22,508.0,84.8700576850888,0.9495327102803738,29.36541263502967,22.364850140396694,1.3130162934554233,0.8862670058344551,0.0660210826108318,0.050281997976648264,0.0025677738980207994,66.0210826108318,50.28199797664826,2567.7738980207996,3.4533273599999994,2.2797356399999997
23,754.0,113.11269837220809,0.9117291414752116,42.04729961915643,23.95514310382231,1.755251447963478,0.7405569876512972,0.09453326184176464,0.05385739003459954,0.0038112234628103992,94.53326184176463,53.85739003459954,3811.2234628103993,3.4533273599999994,2.2797356399999997
24,1220.0,131.59797974644667,0.9690230341540905,43.89394217572002,35.984580768998214,1.2197986259030134,0.8852608338279346,0.09868499443598429,0.08090269355970792,0.006166701093671999,98.68499443598428,80.90269355970791,6166.701093671999,3.4533273599999994,2.2797356399999997
25,1054.0,123.01219330881975,0.9723247232472325,42.66145426342327,31.937776438885706,1.3357678279531382,0.8752944017847262,0.095914041162284,0.07180442525648917,0.005327625371090399,95.914041162284,71.80442525648917,5327.625371090399,3.4533273599999994,2.2797356399999997
26,564.0,94.5269119345812,0.912621359223301,32.23119371199024,22.96142546751798,1.4037104864236583,0.7931914558043015,0.07246410357491916,0.05162325442160197,0.0028508355875663995,72.46410357491916,51.62325442160197,2850.835587566399,3.4533273599999994,2.2797356399999997
27,607.0,91.45584412271572,0.9790322580645161,30.568183728796047,25.714120582183792,1.1887703346143375,0.911959664151309,0.068725224750103,0.057812028740100524,0.0030681865277531993,68.725224750103,57.81202874010052,3068.1865277531992,3.4533273599999994,2.2797356399999997
28,1055.0,124.8700576850888,0.9652333028362305,37.68987609655939,36.74008023786749,1.0258517633206734,0.8502481564883294,0.0847366408328506,0.08260125279558796,0.0053326800441179985,84.7366408328506,82.60125279558795,5332.6800441179985,3.4533273599999994,2.2797356399999997
29,514.0,84.04163056034261,0.9716446124763705,27.563795160675134,24.1671264734688,1.1405491335900142,0.9145007019809795,0.06197057810793947,0.05433398376524096,0.0025981019361863995,61.97057810793947,54.33398376524096,2598.1019361863996,3.4533273599999994,2.2797356399999997
30,819.0,107.94112549695429,0.9635294117647059,36.15025503975022,29.468843413629745,1.2267279897055692,0.8833236971893517,0.08127517239566882,0.06625362189312721,0.004139777209604399,81.27517239566882,66.2536218931272,4139.777209604399,3.4533273599999994,2.2797356399999997
31,677.0,113.59797974644667,0.9136302294197031,43.802841406261365,20.563826700709594,2.1300919349193825,0.6592608969761851,0.09848017622004117,0.04623282901813735,0.003422013639685199,98.48017622004116,46.232829018137345,3422.0136396851995,3.4533273599999994,2.2797356399999997
32,427.0,86.76955262170047,0.9282608695652174,28.11501818681913,20.15875263301362,1.3946804496611402,0.7126938686025328,0.06320987078869797,0.045322117194699196,0.0021583453827851997,63.20987078869796,45.322117194699196,2158.3453827851995,3.4533273599999994,2.2797356399999997
33,860.0,119.45584412271572,0.945054945054945,47.281815546595205,24.092635351149262,1.9625007749241419,0.757344563419701,0.10630181462078812,0.05416650835457484,0.004347018803735999,106.30181462078812,54.16650835457483,4347.018803735999,3.4533273599999994,2.2797356399999997
34,836.0,109.69848480983501,0.9698375870069605,37.2780212267943,29.084270559863928,1.2817244685599125,0.8730012859962007,0.08381068400335255,0.06538900212891967,0.004225706651073599,83.81068400335255,65.38900212891967,4225.7066510735995,3.4533273599999994,2.2797356399999997
35,640.0,95.11269837220809,0.963855421686747,33.0061289582312,25.00192066882286,1.3201437359726331,0.8890226630973773,0.07420635949163287,0.05621081816288767,0.0032349907376639994,74.20635949163287,56.21081816288767,3234.9907376639994,3.4533273599999994,2.2797356399999997
36,520.0,93.59797974644665,0.8888888888888888,28.052354017657958,24.9719615973726,1.123354042824151,0.7458994002037999,0.06306898544373968,0.05614346238090892,0.0026284299743519995,63.06898544373967,56.143462380908915,2628.4299743519996,3.4533273599999994,2.2797356399999997
38,771.0,115.59797974644665,0.9189511323003575,39.93454068005528,25.823052796377404,1.546468614495398,0.7250429828792222,0.08978323042934107,0.058056936679983455,0.003897152904279599,89.78323042934107,58.05693667998345,3897.152904279599,3.4533273599999994,2.2797356399999997
39,340.0,69.698484809835,0.9444444444444444,23.354340376218808,18.837211299349825,1.239798184831366,0.8795126840674414,0.05250662929423769,0.04235094867587623,0.0017185888293839997,52.50662929423769,42.35094867587623,1718.5888293839996,3.4533273599999994,2.2797356399999997
40,465.0,82.2842712474619,0.9393939393939394,28.273236129160445,21.236447320705174,1.3313543316444705,0.8630364981879748,0.06356558585974625,0.04774505505324861,0.0023504229578339996,63.56558585974625,47.745055053248606,2350.4229578339996,3.4533273599999994,2.2797356399999997
41,701.0,97.4558441227157,0.979050279329609,32.6999397763685,27.76492918698537,1.177742595925524,0.9274961316328985,0.07351796660161825,0.06242277969393172,0.0035433257923475994,73.51796660161824,62.422779693931716,3543.3257923475994,3.4533273599999994,2.2797356399999997
42,631.0,116.18376618407356,0.8715469613259669,45.72563735430429,19.155888420059465,2.387027756249707,0.5874194503377675,0.10280312143818815,0.04306741769928289,0.003189498680415599,102.80312143818814,43.067417699282885,3189.498680415599,3.4533273599999994,2.2797356399999997
43,524.0,84.04163056034261,0.9721706864564007,27.685632821943667,24.576097198277846,1.1265268280222995,0.9322925444319714,0.062244500848263065,0.055253456287000145,0.0026486486664623996,62.24450084826306,55.25345628700014,2648.6486664623994,3.4533273599999994,2.2797356399999997
44,786.0,103.94112549695429,0.969173859432799,33.379166164080814,30.461682105519237,1.0957755401837435,0.9142344447549594,0.07504504412005632,0.06848578141055467,0.0039729729996935996,75.04504412005632,68.48578141055467,3972.9729996935994,3.4533273599999994,2.2797356399999997
45,437.0,79.21320343559643,0.95,26.242995175120413,21.762914551378547,1.2058584852302368,0.8751775071561917,0.05900107633241621,0.04892869026928233,0.0022088921130611994,59.00107633241621,48.92869026928233,2208.8921130611993,3.4533273599999994,2.2797356399999997
46,630.0,94.52691193458118,0.9545454545454546,31.264594659613074,26.11621045558618,1.1971336619752835,0.8860117325473583,0.07029093758942168,0.05871603131887618,0.0031844440073879993,70.29093758942169,58.716031318876176,3184.444007387999,3.4533273599999994,2.2797356399999997
47,678.0,98.8700576850888,0.9658119658119658,32.81531515066633,26.946482419097563,1.217795875554035,0.8715854723933867,0.07377736044063707,0.06058269856356028,0.0034270683127127994,73.77736044063707,60.58269856356028,3427.068312712799,3.4533273599999994,2.2797356399999997
48,856.0,123.18376618407356,0.8879668049792531,42.62619034758746,26.74187838922846,1.5939863956885372,0.7088864462242327,0.09583475871086697,0.06012269550736677,0.004326800111625599,95.83475871086696,60.12269550736677,4326.800111625599,3.4533273599999994,2.2797356399999997
49,767.0,108.18376618407356,0.9457459926017263,36.29840901890779,27.502804301324478,1.3198075593025884,0.8235330542435637,0.08160826106084962,0.061833454798495766,0.003876934212169199,81.60826106084961,61.833454798495765,3876.9342121691993,3.4533273599999994,2.2797356399999997
