3.07369e-09	1.10193e-08	4.2905e-25
4.55216e-09	1.232e-08	1.57638e-24
5.72947e-09	3.69599e-08	1.84433e-23
1.01507e-08	3.81721e-08	2.79117e-23
9.26275e-09	3.57067e-08	2.18061e-23
4.76023e-09	2.86291e-08	6.7835e-24
1.4483e-08	4.04876e-08	4.13942e-23
3.61223e-09	5.50966e-09	8.37936e-26
9.52433e-09	3.52791e-08	2.06998e-23
1.01655e-08	4.9587e-08	6.17042e-23
1.32487e-08	3.73684e-08	3.11202e-23
1.05923e-08	3.61293e-08	2.37076e-23
8.50578e-09	3.93469e-08	2.83804e-23
1.01718e-08	2.13388e-08	7.02948e-24
9.41071e-09	3.69599e-08	2.36278e-23
8.77957e-09	3.6547e-08	2.36586e-23
1.03955e-08	3.57067e-08	2.42232e-23
6.10612e-09	2.64234e-08	8.01552e-24
1.70855e-08	4.70746e-08	7.75099e-23
1.36561e-08	3.6547e-08	2.81435e-23
3.23576e-09	1.82735e-08	6.3798e-25
3.07017e-09	9.54302e-09	1.14214e-25
3.89995e-09	5.50966e-09	8.44993e-26
7.43222e-09	3.25956e-08	1.71652e-23
1.34265e-08	4.23205e-08	4.46418e-23
5.73522e-09	1.98654e-08	4.21549e-24
4.71084e-09	2.27169e-08	3.9695e-24
1.05301e-08	2.86291e-08	7.305e-24
1.04969e-08	3.52791e-08	2.05326e-23
7.73468e-09	3.97308e-08	2.9533e-23
9.00686e-09	3.48462e-08	2.25493e-23
3.66136e-09	7.79184e-09	1.66815e-25
3.32187e-09	2.27169e-08	2.05704e-24
9.67732e-09	4.47607e-08	4.34124e-23
5.01331e-09	3.3514e-08	1.24404e-23
8.40239e-09	3.16506e-08	1.11227e-23
4.81571e-09	2.40161e-08	5.20953e-24
3.7829e-09	1.55837e-08	1.05891e-24
8.26584e-09	3.73684e-08	1.87177e-23
9.64087e-09	3.52791e-08	2.21821e-23
8.03574e-09	5.04969e-08	5.0048e-23
4.27582e-09	3.25956e-08	6.9412e-24
3.03624e-09	7.79184e-09	2.16668e-25
3.97613e-09	2.27169e-08	1.96625e-24
6.40657e-09	3.52791e-08	1.72553e-23
9.31432e-09	3.39638e-08	2.07248e-23
5.90135e-09	2.464e-08	4.02907e-24
3.87577e-09	1.55837e-08	9.56333e-25
5.94e-09	1.98654e-08	2.34409e-24
5.15826e-09	2.75483e-08	7.09827e-24
1.01452e-08	2.96704e-08	1.46993e-23
8.6735e-09	4.70746e-08	4.67322e-23
2.00285e-08	4.23205e-08	5.42571e-23
1.32271e-08	4.866e-08	6.73748e-23
1.17604e-08	3.21266e-08	1.89034e-23
4.24384e-09	1.82735e-08	1.94834e-24
5.43555e-09	2.69917e-08	8.67383e-24
5.95887e-09	3.39638e-08	1.54569e-23
1.08826e-08	3.16506e-08	2.05426e-23
1.14176e-08	3.81721e-08	2.85225e-23
1.66725e-08	3.52791e-08	3.20015e-23
1.03226e-08	5.31333e-08	6.99274e-23
1.04958e-08	3.81721e-08	2.9315e-23
1.87009e-08	3.39638e-08	2.98495e-23
1.22226e-08	4.40773e-08	4.90886e-23
1.15323e-08	3.6547e-08	2.4367e-23
5.60356e-09	2.69917e-08	5.50955e-24
5.75962e-09	2.52485e-08	5.15625e-24
1.20127e-08	4.37316e-08	4.51612e-23
9.85185e-09	3.44078e-08	2.14498e-23
1.19251e-08	3.52791e-08	2.45572e-23
1.23355e-08	3.69599e-08	2.94967e-23
4.53332e-09	2.33755e-08	3.8417e-24
3.77697e-09	1.98654e-08	1.24841e-24
7.87142e-09	3.73684e-08	1.6832e-23
1.49759e-08	3.73684e-08	3.27606e-23
1.79306e-08	3.89592e-08	4.3138e-23
7.95941e-09	3.3058e-08	1.30439e-23
4.38685e-09	3.01777e-08	8.00855e-24
5.67506e-09	2.96704e-08	1.01529e-23
4.87151e-09	3.11674e-08	9.37179e-24
1.09764e-08	3.89592e-08	3.37235e-23
1.01509e-08	3.97308e-08	3.40849e-23
6.1869e-09	2.91544e-08	6.99281e-24
6.21369e-09	2.33755e-08	3.85618e-24
1.2372e-08	4.77151e-08	6.20737e-23
4.71695e-09	2.13388e-08	2.87143e-24
1.34818e-08	3.81721e-08	3.29604e-23
4.02903e-09	1.45772e-08	6.89142e-25
6.63129e-09	3.25956e-08	1.32299e-23
4.66967e-09	2.33755e-08	4.22685e-24
1.21468e-08	3.44078e-08	1.47711e-23
1.11838e-08	4.12305e-08	3.72164e-23
6.7715e-09	3.48462e-08	1.60782e-23
1.20807e-08	3.69599e-08	2.36443e-23
1.13734e-08	3.21266e-08	1.83987e-23
1.1964e-08	3.85676e-08	3.21107e-23
6.23166e-09	2.52485e-08	7.15022e-24
1.0328e-08	3.93469e-08	3.38018e-23
9.2039e-09	3.57067e-08	2.47846e-23
1.8881e-08	4.44203e-08	6.3071e-23
8.86292e-09	3.6547e-08	2.46271e-23
6.03113e-09	2.75483e-08	9.77124e-24
1.14969e-08	3.81721e-08	3.14245e-23
9.25448e-09	4.30319e-08	2.93365e-23
9.11921e-09	2.464e-08	6.01427e-24
1.78661e-08	4.19604e-08	4.9491e-23
1.47687e-08	4.19604e-08	4.83741e-23
1.59228e-08	4.19604e-08	4.22468e-23
5.24263e-09	2.27169e-08	3.0805e-24
4.028e-09	2.06153e-08	3.11264e-24
5.1552e-09	2.20387e-08	2.77834e-24
6.98609e-09	2.75483e-08	1.08888e-23
6.73269e-09	4.866e-08	4.04402e-23
1.54527e-08	3.89592e-08	3.85266e-23
3.19767e-09	7.79184e-09	1.41074e-25
2.99852e-09	9.54302e-09	1.3637e-25
2.889e-09	1.10193e-08	1.49234e-25
1.20713e-08	3.77724e-08	2.94142e-23
1.13503e-08	4.83471e-08	6.2278e-23
4.80826e-09	3.39638e-08	1.16611e-23
6.32957e-09	2.20387e-08	5.67097e-24
9.71786e-09	4.77151e-08	5.46432e-23
8.12517e-09	2.58426e-08	9.6687e-24
1.65214e-08	3.52791e-08	3.10496e-23
1.26581e-08	3.21266e-08	1.91657e-23
3.98414e-09	2.33755e-08	3.72865e-24
2.7303e-09	5.50966e-09	1.1584e-26
1.61311e-08	3.6547e-08	3.48732e-23
8.33215e-09	3.52791e-08	2.05149e-23
6.77148e-09	3.77724e-08	2.18972e-23
4.9822e-09	2.64234e-08	6.02265e-24
3.42438e-09	9.54302e-09	3.11489e-25
4.94086e-09	3.3058e-08	1.19513e-23
1.42706e-08	4.37316e-08	5.01981e-23
1.58365e-08	4.33831e-08	5.18211e-23
1.51583e-08	4.23205e-08	4.8147e-23
4.41876e-09	2.20387e-08	3.37624e-24
1.11328e-08	3.39638e-08	1.63675e-23
1.50493e-08	2.96704e-08	1.91445e-23
-1.45231e-10	5.50966e-09	-8.62294e-26
1.0716e-08	2.75483e-08	1.09043e-23
1.62242e-08	4.54339e-08	5.63671e-23
3.8047e-09	2.40161e-08	2.63513e-24
5.98314e-09	3.85676e-08	2.03773e-23
4.14982e-09	3.06765e-08	7.81158e-24
2.17491e-08	4.37316e-08	6.69623e-23
1.05699e-08	4.30319e-08	4.18109e-23
8.98549e-09	2.33755e-08	5.33319e-24
6.90504e-09	2.13388e-08	4.08469e-24
8.9726e-09	4.47607e-08	3.06499e-23
6.90407e-09	1.9086e-08	1.3e-24
3.98136e-09	3.73684e-08	1.0159e-23
1.11704e-08	2.91544e-08	1.35118e-23
7.86668e-09	3.3514e-08	1.9189e-23
7.21399e-09	3.21266e-08	1.13163e-23
4.33733e-09	2.75483e-08	5.9862e-24
4.2805e-09	1.82735e-08	2.12796e-24
3.66212e-09	1.232e-08	5.40337e-25
7.54594e-09	3.21266e-08	1.46979e-23
4.77538e-09	2.96704e-08	8.61279e-24
9.98649e-09	2.96704e-08	1.47682e-23
6.12125e-09	2.13388e-08	3.60101e-24
6.3401e-09	2.69917e-08	5.87721e-24
1.35882e-08	3.97308e-08	4.21201e-23
1.69264e-08	4.0111e-08	4.04379e-23
7.0268e-09	3.61293e-08	1.96629e-23
7.54463e-09	2.58426e-08	1.19872e-23
1.62341e-08	3.89592e-08	3.64366e-23
1.47044e-08	4.44203e-08	5.84981e-23
4.5942e-09	2.20387e-08	3.51059e-24
1.3128e-08	3.81721e-08	3.07234e-23
1.48227e-08	3.6547e-08	2.83845e-23
9.25764e-09	3.44078e-08	2.11448e-23
4.1989e-09	1.9086e-08	3.04278e-24
1.22017e-08	2.86291e-08	1.08294e-23
1.24841e-08	2.86291e-08	4.03318e-24
3.58657e-09	2.96704e-08	4.03421e-24
1.59495e-08	4.15971e-08	4.38726e-23
1.22539e-08	3.06765e-08	1.16795e-23
8.22864e-09	3.3514e-08	1.78767e-23
1.59952e-08	3.39638e-08	2.29633e-23
2.80488e-09	1.10193e-08	1.81477e-25
1.24592e-08	2.96704e-08	1.42447e-23
1.16457e-08	4.57667e-08	5.67008e-23
8.11207e-09	2.75483e-08	7.23938e-24
1.59643e-08	4.54339e-08	6.26493e-23
8.09623e-09	2.52485e-08	6.13545e-24
6.75796e-09	3.11674e-08	1.36497e-23
5.10887e-09	2.75483e-08	8.01538e-24
1.00194e-08	2.96704e-08	1.47708e-23
9.14966e-09	3.57067e-08	2.15912e-23
6.71561e-09	3.52791e-08	1.93936e-23
1.04254e-08	2.96704e-08	2.13721e-23
5.41785e-09	1.82735e-08	3.34339e-24
