label,area,perimeter,solidity,major_axis_length,minor_axis_length,aspect_ratio,circularity,length_um,width_um,area_um2,length_nm,width_nm,area_nm2
1,278.0,65.59797974644667,0.9391891891891891,23.025554352445123,15.725484144407483,1.4642191070876374,0.8118461418977974,0.051767432828428266,0.035354976982505566,0.0014051991016727997,51.76743282842827,35.35497698250556,1405.1991016727998
2,287.0,62.04163056034261,0.9503311258278145,20.838319219342136,17.69139261349227,1.1778789649069161,0.9369692844616615,0.046849959568078144,0.03977485035721012,0.0014506911589211996,46.84995956807814,39.77485035721012,1450.6911589211998
3,524.0,100.2842712474619,0.9290780141843972,43.97765572083699,15.684563703633946,2.8038813544203234,0.6547499971789128,0.09887320425092896,0.035262977192332054,0.0026486486664623996,98.87320425092896,35.26297719233205,2648.6486664623994
4,892.0,121.94112549695429,0.9540106951871657,50.128680728868005,23.251604162889507,2.1559235387670754,0.7538315675254026,0.11270230773548477,0.05227565157525796,0.004508768340619199,112.70230773548477,52.27565157525795,4508.768340619199
5,205.0,51.21320343559643,0.9808612440191388,19.626005094303544,13.333561942261174,1.4719251449305726,0.9821997983359347,0.044124362213318884,0.029977313972308104,0.0010362079706579999,44.12436221331888,29.977313972308103,1036.2079706579998
6,249.0,59.798989873223334,0.9576923076923077,23.731895811397564,13.517092882438662,1.7556952532470884,0.8750271236134405,0.05335547207693268,0.030389939243871542,0.0012586135838723997,53.35547207693268,30.38993924387154,1258.6135838723997
7,210.0,53.45584412271571,0.967741935483871,18.86581208444654,14.333869652037695,1.31617019984304,0.9235039874912749,0.04241525067697777,0.03222626578389026,0.0010614813357959997,42.41525067697777,32.22626578389026,1061.4813357959997
8,349.0,71.94112549695429,0.9614325068870524,27.197568488335154,16.47274387666606,1.6510648554950826,0.8473851229999474,0.061147205329584384,0.037035011148153225,0.0017640808866323996,61.14720532958439,37.03501114815323,1764.0808866323996
9,735.0,113.01219330881975,0.9645669291338582,42.57813192596466,22.685807885919115,1.87686205137938,0.723180314423141,0.0957267108838693,0.0510035944375965,0.0037151846752859993,95.7267108838693,51.003594437596504,3715.184675285999
10,344.0,70.62741699796952,0.9635854341736695,26.84504351917555,16.504471713254386,1.6265315234305182,0.866605936487535,0.06035463754242162,0.0371063435740413,0.0017388075214943997,60.354637542421614,37.106343574041304,1738.8075214943997
11,416.0,82.2842712474619,0.9563218390804598,31.786685879710266,17.18129055150972,1.8500755682126087,0.7720928671961238,0.0714647343959174,0.03862800829533723,0.0021027439794815994,71.46473439591739,38.62800829533723,2102.7439794815996
12,576.0,100.76955262170047,0.93354943273906,36.773973205954896,20.646458879102664,1.7811273798227798,0.7128098403588762,0.08267745300002015,0.04641860763953135,0.002911491663897599,82.67745300002014,46.418607639531345,2911.491663897599
13,289.0,66.38477631085024,0.9633333333333334,28.07554754137299,13.357289786276779,2.1018895292829303,0.8240825430747831,0.06312113051536723,0.030030660334894627,0.0014608005049763996,63.121130515367234,30.030660334894627,1460.8005049763997
14,260.0,59.698484809834994,0.966542750929368,20.710152038827523,16.196292735889784,1.2786970683072034,0.916761982002725,0.046561806422814364,0.03641347710639156,0.0013142149871759998,46.561806422814364,36.41347710639156,1314.2149871759998
15,232.0,57.698484809834994,0.9392712550607287,21.560021001427472,13.822680822458143,1.559756842999531,0.8757275887858328,0.04847253281666932,0.03107698038589974,0.0011726841424031997,48.47253281666932,31.076980385899738,1172.6841424031998
16,327.0,73.49747468305833,0.9211267605633803,22.228529855685974,19.258789684889575,1.1542018070391233,0.7606988891472564,0.04997551453334454,0.04329876649694983,0.0016528780800251996,49.97551453334454,43.29876649694983,1652.8780800251996
17,1034.0,147.49747468305833,0.941712204007286,62.30323305845874,21.85254094752165,2.8510749943486413,0.597256978986405,0.1400738667560104,0.04913019371067502,0.0052265319105383986,140.07386675601043,49.130193710675016,5226.531910538399
18,671.0,107.74011537017762,0.9384615384615385,40.1572810870209,21.638909004576774,1.8557904688506877,0.7264028035402719,0.0902840087767056,0.048649893558629774,0.003391685601519599,90.28400877670559,48.64989355862977,3391.6856015195995
19,901.0,135.1543289325507,0.9203268641470889,54.43647663595472,21.790223774286215,2.4982064066819296,0.619833056446872,0.12238735296155154,0.04899008850277672,0.004554260397867599,122.38735296155154,48.99008850277672,4554.260397867599
20,439.0,79.94112549695427,0.9585152838427947,29.023394554611595,19.516446396234645,1.4871249593989175,0.8632445942121425,0.06525213704135106,0.0438780457747985,0.0022190014591163994,65.25213704135106,43.8780457747985,2219.0014591163995
21,202.0,53.941125496954285,0.9439252336448598,16.659849509682598,15.52690703952188,1.0729663974465067,0.8724111865050937,0.037455673258638994,0.03490852402067546,0.0010210439515751998,37.455673258638996,34.90852402067546,1021.0439515751998
22,371.0,76.2842712474619,0.9345088161209067,30.19310410545223,15.950722057593381,1.8928988917513438,0.8011498767163114,0.06788194823612402,0.035861370373204894,0.0018752836932395996,67.88194823612402,35.86137037320489,1875.2836932395996
23,529.0,96.04163056034261,0.9396092362344582,40.3440149390248,17.16006821265578,2.3510404760087464,0.7206866654455624,0.0907038350268119,0.03858029495978548,0.0026739220316003994,90.70383502681189,38.580294959785476,2673.9220316003994
24,509.0,91.45584412271572,0.975095785440613,35.578797049336906,18.64325064308676,1.9084009398613186,0.7647240017347879,0.07999038625414219,0.041914874690826234,0.0025728285710483996,79.99038625414218,41.91487469082623,2572.828571048399
25,509.0,91.11269837220809,0.9549718574108818,33.44675360974348,19.87922655207868,1.682497733104516,0.7704950070870702,0.07519699827064187,0.04469366988797641,0.0025728285710483996,75.19699827064187,44.693669887976405,2572.828571048399
26,1023.0,132.18376618407356,0.9551820728291317,52.09259696114193,25.630092326267125,2.0324779286009274,0.7357482782214859,0.11711770204385694,0.05762311137345332,0.005170930507234799,117.11770204385694,57.62311137345332,5170.930507234799
