Elapsed Time (Seconds)	Peak Intensity (Pixel Intensity)
6.552000e+00	2.270000e+03
6.585000e+00	2.273000e+03
6.618000e+00	2.281000e+03
6.651000e+00	2.297000e+03
6.684000e+00	2.289000e+03
6.717000e+00	2.299000e+03
6.751000e+00	2.285000e+03
6.784000e+00	2.304000e+03
6.817000e+00	2.329000e+03
6.850000e+00	2.319000e+03
6.883000e+00	2.319000e+03
6.916000e+00	2.274000e+03
6.949000e+00	2.353000e+03
6.982000e+00	2.283000e+03
7.015000e+00	2.299000e+03
7.049000e+00	2.341000e+03
7.082000e+00	2.345000e+03
7.115000e+00	2.330000e+03
7.148000e+00	2.305000e+03
7.181000e+00	2.375000e+03
7.214000e+00	2.360000e+03
7.247000e+00	2.411000e+03
7.280000e+00	2.385000e+03
7.313000e+00	2.389000e+03
7.346000e+00	2.382000e+03
7.379000e+00	2.389000e+03
7.412000e+00	2.394000e+03
7.446000e+00	2.445000e+03
7.479000e+00	2.417000e+03
7.512000e+00	2.419000e+03
7.545000e+00	2.500000e+03
7.578000e+00	2.445000e+03
7.611000e+00	2.470000e+03
7.644000e+00	2.511000e+03
7.677000e+00	2.492000e+03
7.711000e+00	2.479000e+03
7.743000e+00	2.552000e+03
7.777000e+00	2.542000e+03
7.810000e+00	2.515000e+03
7.843000e+00	2.568000e+03
7.876000e+00	2.574000e+03
7.909000e+00	2.603000e+03
7.942000e+00	2.593000e+03
7.998000e+00	2.630000e+03
8.008000e+00	2.638000e+03
8.041000e+00	2.679000e+03
8.074000e+00	2.639000e+03
8.107000e+00	2.657000e+03
8.141000e+00	2.721000e+03
8.174000e+00	2.725000e+03
8.207000e+00	2.731000e+03
8.240000e+00	2.748000e+03
8.273000e+00	2.835000e+03
8.306000e+00	2.790000e+03
8.339000e+00	2.830000e+03
8.372000e+00	2.804000e+03
8.405000e+00	2.808000e+03
8.438000e+00	2.854000e+03
8.472000e+00	2.886000e+03
8.505000e+00	2.884000e+03
8.538000e+00	2.918000e+03
8.570000e+00	2.932000e+03
8.603000e+00	2.948000e+03
8.636000e+00	2.923000e+03
8.670000e+00	2.931000e+03
8.703000e+00	2.944000e+03
8.736000e+00	3.014000e+03
8.769000e+00	2.982000e+03
8.802000e+00	3.047000e+03
8.836000e+00	3.039000e+03
8.869000e+00	3.060000e+03
8.902000e+00	3.066000e+03
8.935000e+00	3.123000e+03
8.967000e+00	3.113000e+03
9.001000e+00	3.155000e+03
9.034000e+00	3.160000e+03
9.067000e+00	3.157000e+03
9.100000e+00	3.194000e+03
9.133000e+00	3.205000e+03
9.167000e+00	3.268000e+03
9.199000e+00	3.332000e+03
9.232000e+00	3.267000e+03
9.266000e+00	3.306000e+03
9.299000e+00	3.310000e+03
9.332000e+00	3.296000e+03
9.365000e+00	3.346000e+03
9.397000e+00	3.312000e+03
9.431000e+00	3.324000e+03
9.464000e+00	3.338000e+03
9.498000e+00	3.371000e+03
9.530000e+00	3.346000e+03
9.564000e+00	3.358000e+03
9.597000e+00	3.350000e+03
9.630000e+00	3.348000e+03
9.662000e+00	3.348000e+03
9.696000e+00	3.372000e+03
9.729000e+00	3.382000e+03
9.762000e+00	3.407000e+03
9.795000e+00	3.315000e+03
9.828000e+00	3.373000e+03
9.861000e+00	3.330000e+03
9.894000e+00	3.327000e+03
9.928000e+00	3.337000e+03
9.961000e+00	3.347000e+03
9.994000e+00	3.315000e+03
1.002700e+01	3.323000e+03
1.006000e+01	3.322000e+03
1.009300e+01	3.343000e+03
1.012600e+01	3.310000e+03
1.015900e+01	3.276000e+03
1.019300e+01	3.263000e+03
1.024800e+01	3.304000e+03
1.025900e+01	3.270000e+03
1.029200e+01	3.226000e+03
1.032400e+01	3.240000e+03
1.035800e+01	3.158000e+03
1.039100e+01	3.154000e+03
1.042400e+01	3.143000e+03
1.045700e+01	3.128000e+03
1.049000e+01	3.130000e+03
1.052300e+01	3.045000e+03
1.055600e+01	3.060000e+03
1.059000e+01	3.045000e+03
1.062200e+01	3.050000e+03
1.065600e+01	3.027000e+03
1.068900e+01	2.963000e+03
1.072200e+01	2.954000e+03
1.075500e+01	2.951000e+03
1.078800e+01	2.946000e+03
1.082100e+01	2.903000e+03
1.085400e+01	2.927000e+03
1.088700e+01	2.879000e+03
1.092000e+01	2.861000e+03
1.095300e+01	2.832000e+03
1.098600e+01	2.831000e+03
