 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
32,0.0035,0,0.2351,0.9169,1.182,0.0854,0.0427,0.0941,0.0472,0.8933,0.7932,0.0903,408,542,18.8861,0.0427,1.9951,0.5012,0.9857
33,0.001,0,0.14,0.8494,1.1933,0.0517,0.027,0.0533,0.0239,7.6555,0.6414,0.0555,378,541,21.3706,0.0259,2.2277,0.4489,0.8498
34,0.0048,0,0.2725,1.1326,1.1933,0.0966,0.0562,0.1021,0.0596,2.8187,0.8094,0.0992,504,548,13.0919,0.0562,1.7117,0.5842,0.9658
35,0.0008,0,0.1283,0.8697,1.2157,0.0449,0.027,0.0466,0.0225,7.5005,0.628,0.0469,387,552,16.6992,0.0251,2.0716,0.4827,0.8338
36,0.0021,0,0.1714,0.2921,1.218,0.0539,0.0449,0.0583,0.0465,11.3573,0.9113,0.0617,130,559,33.1113,0.0449,1.2531,0.798,0.9602
37,0.0044,0,0.256,2.009,1.218,0.0899,0.0539,0.0975,0.0573,4.6931,0.8411,0.0956,895,563,23.5523,0.0539,1.7027,0.5873,0.9748
38,0.0028,0,0.2037,1.0022,1.3011,0.0674,0.0449,0.0722,0.049,5.3745,0.8415,0.0764,446,597,28.0725,0.0449,1.4725,0.6791,0.9709
39,0.0025,0,0.1862,0.3191,1.3393,0.0607,0.0449,0.0666,0.047,5.7222,0.8911,0.0686,142,614,31.6075,0.0449,1.4148,0.7068,0.9672
40,0.0007,0,0.095,0.7663,1.3528,0.036,0.0247,0.0348,0.0248,177.2174,0.9418,0.0366,341,606,169.3803,0.0247,1.4026,0.713,0.9273
41,0.003,0,0.2304,1.1685,1.4337,0.0809,0.0404,0.0878,0.0441,0.8856,0.7197,0.086,520,652,19.8552,0.0404,1.9902,0.5025,0.9578
42,0.0025,0,0.1899,0.0337,1.4584,0.0607,0.0494,0.0643,0.0493,20.5183,0.8671,0.0698,15,668,33.1785,0.0494,1.3023,0.7679,0.9463
43,0.0019,0,0.1669,1.4584,1.5079,0.0562,0.0404,0.059,0.0409,8.4494,0.854,0.0614,649,684,23.7495,0.0404,1.4433,0.6928,0.9494
44,0.0032,0,0.2169,0.2562,1.7213,0.0764,0.0472,0.0808,0.0496,0.6404,0.8416,0.079,114,779,14.8265,0.0472,1.6276,0.6144,0.963
45,0.0084,0,0.3558,1.4831,1.7303,0.1258,0.0742,0.1349,0.0792,1.4532,0.8327,0.1322,660,795,17.8189,0.0742,1.7045,0.5867,0.9756
46,0.0025,0,0.1958,3.0517,1.7348,0.0697,0.0427,0.0738,0.0434,179.2277,0.8247,0.0718,1358,775,159.8637,0.0427,1.7028,0.5873,0.9441
47,0.0006,0,0.0913,0.2427,1.773,0.0315,0.0247,0.033,0.0249,174.8141,0.9745,0.0342,108,792,156.8014,0.0247,1.3229,0.7559,0.9412
48,0.0042,0,0.2516,3.1663,1.8247,0.0876,0.0539,0.0935,0.0572,0.1477,0.8344,0.0906,1410,833,23.3852,0.0539,1.6348,0.6117,0.9635
