#	z_max	r_eq	V_L
2.55842e-09	2.27169e-08	2.98466e-24
4.02187e-09	3.06765e-08	6.3285e-24
4.09119e-09	3.11674e-08	6.48015e-24
2.58719e-09	3.16506e-08	4.40822e-24
2.9621e-09	1.45772e-08	9.27355e-25
3.70843e-09	3.3514e-08	6.37125e-24
3.19903e-09	3.3058e-08	5.84929e-24
3.62509e-09	3.25956e-08	7.85029e-24
3.75344e-09	3.01777e-08	3.04488e-24
4.19253e-09	3.97308e-08	1.14341e-23
2.76976e-09	2.33755e-08	2.64252e-24
2.87426e-09	2.40161e-08	2.64407e-24
3.36107e-09	2.96704e-08	3.64488e-24
4.44708e-09	2.86291e-08	5.64497e-24
4.22585e-09	2.96704e-08	6.28064e-24
1.80294e-09	5.50966e-09	7.06695e-26
3.05931e-09	2.33755e-08	2.55739e-24
3.31243e-09	2.80939e-08	4.11203e-24
3.97129e-09	2.52485e-08	2.55196e-24
4.03703e-09	2.96704e-08	6.04982e-24
2.7394e-09	2.40161e-08	3.13323e-24
2.56428e-09	1.98654e-08	1.49826e-24
3.5043e-09	3.6547e-08	7.06474e-24
3.33249e-09	3.57067e-08	7.75254e-24
4.34039e-09	3.85676e-08	9.23517e-24
3.51389e-09	3.69599e-08	9.06293e-24
2.78468e-09	2.33755e-08	3.09228e-24
2.64684e-09	1.9086e-08	1.31079e-24
4.86287e-09	3.97308e-08	1.09603e-23
3.75825e-09	2.13388e-08	1.07972e-24
3.13023e-09	2.20387e-08	1.92147e-24
3.34683e-09	3.89592e-08	1.00527e-23
3.44724e-09	4.15971e-08	1.05323e-23
3.24084e-09	2.27169e-08	2.4288e-24
5.04177e-09	3.69599e-08	8.45458e-24
3.81884e-09	3.52791e-08	6.68734e-24
3.62188e-09	3.16506e-08	6.03261e-24
5.31056e-09	3.97308e-08	9.1918e-24
3.29424e-09	4.15971e-08	1.17547e-23
2.70462e-09	2.96704e-08	5.96654e-24
3.11898e-09	2.64234e-08	5.13503e-24
3.78045e-09	2.69917e-08	4.7504e-24
3.40289e-09	2.464e-08	3.63577e-24
4.32662e-09	2.86291e-08	5.44724e-24
3.04687e-09	2.52485e-08	3.61226e-24
3.94033e-09	2.75483e-08	4.97343e-24
4.04122e-09	3.21266e-08	6.33598e-24
4.41734e-09	3.89592e-08	1.03347e-23
3.77977e-09	3.48462e-08	7.25641e-24
4.48511e-09	3.52791e-08	8.82839e-24
3.85639e-09	2.40161e-08	3.17873e-24
3.72355e-09	2.64234e-08	5.08372e-24
3.23122e-09	3.16506e-08	4.57785e-24
4.55748e-09	3.61293e-08	7.95808e-24
3.44382e-09	2.06153e-08	1.72858e-24
3.05955e-09	1.82735e-08	1.30058e-24
3.69516e-09	3.01777e-08	4.74599e-24
2.7833e-09	2.20387e-08	2.31396e-24
4.57923e-09	3.6547e-08	7.88433e-24
3.59225e-09	2.75483e-08	5.50268e-24
3.59085e-09	3.21266e-08	4.6816e-24
3.50303e-09	2.52485e-08	3.68301e-24
4.35722e-09	3.73684e-08	8.35369e-24
5.02421e-09	3.93469e-08	1.0571e-23
4.30743e-09	3.01777e-08	5.88004e-24
3.76731e-09	2.40161e-08	3.53082e-24
4.08937e-09	3.61293e-08	8.35397e-24
4.17443e-09	2.69917e-08	4.19549e-24
3.34393e-09	3.01777e-08	4.68042e-24
3.53276e-09	2.40161e-08	2.56331e-24
3.80752e-09	2.69917e-08	3.52789e-24
4.58612e-09	3.89592e-08	1.07732e-23
5.12097e-09	3.11674e-08	6.93374e-24
4.39678e-09	3.3514e-08	8.33201e-24
3.60869e-09	3.81721e-08	7.44029e-24
4.25324e-09	3.21266e-08	6.21126e-24
3.53338e-09	2.64234e-08	4.33729e-24
3.75793e-09	3.01777e-08	5.57863e-24
3.58006e-09	2.52485e-08	3.82558e-24
3.41287e-09	2.464e-08	2.47016e-24
3.19147e-09	2.40161e-08	3.81275e-24
3.14523e-09	2.52485e-08	2.89746e-24
4.84624e-09	2.91544e-08	5.60779e-24
3.36947e-09	2.40161e-08	3.03761e-24
3.60503e-09	3.89592e-08	7.82974e-24
4.77403e-09	2.91544e-08	6.02597e-24
2.54806e-09	2.13388e-08	1.83211e-24
3.57989e-09	2.75483e-08	4.522e-24
3.18958e-09	2.91544e-08	4.60433e-24
4.01835e-09	3.11674e-08	6.75501e-24
4.17053e-09	3.21266e-08	7.99036e-24
3.98753e-09	3.11674e-08	6.99927e-24
3.39011e-09	2.52485e-08	3.80683e-24
4.19914e-09	3.44078e-08	8.13145e-24
4.34015e-09	3.3058e-08	7.5923e-24
4.40698e-09	3.52791e-08	4.21881e-24
3.48169e-09	2.80939e-08	4.29111e-24
3.16541e-09	1.98654e-08	2.17717e-24
4.37495e-09	3.57067e-08	6.72789e-24
4.13778e-09	3.48462e-08	7.39865e-24
3.96371e-09	3.61293e-08	6.0839e-24
2.66282e-09	2.27169e-08	2.5945e-24
4.15729e-09	3.44078e-08	6.73955e-24
3.38098e-09	2.20387e-08	1.84869e-24
3.83825e-09	2.52485e-08	3.84007e-24
4.19999e-09	3.89592e-08	9.83538e-24
2.48716e-09	2.20387e-08	2.23615e-24
2.49453e-09	2.27169e-08	2.99023e-24
4.05336e-09	3.16506e-08	5.53893e-24
3.26534e-09	3.69599e-08	7.51761e-24
3.9121e-09	3.01777e-08	6.21778e-24
4.15384e-09	4.0111e-08	1.04075e-23
2.87483e-09	1.9086e-08	1.91892e-24
3.62961e-09	3.57067e-08	8.47557e-24
3.8338e-09	3.01777e-08	5.67932e-24
3.69758e-09	3.6547e-08	8.41837e-24
3.23278e-09	2.58426e-08	3.83089e-24
4.62615e-09	3.3058e-08	6.0077e-24
4.07012e-09	3.3058e-08	6.24438e-24
3.30574e-09	2.40161e-08	3.16184e-24
3.51738e-09	3.39638e-08	5.6744e-24
2.84672e-09	2.27169e-08	2.69497e-24
2.78362e-09	2.52485e-08	2.71413e-24
3.01766e-09	2.20387e-08	2.79631e-24
4.05136e-09	3.57067e-08	7.45432e-24
3.50473e-09	2.64234e-08	3.87261e-24
3.50486e-09	3.3058e-08	6.6111e-24
3.72207e-09	2.27169e-08	2.89069e-24
3.10373e-09	2.52485e-08	3.1045e-24
3.74627e-09	2.52485e-08	3.86854e-24
2.72158e-09	2.52485e-08	3.79533e-24
4.35511e-09	3.21266e-08	6.36757e-24
3.46493e-09	2.06153e-08	2.61515e-24
3.35915e-09	2.33755e-08	2.80006e-24
3.05812e-09	2.13388e-08	2.39704e-24
2.80328e-09	1.98654e-08	2.12045e-24
3.55652e-09	2.33755e-08	2.16339e-24
3.44549e-09	3.3514e-08	5.4798e-24
4.06762e-09	3.01777e-08	6.20412e-24
3.56267e-09	2.64234e-08	5.2041e-24
4.40326e-09	3.44078e-08	8.28992e-24
3.85547e-09	3.11674e-08	5.87101e-24
3.9985e-09	2.96704e-08	6.16371e-24
4.96278e-09	3.06765e-08	6.10821e-24
4.46493e-09	3.93469e-08	8.78284e-24
4.16479e-09	4.04876e-08	9.85949e-24
3.9705e-09	3.21266e-08	5.69202e-24
2.15647e-09	1.82735e-08	7.79284e-25
3.12873e-09	2.80939e-08	4.4932e-24
4.77666e-09	3.77724e-08	8.06137e-24
2.45869e-09	2.20387e-08	2.62896e-24
3.37338e-09	2.13388e-08	1.62133e-24
2.97249e-09	2.06153e-08	1.82523e-24
3.43771e-09	2.58426e-08	2.91031e-24
3.62925e-09	3.73684e-08	7.76474e-24
3.30177e-09	2.13388e-08	3.25814e-24
3.32242e-09	2.91544e-08	5.81413e-24
4.63198e-09	3.6547e-08	8.90826e-24
3.62642e-09	4.33831e-08	1.1287e-23
4.04574e-09	3.3514e-08	5.75739e-24
4.09349e-09	2.464e-08	4.08222e-24
3.69821e-09	3.44078e-08	5.75249e-24
3.06726e-09	2.20387e-08	1.43916e-24
4.4168e-09	4.26777e-08	9.86124e-24
3.72442e-09	3.81721e-08	9.56117e-24
4.65236e-09	3.57067e-08	8.33462e-24
3.65155e-09	2.27169e-08	2.62463e-24
3.44388e-09	3.3058e-08	6.82023e-24
3.36592e-09	2.69917e-08	4.31022e-24
4.12123e-09	3.21266e-08	6.13474e-24
2.40163e-09	2.33755e-08	2.24673e-24
3.08757e-09	2.80939e-08	5.31476e-24
3.42937e-09	3.3058e-08	5.83561e-24
3.35784e-09	2.06153e-08	1.51671e-24
3.13237e-09	2.69917e-08	4.84452e-24
3.22196e-09	2.464e-08	2.02836e-24
3.39129e-09	2.464e-08	3.64847e-24
4.39275e-09	2.80939e-08	3.50894e-24
3.39465e-09	2.75483e-08	5.30377e-24
4.34138e-09	3.01777e-08	3.12031e-24
2.80064e-09	2.52485e-08	3.70155e-24
4.68347e-09	3.52791e-08	8.99182e-24
4.51371e-09	2.86291e-08	4.90226e-24
4.38665e-09	4.0111e-08	1.17922e-23
4.00548e-09	3.77724e-08	9.23711e-24
4.58777e-09	3.25956e-08	5.97979e-24
