label,area,perimeter,solidity,major_axis_length,minor_axis_length,aspect_ratio,circularity,length_um,width_um,area_um2,length_nm,width_nm,area_nm2
1,823.0,123.29646455628165,0.8974918211559433,40.540719376383194,26.79078636921711,1.5132336474813184,0.6803125018369601,0.09114607774514727,0.06023265336245605,0.004159995901714799,91.14607774514727,60.23265336245605,4159.995901714799
2,660.0,127.98885271170678,0.7692307692307693,37.03094943591012,25.534906079779642,1.4502089539790342,0.506301841984102,0.08325520237877927,0.05740910794292537,0.003336084198215999,83.25520237877927,57.40910794292537,3336.084198215999
3,668.0,166.06601717798213,0.6851282051282052,56.960581929593964,20.09706300190232,2.83427393963995,0.30438607925990396,0.1280621979290289,0.04518342286465691,0.0033765215824367993,128.0621979290289,45.183422864656904,3376.5215824367992
4,497.0,95.63961030678928,0.8643478260869565,27.71607571860634,24.018248775328473,1.153959057459521,0.6827955106949302,0.06231294439511389,0.053999267991619984,0.0025121724947171995,62.31294439511388,53.99926799161999,2512.1724947171992
5,679.0,129.63961030678928,0.7348484848484849,49.11070274873596,20.037899075108182,2.4508908126871987,0.5076965410251306,0.1104136285618731,0.04505040697460272,0.003432122985740399,110.4136285618731,45.050406974602716,3432.122985740399
6,375.0,110.22539674441617,0.7102272727272727,32.2136438660052,18.79437656992014,1.7140043856289553,0.38786249816337764,0.07242464695818485,0.04225464506708865,0.0018955023853499996,72.42464695818484,42.254645067088646,1895.5023853499995
7,510.0,101.74011537017762,0.8082408874801902,35.549326822082044,19.81282296412684,1.7942585408675868,0.619149588438357,0.07992412952101417,0.04454437735732781,0.0025778832440759994,79.92412952101417,44.544377357327804,2577.8832440759993
8,695.0,116.22539674441619,0.8465286236297198,37.839291506589056,25.1505961763796,1.5045087297821653,0.646535824193717,0.08507256552260391,0.05654507935950719,0.0035129977541819993,85.0725655226039,56.54507935950719,3512.9977541819994
9,708.0,122.12489168102785,0.872996300863132,41.326205250519685,23.33523553706176,1.770978706638041,0.5965333639447772,0.09291205421653338,0.05246367664855447,0.0035787085035407992,92.91205421653338,52.46367664855446,3578.708503540799
10,520.0,122.36753236814714,0.8087091757387247,40.32484067101471,19.777897082929673,2.038884139296039,0.43639604215201666,0.09066072628701553,0.04446585489566746,0.0026284299743519995,90.66072628701552,44.46585489566746,2628.4299743519996
11,595.0,192.06601717798213,0.5908639523336644,46.32613424964765,31.84921692258019,1.4545454716283381,0.20268694111737853,0.10415319458811281,0.07160532043836013,0.003007530451421999,104.15319458811281,71.60532043836012,3007.5304514219993
12,529.0,112.71067811865476,0.853225806451613,31.563626303343238,23.37493925732621,1.3503190727415693,0.5232815356740615,0.07096323847275446,0.052552940934676225,0.0026739220316003994,70.96323847275445,52.55294093467622,2673.9220316003994
13,732.0,112.8111831820431,0.9037037037037037,35.23400639441388,27.681273452297102,1.2728462964369156,0.7227974915454669,0.07921520721630494,0.062234699851861475,0.003700020656203199,79.21520721630495,62.23469985186147,3700.020656203199
14,976.0,144.46803743153546,0.8606701940035273,41.37375281925267,31.904902234618884,1.2967835636982292,0.587646475347957,0.09301895351341301,0.07173051549800424,0.004933360874937599,93.018953513413,71.73051549800424,4933.360874937599
15,580.0,112.8111831820431,0.8250355618776671,39.28604713027509,20.453121111081863,1.920784946068168,0.5727083949403973,0.08832524832111226,0.045983934069200906,0.0029317103560079993,88.32524832111226,45.983934069200906,2931.7103560079995
16,922.0,143.58073580374355,0.8747628083491461,45.487488781334534,27.195819247867405,1.672591230540021,0.5620156844886849,0.10226770152752317,0.06114327258221037,0.004660408531447199,102.26770152752317,61.143272582210365,4660.408531447199
17,311.0,64.72792206135786,0.971875,20.55355711607545,19.716564174981514,1.0424512574130944,0.9327965315894718,0.04620974032178778,0.04432796257204393,0.0015720033115835996,46.209740321787784,44.32796257204393,1572.0033115835997
