rel. 1/cm	CCD cts
 8.14852E+01	 6.66800E+02
 8.18822E+01	 6.67800E+02
 8.22792E+01	 6.70400E+02
 8.26762E+01	 6.69600E+02
 8.30731E+01	 6.70800E+02
 8.34700E+01	 6.73600E+02
 8.38669E+01	 6.73200E+02
 8.42638E+01	 6.71600E+02
 8.46606E+01	 6.69600E+02
 8.50574E+01	 6.74600E+02
 8.54542E+01	 6.71400E+02
 8.58510E+01	 6.74600E+02
 8.62477E+01	 6.76600E+02
 8.66444E+01	 6.78000E+02
 8.70411E+01	 6.76600E+02
 8.74377E+01	 6.78000E+02
 8.78343E+01	 6.79400E+02
 8.82309E+01	 6.80200E+02
 8.86275E+01	 6.79000E+02
 8.90240E+01	 6.87200E+02
 8.94205E+01	 6.86400E+02
 8.98170E+01	 6.84800E+02
 9.02135E+01	 6.84800E+02
 9.06099E+01	 6.84600E+02
 9.10063E+01	 6.89800E+02
 9.14027E+01	 6.90600E+02
 9.17991E+01	 6.90200E+02
 9.21954E+01	 6.91000E+02
 9.25917E+01	 6.93400E+02
 9.29880E+01	 6.87600E+02
 9.33842E+01	 6.92000E+02
 9.37805E+01	 6.88600E+02
 9.41767E+01	 6.89000E+02
 9.45728E+01	 6.93200E+02
 9.49690E+01	 6.89800E+02
 9.53651E+01	 6.99200E+02
 9.57612E+01	 6.92200E+02
 9.61572E+01	 6.93600E+02
 9.65533E+01	 6.91600E+02
 9.69493E+01	 6.94800E+02
 9.73453E+01	 6.98200E+02
 9.77412E+01	 6.95600E+02
 9.81371E+01	 6.95800E+02
 9.85330E+01	 6.94400E+02
 9.89289E+01	 6.90000E+02
 9.93248E+01	 6.94400E+02
 9.97206E+01	 6.96600E+02
 1.00116E+02	 6.90200E+02
 1.00512E+02	 6.91800E+02
 1.00908E+02	 6.93600E+02
 1.01304E+02	 6.87000E+02
 1.01699E+02	 6.85800E+02
 1.02095E+02	 6.86200E+02
 1.02491E+02	 6.88000E+02
 1.02886E+02	 6.82400E+02
 1.03282E+02	 6.90800E+02
 1.03677E+02	 6.84800E+02
 1.04073E+02	 6.85200E+02
 1.04468E+02	 6.83000E+02
 1.04864E+02	 6.84000E+02
 1.05259E+02	 6.77800E+02
 1.05655E+02	 6.76400E+02
 1.06050E+02	 6.80800E+02
 1.06446E+02	 6.75600E+02
 1.06841E+02	 6.75600E+02
 1.07236E+02	 6.78000E+02
 1.07631E+02	 6.72800E+02
 1.08027E+02	 6.75400E+02
 1.08422E+02	 6.73800E+02
 1.08817E+02	 6.75200E+02
 1.09212E+02	 6.77400E+02
 1.09608E+02	 6.79000E+02
 1.10003E+02	 6.70800E+02
 1.10398E+02	 6.75600E+02
 1.10793E+02	 6.70000E+02
 1.11188E+02	 6.72800E+02
 1.11583E+02	 6.76200E+02
 1.11978E+02	 6.72400E+02
 1.12373E+02	 6.71000E+02
 1.12768E+02	 6.72000E+02
 1.13163E+02	 6.70200E+02
 1.13558E+02	 6.70400E+02
 1.13953E+02	 6.71200E+02
 1.14347E+02	 6.71600E+02
 1.14742E+02	 6.73200E+02
 1.15137E+02	 6.72800E+02
 1.15532E+02	 6.72000E+02
 1.15926E+02	 6.71600E+02
 1.16321E+02	 6.71800E+02
 1.16716E+02	 6.75600E+02
 1.17111E+02	 6.73400E+02
 1.17505E+02	 6.71400E+02
 1.17900E+02	 6.71000E+02
 1.18294E+02	 6.67800E+02
 1.18689E+02	 6.68600E+02
 1.19083E+02	 6.66800E+02
 1.19478E+02	 6.66800E+02
 1.19872E+02	 6.69000E+02
 1.20267E+02	 6.68400E+02
 1.20661E+02	 6.64400E+02
 1.21056E+02	 6.69200E+02
 1.21450E+02	 6.63000E+02
 1.21844E+02	 6.69200E+02
 1.22239E+02	 6.63200E+02
 1.22633E+02	 6.66600E+02
 1.23027E+02	 6.64800E+02
 1.23421E+02	 6.59800E+02
 1.23816E+02	 6.64000E+02
 1.24210E+02	 6.64400E+02
 1.24604E+02	 6.59200E+02
 1.24998E+02	 6.60400E+02
 1.25392E+02	 6.59800E+02
 1.25786E+02	 6.57000E+02
 1.26180E+02	 6.56600E+02
 1.26574E+02	 6.53400E+02
 1.26968E+02	 6.51400E+02
 1.27362E+02	 6.53800E+02
 1.27756E+02	 6.53600E+02
