#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
5.43555e-09	2.28882e-15	8.67383e-24	4.88281e-08	6.90534e-08	4.86522e-08	6.91373e-08
5.95887e-09	3.62396e-15	1.54569e-23	5.85937e-08	8.40071e-08	4.86522e-08	8.02334e-08
1.08826e-08	3.14713e-15	2.05426e-23	5.85937e-08	7.43728e-08	5.63341e-08	7.08444e-08
1.14176e-08	4.57764e-15	2.85225e-23	6.83594e-08	9.26449e-08	5.63341e-08	9.13295e-08
1.66725e-08	3.91006e-15	3.20015e-23	6.83594e-08	8.40071e-08	6.31625e-08	8.27941e-08
1.03226e-08	8.86917e-15	6.99274e-23	8.78906e-08	1.35668e-07	8.02334e-08	1.35714e-07
1.04958e-08	4.57764e-15	2.9315e-23	5.85937e-08	1.01956e-07	4.95057e-08	9.90114e-08
1.87009e-08	3.62396e-15	2.98495e-23	6.83594e-08	8.34375e-08	6.06018e-08	7.93799e-08
1.22226e-08	6.10352e-15	4.90886e-23	7.8125e-08	1.05631e-07	7.68192e-08	1.01572e-07
1.15323e-08	4.19617e-15	2.4367e-23	6.83594e-08	8.73464e-08	6.31625e-08	8.45011e-08
5.60356e-09	2.28882e-15	5.50955e-24	5.41699e-08	7.04209e-08	4.09703e-08	6.4016e-08
5.75962e-09	2.00272e-15	5.15625e-24	4.83374e-08	7.04209e-08	3.75561e-08	6.82838e-08
1.20127e-08	6.00815e-15	4.51612e-23	6.83594e-08	1.14304e-07	6.82838e-08	1.12668e-07
9.85185e-09	3.71933e-15	2.14498e-23	5.85937e-08	8.34375e-08	5.88947e-08	8.1087e-08
1.19251e-08	3.91006e-15	2.45572e-23	6.83594e-08	8.40071e-08	5.71876e-08	8.02334e-08
1.23355e-08	4.29153e-15	2.94967e-23	6.83594e-08	8.40071e-08	6.82838e-08	8.02334e-08
4.53332e-09	1.71661e-15	3.8417e-24	4.83374e-08	5.69429e-08	3.92632e-08	5.29199e-08
3.77697e-09	1.23978e-15	1.24841e-24	3.90625e-08	4.88281e-08	3.15812e-08	4.5238e-08
7.87142e-09	4.3869e-15	1.6832e-23	7.25372e-08	1.0381e-07	5.80412e-08	9.73043e-08
1.49759e-08	4.3869e-15	3.27606e-23	5.85937e-08	9.26449e-08	5.80412e-08	9.13295e-08
1.79306e-08	4.76837e-15	4.3138e-23	6.83594e-08	9.21287e-08	6.82838e-08	9.0476e-08
7.95941e-09	3.43323e-15	1.30439e-23	5.80298e-08	1.00543e-07	3.92632e-08	9.13295e-08
4.38685e-09	2.86102e-15	8.00855e-24	4.88281e-08	7.8733e-08	4.86522e-08	7.3405e-08
5.67506e-09	2.76566e-15	1.01529e-23	4.88281e-08	7.8733e-08	4.43844e-08	7.42586e-08
4.87151e-09	3.05176e-15	9.37179e-24	5.85937e-08	7.04209e-08	5.54805e-08	6.74302e-08
