#	z_max	r_eq	V_L
3.81769e-09	3.16506e-08	7.24148e-24
3.62323e-09	2.64234e-08	4.33929e-24
1.01455e-08	3.44078e-08	1.3517e-23
1.83795e-08	3.77724e-08	2.27927e-23
5.06593e-09	3.73684e-08	1.22575e-23
1.25881e-08	4.15971e-08	2.99663e-23
4.82994e-09	4.40773e-08	1.64359e-23
2.37463e-09	1.55837e-08	8.53731e-25
4.93878e-09	3.44078e-08	8.90095e-24
5.26081e-09	3.39638e-08	9.87624e-24
8.10672e-09	3.81721e-08	1.72801e-23
1.19078e-08	3.39638e-08	1.34265e-23
2.5685e-09	5.50966e-09	4.97302e-26
1.13929e-08	1.6529e-08	2.49262e-24
4.53371e-09	3.16506e-08	8.45272e-24
7.87814e-09	3.89592e-08	1.74089e-23
1.2693e-08	4.47607e-08	4.05715e-23
1.16084e-08	4.0111e-08	2.26338e-23
1.17449e-08	4.26777e-08	3.0621e-23
2.97533e-09	2.13388e-08	1.70447e-24
1.07551e-08	3.81721e-08	2.24234e-23
8.09962e-09	3.39638e-08	1.19601e-23
9.62998e-09	3.6547e-08	1.66673e-23
1.11368e-08	3.57067e-08	1.66064e-23
3.91155e-09	1.74231e-08	1.75322e-24
1.0978e-08	3.21266e-08	1.44735e-23
9.22801e-09	3.44078e-08	1.21558e-23
4.4865e-09	3.16506e-08	6.85363e-24
7.41663e-09	4.23205e-08	2.15105e-23
8.40648e-09	3.01777e-08	9.37638e-24
4.15174e-09	1.82735e-08	1.64557e-24
1.49389e-08	4.60972e-08	4.3283e-23
1.61073e-08	3.3058e-08	1.78857e-23
4.64091e-09	3.06765e-08	7.11171e-24
3.74027e-09	1.9086e-08	2.2142e-24
6.99457e-09	4.12305e-08	1.88431e-23
9.21344e-09	1.9086e-08	3.53896e-24
1.54161e-08	4.04876e-08	2.35516e-23
2.93411e-09	9.54302e-09	3.6868e-25
1.28876e-08	3.93469e-08	2.38392e-23
9.04932e-09	3.57067e-08	1.41321e-23
4.33613e-09	2.64234e-08	5.05564e-24
1.05737e-08	3.52791e-08	1.47681e-23
3.30063e-09	2.52485e-08	4.57223e-24
7.75082e-09	3.93469e-08	1.8419e-23
1.36405e-08	3.77724e-08	2.0831e-23
2.47705e-08	4.19604e-08	3.49354e-23
5.74584e-09	4.15971e-08	1.32581e-23
1.03313e-08	3.3514e-08	1.09385e-23
5.68855e-09	3.77724e-08	1.13851e-23
1.10977e-08	3.11674e-08	1.17386e-23
1.23459e-08	2.52485e-08	7.38731e-24
5.1731e-09	3.73684e-08	1.2144e-23
3.19941e-09	1.98654e-08	1.77709e-24
1.00987e-08	3.21266e-08	1.29396e-23
1.08966e-08	4.15971e-08	2.47498e-23
7.84361e-09	3.97308e-08	1.72439e-23
7.10039e-09	3.61293e-08	1.53081e-23
4.30412e-09	3.21266e-08	8.22611e-24
7.01054e-09	3.3514e-08	1.25794e-23
6.32841e-09	3.69599e-08	1.36189e-23
6.8053e-09	3.61293e-08	1.32182e-23
9.00649e-09	4.30319e-08	2.59531e-23
3.81119e-09	1.9086e-08	2.48354e-24
2.78715e-09	1.45772e-08	8.71758e-25
4.23201e-09	3.25956e-08	7.45721e-24
3.27081e-09	2.69917e-08	3.82197e-24
6.589e-09	3.11674e-08	9.12912e-24
4.00896e-09	3.3514e-08	7.2801e-24
1.51751e-08	4.50985e-08	3.65104e-23
1.58551e-08	3.57067e-08	1.99039e-23
1.09086e-08	3.6547e-08	1.34699e-23
4.82571e-09	3.85676e-08	1.25997e-23
2.59658e-09	1.10193e-08	3.22781e-25
2.78886e-09	1.34959e-08	8.83045e-25
3.62467e-09	1.98654e-08	2.78676e-24
3.28992e-09	1.34959e-08	6.22247e-25
5.64384e-09	4.15971e-08	1.60995e-23
4.99029e-09	3.39638e-08	9.56431e-24
2.31137e-09	1.34959e-08	6.88151e-25
3.56067e-09	2.27169e-08	3.52525e-24
4.64809e-09	3.3514e-08	9.14119e-24
2.12596e-09	7.79184e-09	1.12613e-25
7.56936e-09	4.47607e-08	2.34278e-23
2.91525e-09	1.74231e-08	1.43402e-24
1.57818e-08	3.69599e-08	1.96731e-23
3.13087e-09	1.6529e-08	1.3957e-24
2.71398e-09	1.10193e-08	4.61145e-25
2.43005e-09	1.232e-08	3.76234e-25
5.10492e-09	3.81721e-08	1.19617e-23
1.6699e-08	4.04876e-08	2.69952e-23
6.35192e-09	4.30319e-08	1.65688e-23
4.63735e-09	3.57067e-08	1.04614e-23
4.05097e-09	3.01777e-08	5.65143e-24
4.10127e-09	2.33755e-08	4.41181e-24
7.44022e-09	3.81721e-08	1.79234e-23
1.73971e-08	3.69599e-08	2.23419e-23
6.86478e-09	3.16506e-08	9.4078e-24
3.85995e-09	3.06765e-08	6.20693e-24
3.22733e-09	2.06153e-08	3.03769e-24
1.07556e-08	3.52791e-08	1.47595e-23
4.63403e-09	3.3058e-08	8.2951e-24
5.92999e-09	3.21266e-08	9.98047e-24
3.67364e-09	3.48462e-08	7.7063e-24
7.76112e-09	3.93469e-08	1.53812e-23
9.25022e-09	3.69599e-08	1.51348e-23
4.3763e-09	3.3058e-08	9.71841e-24
3.40334e-09	2.06153e-08	2.93527e-24
1.09478e-08	2.80939e-08	7.68732e-24
1.26536e-08	5.95961e-08	8.91991e-23
1.02252e-08	4.44203e-08	3.03302e-23
8.47079e-09	4.54339e-08	2.99535e-23
3.6845e-09	2.464e-08	4.71363e-24
6.23374e-09	3.93469e-08	1.64597e-23
1.51187e-08	4.19604e-08	3.15841e-23
4.59152e-09	3.6547e-08	1.16441e-23
4.78258e-09	4.12305e-08	1.43918e-23
5.96491e-09	3.69599e-08	1.41197e-23
3.56638e-09	2.20387e-08	2.64149e-24
2.49538e-09	1.232e-08	4.97823e-25
1.00979e-08	4.19604e-08	2.51722e-23
3.79836e-09	1.10193e-08	6.39847e-25
2.93442e-09	1.6529e-08	1.2279e-24
5.40033e-09	3.25956e-08	8.42397e-24
3.56501e-09	2.96704e-08	5.53718e-24
3.75478e-09	2.86291e-08	5.23782e-24
1.44876e-08	4.60972e-08	3.84394e-23
3.76342e-09	2.64234e-08	5.24248e-24
6.03527e-09	3.39638e-08	1.0274e-23
8.38413e-09	3.3058e-08	1.14589e-23
3.54092e-09	2.75483e-08	4.22464e-24
3.00753e-09	1.10193e-08	6.14266e-25
3.66413e-09	1.82735e-08	2.15443e-24
5.63706e-09	2.91544e-08	7.1143e-24
4.67606e-09	3.77724e-08	1.09428e-23
4.49102e-09	2.69917e-08	5.46005e-24
4.5679e-09	3.21266e-08	9.11274e-24
5.42178e-09	2.20387e-08	3.88878e-24
4.12743e-09	2.52485e-08	4.39672e-24
1.4216e-08	4.12305e-08	2.66251e-23
