label,area,perimeter,solidity,major_axis_length,minor_axis_length,aspect_ratio,circularity,length_um,width_um,area_um2,length_nm,width_nm,area_nm2,scan_width,scan_height
1,1004.0,138.76955262170048,0.933953488372093,58.58695704356029,22.475581696086948,2.6066936925490305,0.6551718064828592,0.13171871204275484,0.05053095130404443,0.005074891719710399,131.71871204275485,50.530951304044436,5074.891719710399,3.4533273599999994,2.2797356399999997
2,97.0,34.970562748477136,0.9238095238095239,11.6213549501283,10.685004400024274,1.087632210062721,0.9967273059145267,0.026127827480175447,0.024022667992398574,0.0004903032836771999,26.127827480175448,24.02266799239857,490.3032836771999,3.4533273599999994,2.2797356399999997
3,196.0,51.79898987322333,0.9423076923076923,17.873706567693073,14.163338867807926,1.2619698458474717,0.9179591475632631,0.040184739527881624,0.03184286824293785,0.0009907159134095998,40.184739527881625,31.842868242937843,990.7159134095998,3.4533273599999994,2.2797356399999997
4,260.0,64.62741699796952,0.9122807017543859,23.883683768441575,14.495008483987018,1.647717819194549,0.7822572823501223,0.05369673086923645,0.03258854777420865,0.0013142149871759998,53.69673086923645,32.58854777420865,1314.2149871759998,3.4533273599999994,2.2797356399999997
5,83.0,32.14213562373095,0.9325842696629213,11.088186698157148,9.559100419965615,1.1599613155018025,1.0095747912995068,0.024929126625998787,0.02149134311019189,0.0004195378612907999,24.929126625998787,21.49134311019189,419.5378612907999,3.4533273599999994,2.2797356399999997
6,158.0,46.970562748477136,0.9404761904761905,18.138133092478682,11.30193136924737,1.6048702208396577,0.8999438720633391,0.04077923910649612,0.02540968022022409,0.0007986383383607998,40.779239106496114,25.40968022022409,798.6383383607998,3.4533273599999994,2.2797356399999997
7,437.0,82.04163056034261,0.9625550660792952,31.91004872522189,17.752819816731826,1.7974636736383165,0.8158733255849371,0.07174208614696737,0.03991295468116549,0.0022088921130611994,71.74208614696735,39.91295468116549,2208.8921130611993,3.4533273599999994,2.2797356399999997
8,162.0,48.970562748477136,0.9257142857142857,19.03337087300754,11.094553741971186,1.7155598427545093,0.8488963945141018,0.04279196639894793,0.024943441395924137,0.0008188570304711999,42.79196639894793,24.943441395924136,818.8570304711998,3.4533273599999994,2.2797356399999997
9,294.0,66.14213562373095,0.9453376205787781,25.741654660122773,15.071182785149729,1.7080049407593352,0.8445021653788298,0.05787393250616762,0.033883937408540725,0.0014860738701143997,57.87393250616762,33.883937408540724,1486.0738701143996,3.4533273599999994,2.2797356399999997
10,112.0,37.89949493661167,0.9572649572649573,14.311195108422186,10.131578270049651,1.412533637599984,0.9798532599113398,0.03217528751446126,0.022778422161421827,0.0005661233790911999,32.17528751446126,22.778422161421826,566.1233790911999,3.4533273599999994,2.2797356399999997
