#	z_max	r_eq	V_L
4.59329e-09	3.52791e-08	8.67043e-24
2.77916e-09	9.54302e-09	4.05699e-25
3.57063e-09	2.52485e-08	2.42793e-24
2.72343e-09	2.20387e-08	3.5565e-24
3.35674e-09	1.45772e-08	9.63836e-25
3.45533e-09	2.80939e-08	3.44722e-24
3.58117e-09	2.91544e-08	5.44574e-24
3.96113e-09	3.3514e-08	6.69255e-24
3.91565e-09	3.3514e-08	7.09255e-24
4.79574e-09	3.01777e-08	8.83686e-24
2.77627e-09	1.98654e-08	1.66445e-24
3.05418e-09	1.34959e-08	5.62179e-25
3.98844e-09	3.48462e-08	8.02351e-24
2.93749e-09	2.40161e-08	3.61302e-24
3.61613e-09	3.06765e-08	6.98007e-24
2.73087e-09	1.55837e-08	1.36608e-24
2.21455e-09	2.06153e-08	1.9926e-24
2.30655e-09	1.6529e-08	1.73103e-24
3.02976e-09	1.9086e-08	5.08301e-25
3.45729e-09	3.52791e-08	5.25084e-24
2.38972e-09	2.06153e-08	1.05774e-24
2.87788e-09	2.40161e-08	3.91268e-24
2.59078e-09	1.6529e-08	1.6308e-24
2.80279e-09	2.52485e-08	4.5927e-24
2.3888e-09	1.6529e-08	1.99704e-24
2.56886e-09	1.10193e-08	8.61663e-25
2.7214e-09	2.13388e-08	3.04382e-24
3.39152e-09	1.34959e-08	9.75053e-25
2.69864e-09	2.13388e-08	2.36295e-24
3.45611e-09	1.9086e-08	1.82624e-24
4.578e-09	3.3058e-08	7.73382e-24
4.00322e-09	2.91544e-08	5.65082e-24
2.97395e-09	2.33755e-08	2.90795e-24
2.48893e-09	1.232e-08	2.60645e-25
2.33498e-09	1.74231e-08	1.59866e-24
2.5361e-09	2.06153e-08	2.76887e-24
2.70136e-09	2.40161e-08	3.54348e-24
1.73651e-09	9.54302e-09	5.72414e-25
3.63797e-09	3.3058e-08	4.68801e-24
4.55354e-09	3.81721e-08	6.82598e-24
4.07347e-09	1.9086e-08	1.16521e-24
3.33991e-09	1.98654e-08	2.75451e-24
3.54943e-09	2.20387e-08	4.33517e-24
2.95848e-09	2.40161e-08	3.61121e-24
2.28958e-09	1.6529e-08	1.41125e-24
2.55277e-09	2.40161e-08	1.94477e-24
2.74754e-09	1.74231e-08	2.16898e-24
3.48448e-09	2.91544e-08	4.28795e-24
3.23838e-09	2.40161e-08	3.5309e-24
2.73914e-09	2.33755e-08	1.23678e-24
3.0341e-09	3.01777e-08	5.93437e-24
3.63435e-09	1.82735e-08	2.24058e-24
3.44293e-09	2.69917e-08	4.36455e-24
3.16929e-09	2.91544e-08	4.48671e-24
4.07746e-09	3.3514e-08	6.39613e-24
3.30684e-09	3.01777e-08	6.45609e-24
2.93882e-09	2.13388e-08	3.49932e-24
3.42875e-09	2.464e-08	5.41034e-24
2.83257e-09	1.45772e-08	1.31047e-25
2.63704e-09	1.10193e-08	2.745e-25
3.18713e-09	1.9086e-08	1.553e-24
2.96974e-09	2.91544e-08	5.84696e-24
2.47888e-09	1.55837e-08	1.38181e-24
4.23263e-09	3.61293e-08	1.08139e-23
2.85721e-09	2.40161e-08	2.63951e-24
2.99816e-09	2.33755e-08	2.99331e-24
3.53933e-09	2.69917e-08	4.49393e-24
4.33478e-09	2.33755e-08	1.96169e-24
3.06451e-09	1.6529e-08	8.33461e-25
2.93724e-09	2.40161e-08	2.75186e-24
3.32383e-09	3.01777e-08	4.21017e-24
3.44471e-09	2.96704e-08	5.17572e-24
3.1753e-09	2.40161e-08	2.6896e-24
3.57759e-09	2.75483e-08	4.58554e-24
3.18185e-09	2.33755e-08	2.52969e-24
3.20194e-09	2.20387e-08	1.91711e-24
3.86208e-09	2.464e-08	3.31777e-24
