 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
31,0.0013,0,0.1394,0.2899,0.2360,0.0360,0.0404,0.0444,0.0375,87.7994,0.8456,0.0478,131,105,131.1859,0.0360,1.1822,0.8459,0.9367
32,0.0008,0,0.1035,2.7056,0.2382,0.0270,0.0360,0.0370,0.0264,94.6817,0.9011,0.0377,1207,106,107.3540,0.0270,1.4045,0.7120,0.9184
33,0.0011,0,0.1267,0.6831,0.2404,0.0270,0.0449,0.0478,0.0283,90.2646,0.8301,0.0476,306,127,70.7100,0.0270,1.6900,0.5917,0.9567
34,0.0008,0,0.1080,3.0382,0.2427,0.0247,0.0404,0.0404,0.0251,83.3963,0.8603,0.0420,1352,126,74.4759,0.0247,1.6076,0.6221,0.9489
35,0.0008,0,0.1021,1.3573,0.2449,0.0292,0.0337,0.0344,0.0291,83.6175,0.9488,0.0355,608,124,71.5651,0.0292,1.1816,0.8463,0.9286
36,0.0028,0,0.2415,1.2764,0.2517,0.0315,0.0989,0.1084,0.0332,89.7276,0.6094,0.1001,570,156,80.9605,0.0315,3.2626,0.3065,0.9404
37,0.0009,0,0.1111,3.1371,0.2562,0.0292,0.0382,0.0378,0.0293,80.6673,0.8837,0.0392,1400,114,103.2405,0.0292,1.2914,0.7744,0.9272
38,0.0024,0,0.1952,2.1169,0.2607,0.0517,0.0517,0.0577,0.0526,49.5540,0.7860,0.0685,942,136,41.0091,0.0517,1.0976,0.9111,0.9478
39,0.0006,0,0.0918,2.4382,0.2629,0.0247,0.0315,0.0320,0.0221,70.3968,0.8275,0.0352,1088,131,63.4349,0.0247,1.4506,0.6894,0.8871
40,0.0021,0,0.1899,1.8539,0.2764,0.0360,0.0652,0.0700,0.0377,88.0480,0.7211,0.0683,826,151,62.5924,0.0360,1.8586,0.5380,0.9255
41,0.0012,0,0.1355,1.6989,0.2809,0.0315,0.0449,0.0483,0.0307,91.0813,0.7988,0.0493,757,125,114.2277,0.0315,1.5725,0.6359,0.9112
42,0.0006,0,0.0894,1.4382,0.2854,0.0270,0.0270,0.0285,0.0264,84.5003,0.9282,0.0312,643,139,59.7436,0.0270,1.0809,0.9251,0.9286
43,0.0010,0,0.1175,0.4157,0.2899,0.0315,0.0382,0.0402,0.0304,75.8254,0.8734,0.0418,187,146,53.7462,0.0314,1.3241,0.7553,0.9291
44,0.0020,0,0.1804,3.3663,0.3034,0.0382,0.0652,0.0691,0.0369,83.3378,0.7720,0.0705,1500,164,67.5206,0.0380,1.8744,0.5335,0.9318
45,0.0012,0,0.1323,0.8966,0.3079,0.0337,0.0427,0.0451,0.0333,78.1400,0.8485,0.0481,400,155,52.5946,0.0337,1.3544,0.7383,0.9159
46,0.0040,0,0.2531,1.5258,0.3079,0.0494,0.0876,0.0968,0.0528,89.4274,0.7876,0.0939,684,176,68.9625,0.0494,1.8343,0.5452,0.9701
47,0.0018,0,0.1675,2.2809,0.3146,0.0404,0.0562,0.0598,0.0376,71.5942,0.7919,0.0633,1018,165,62.5256,0.0404,1.5912,0.6285,0.9235
48,0.0012,0,0.1413,0.6854,0.3169,0.0270,0.0539,0.0558,0.0281,95.2978,0.7757,0.0562,307,141,106.2602,0.0270,1.9820,0.5045,0.9385
49,0.0007,0,0.1029,1.3843,0.3213,0.0247,0.0360,0.0375,0.0245,86.0999,0.8567,0.0384,619,159,69.4440,0.0247,1.5302,0.6535,0.9196
50,0.0020,0,0.1849,0.7393,0.3303,0.0360,0.0652,0.0716,0.0347,86.9560,0.7183,0.0697,331,176,69.2277,0.0359,2.0623,0.4849,0.9053
51,0.0008,0,0.1132,2.9303,0.3326,0.0225,0.0427,0.0455,0.0219,90.3967,0.7673,0.0448,1305,148,107.5256,0.0225,2.0798,0.4808,0.9199
52,0.0006,0,0.0921,1.9618,0.3506,0.0247,0.0292,0.0307,0.0268,84.0842,0.9582,0.0332,875,169,61.6992,0.0247,1.1446,0.8736,0.9588
53,0.0008,0,0.1048,3.2989,0.3528,0.0270,0.0360,0.0371,0.0279,72.4985,0.9306,0.0393,1470,173,59.0362,0.0270,1.3262,0.7540,0.9443
54,0.0029,0,0.2190,0.3416,0.3551,0.0427,0.0719,0.0797,0.0461,87.8601,0.7568,0.0795,153,190,61.2602,0.0427,1.7292,0.5783,0.9573
55,0.0008,0,0.1074,2.6202,0.3551,0.0337,0.0292,0.0331,0.0297,9.4486,0.8415,0.0381,1169,170,45.0000,0.0292,1.1155,0.8965,0.9329
56,0.0012,0,0.1389,2.7955,0.3596,0.0315,0.0472,0.0522,0.0304,81.9993,0.8127,0.0533,1245,181,62.3540,0.0300,1.7136,0.5836,0.9338
57,0.0022,0,0.2061,0.9146,0.3775,0.0337,0.0764,0.0840,0.0327,93.6595,0.6381,0.0796,410,168,106.3895,0.0337,2.5686,0.3893,0.9018
58,0.0005,0,0.0818,1.3079,0.3820,0.0225,0.0270,0.0285,0.0228,95.5196,0.9587,0.0293,584,170,122.4712,0.0225,1.2506,0.7996,0.9309
59,0.0006,0,0.0908,1.2674,0.3843,0.0247,0.0292,0.0308,0.0259,82.5295,0.9554,0.0332,566,184,61.6992,0.0247,1.1921,0.8389,0.9502
60,0.0018,0,0.1754,2.0270,0.3843,0.0315,0.0629,0.0692,0.0327,88.8030,0.7263,0.0668,905,199,70.3462,0.0315,2.1142,0.4730,0.9399
61,0.0008,0,0.1066,1.5775,0.3888,0.0292,0.0360,0.0361,0.0298,78.0637,0.9319,0.0387,703,188,54.4623,0.0292,1.2127,0.8246,0.9330
62,0.0010,0,0.1177,1.6831,0.3888,0.0247,0.0427,0.0449,0.0271,90.4813,0.8655,0.0448,750,192,72.4744,0.0247,1.6587,0.6029,0.9643
63,0.0012,0,0.1376,1.7910,0.3933,0.0270,0.0494,0.0533,0.0292,87.9519,0.8116,0.0519,800,197,72.3499,0.0270,1.8247,0.5480,0.9603
64,0.0006,0,0.0849,1.9056,0.3955,0.0247,0.0270,0.0277,0.0260,57.0949,0.9851,0.0306,848,187,36.0274,0.0247,1.0691,0.9354,0.9451
65,0.0015,0,0.1548,2.4090,0.4000,0.0360,0.0539,0.0555,0.0354,93.6530,0.8107,0.0562,1076,202,73.7398,0.0357,1.5682,0.6377,0.9203
66,0.0005,0,0.0849,2.2427,0.4045,0.0225,0.0292,0.0299,0.0224,85.8551,0.9147,0.0306,999,192,53.9726,0.0225,1.3362,0.7484,0.9123
67,0.0009,0,0.1207,3.1079,0.4045,0.0270,0.0427,0.0451,0.0264,84.9585,0.8062,0.0442,1387,180,104.7436,0.0270,1.7084,0.5853,0.9091
68,0.0006,0,0.0945,0.0944,0.4382,0.0315,0.0270,0.0308,0.0257,173.5856,0.8745,0.0334,45,196,137.7263,0.0263,1.1996,0.8336,0.9011
69,0.0007,0,0.1074,0.2404,0.4382,0.0225,0.0404,0.0417,0.0214,84.3918,0.7645,0.0410,110,195,99.4623,0.0219,1.9502,0.5128,0.9085
70,0.0012,0,0.1323,1.3551,0.4382,0.0472,0.0315,0.0476,0.0309,12.4702,0.8303,0.0523,603,207,25.4633,0.0311,1.5417,0.6486,0.9215
71,0.0010,0,0.1228,1.8517,0.4472,0.0292,0.0404,0.0422,0.0314,94.4052,0.8675,0.0443,826,200,120.4655,0.0292,1.3433,0.7444,0.9493
72,0.0006,0,0.1308,2.1461,0.4472,0.0315,0.0449,0.0336,0.0228,73.4435,0.4417,0.0476,956,219,70.7100,0.0305,1.4772,0.6770,0.6485
73,0.0013,0,0.1426,2.7596,0.4472,0.0315,0.0517,0.0534,0.0307,83.3998,0.7958,0.0555,1229,222,68.6294,0.0314,1.7415,0.5742,0.9173
74,0.0014,0,0.1482,3.2809,0.4472,0.0337,0.0539,0.0557,0.0318,83.8360,0.7976,0.0562,1465,223,73.7398,0.0337,1.7499,0.5715,0.9124
75,0.0006,0,0.0911,2.0966,0.4562,0.0337,0.0270,0.0296,0.0239,7.0304,0.8416,0.0340,933,210,7.5946,0.0261,1.2400,0.8065,0.8627
76,0.0008,0,0.1048,1.6292,0.4584,0.0360,0.0270,0.0378,0.0277,8.3104,0.9421,0.0392,725,214,23.6294,0.0270,1.3646,0.7328,0.9504
77,0.0048,0,0.3068,2.4944,0.4607,0.0472,0.1169,0.1252,0.0490,94.3814,0.6432,0.1195,1113,205,106.3895,0.0472,2.5569,0.3911,0.9408
78,0.0052,0,0.3221,0.5393,0.4629,0.0494,0.1191,0.1336,0.0493,88.8559,0.6268,0.1238,243,259,74.1975,0.0494,2.7078,0.3693,0.9301
79,0.0010,0,0.1315,1.5820,0.4764,0.0270,0.0494,0.0505,0.0264,85.2313,0.7594,0.0512,705,234,74.7449,0.0270,1.9134,0.5226,0.9139
80,0.0012,0,0.1421,3.2000,0.4764,0.0315,0.0472,0.0483,0.0311,85.9049,0.7359,0.0513,1425,232,61.1892,0.0311,1.5515,0.6445,0.8897
81,0.0038,0,0.2632,2.1978,0.4809,0.0449,0.0989,0.1070,0.0457,90.1033,0.6972,0.1009,985,258,78.4399,0.0449,2.3410,0.4272,0.9332
82,0.0006,0,0.0900,0.2292,0.4876,0.0247,0.0315,0.0332,0.0217,68.5710,0.8778,0.0352,104,231,63.4349,0.0238,1.5345,0.6517,0.9069
83,0.0006,0,0.0939,0.5888,0.4899,0.0247,0.0315,0.0333,0.0235,105.1723,0.8775,0.0351,263,219,129.8056,0.0238,1.4155,0.7065,0.9104
84,0.0009,0,0.1145,2.5775,0.4921,0.0315,0.0337,0.0362,0.0327,77.6467,0.8900,0.0400,1148,219,128.1572,0.0315,1.1074,0.9030,0.9460
85,0.0008,0,0.1093,2.3461,0.4944,0.0360,0.0292,0.0362,0.0289,4.8377,0.8662,0.0402,1044,230,26.5651,0.0292,1.2534,0.7978,0.9288
86,0.0011,0,0.1259,2.0809,0.4966,0.0360,0.0382,0.0411,0.0347,57.1532,0.8883,0.0449,927,237,53.1301,0.0360,1.1862,0.8430,0.9387
87,0.0022,0,0.1963,1.6809,0.5011,0.0404,0.0719,0.0772,0.0367,80.7026,0.7246,0.0760,751,255,71.0296,0.0383,2.1054,0.4750,0.9129
88,0.0016,0,0.1569,1.9416,0.5011,0.0337,0.0517,0.0573,0.0365,89.1885,0.8383,0.0574,865,246,59.4208,0.0337,1.5689,0.6374,0.9658
89,0.0007,0,0.0952,2.0157,0.5124,0.0225,0.0337,0.0362,0.0235,76.3127,0.9233,0.0382,898,243,61.9275,0.0225,1.5403,0.6492,0.9670
90,0.0017,0,0.1720,0.1258,0.5146,0.0337,0.0629,0.0650,0.0325,89.8706,0.7038,0.0643,64,257,77.9052,0.0335,2.0017,0.4996,0.9136
91,0.0008,0,0.1008,1.1169,0.5146,0.0315,0.0315,0.0333,0.0301,50.1342,0.9737,0.0355,498,241,34.6952,0.0315,1.1079,0.9026,0.9341
92,0.0007,0,0.0984,0.0135,0.5236,0.0292,0.0292,0.0322,0.0283,52.0034,0.9302,0.0355,6,244,34.6952,0.0292,1.1383,0.8785,0.9435
93,0.0016,0,0.1534,0.6539,0.5236,0.0404,0.0472,0.0495,0.0400,95.5658,0.8301,0.0530,294,234,126.3844,0.0404,1.2361,0.8090,0.9194
94,0.0006,0,0.0947,3.2000,0.5236,0.0292,0.0247,0.0324,0.0248,162.9265,0.8845,0.0366,1424,233,137.4896,0.0247,1.3056,0.7659,0.9470
95,0.0008,0,0.1194,2.3551,0.5393,0.0449,0.0270,0.0459,0.0211,18.4627,0.6727,0.0484,1048,251,21.8014,0.0245,2.1739,0.4600,0.8343
96,0.0005,0,0.0849,1.0809,0.5416,0.0247,0.0270,0.0283,0.0236,105.0267,0.9147,0.0301,483,241,116.5651,0.0247,1.1985,0.8344,0.9204
97,0.0008,0,0.1080,1.3213,0.5416,0.0360,0.0292,0.0356,0.0294,161.6792,0.8875,0.0387,588,242,144.4623,0.0292,1.2121,0.8250,0.9288
98,0.0013,0,0.1352,0.7865,0.5461,0.0337,0.0404,0.0448,0.0362,91.8926,0.8755,0.0499,351,243,125.8377,0.0337,1.2396,0.8067,0.9711
99,0.0015,0,0.1561,1.3685,0.5483,0.0337,0.0539,0.0580,0.0336,85.9177,0.7893,0.0574,610,267,59.4208,0.0337,1.7248,0.5798,0.9168
100,0.0019,0,0.2029,0.3551,0.5551,0.0292,0.0787,0.0854,0.0288,91.8767,0.5905,0.0807,163,247,102.8750,0.0292,2.9625,0.3376,0.8980
101,0.0005,0,0.0849,3.0584,0.5618,0.0292,0.0225,0.0290,0.0226,12.7728,0.8971,0.0313,1361,259,21.0375,0.0225,1.2845,0.7785,0.9148
102,0.0005,0,0.1109,3.3191,0.5865,0.0382,0.0247,0.0340,0.0193,6.1127,0.5262,0.0405,1477,270,19.4400,0.0235,1.7599,0.5682,0.7286
103,0.0016,0,0.1503,0.7820,0.5888,0.0427,0.0449,0.0464,0.0428,102.5362,0.8684,0.0512,351,262,127.8750,0.0427,1.0855,0.9212,0.9392
104,0.0026,0,0.2061,2.6382,0.5888,0.0404,0.0719,0.0777,0.0419,87.7917,0.7562,0.0774,1176,294,64.1790,0.0404,1.8545,0.5392,0.9396
105,0.0014,0,0.1434,3.2090,0.5888,0.0337,0.0449,0.0494,0.0363,89.0588,0.8614,0.0517,1429,282,55.6197,0.0337,1.3599,0.7354,0.9588
106,0.0008,0,0.1021,2.7551,0.5933,0.0360,0.0270,0.0356,0.0277,2.6513,0.9305,0.0384,1226,273,20.5560,0.0270,1.2850,0.7782,0.9301
107,0.0022,0,0.1748,0.6180,0.5978,0.0449,0.0517,0.0570,0.0481,80.6259,0.8844,0.0625,277,289,52.3058,0.0449,1.1861,0.8431,0.9693
