label,area,perimeter,solidity,major_axis_length,minor_axis_length,aspect_ratio,circularity,length_um,width_um,area_um2,length_nm,width_nm,area_nm2
1,162.0,64.18376618407356,0.7330316742081447,25.84398247045646,10.382892999239912,2.489092632693835,0.49416784668452035,0.05810399202902843,0.02334344301447112,0.0008188570304711999,58.10399202902843,23.343443014471124,818.8570304711998
2,228.0,105.29646455628165,0.5415676959619953,39.33108973614423,11.936291077195138,3.2950846692477347,0.25841465060306307,0.08842651581018361,0.026835885777214737,0.0011524654502927997,88.42651581018362,26.835885777214738,1152.4654502927997
3,72.0,36.2842712474619,0.782608695652174,12.7435297012922,8.817454988866036,1.4452616676108572,0.6872354449679902,0.0286507680862272,0.019823931353267953,0.0003639364579871999,28.6507680862272,19.82393135326795,363.9364579871999
4,379.0,151.06601717798213,0.5812883435582822,42.76086320191748,16.62633952617264,2.571874773434329,0.20869666806859136,0.09613753830234298,0.037380334103112894,0.0019157210774603996,96.13753830234299,37.380334103112894,1915.7210774603996
5,775.0,170.00104602052653,0.7097069597069597,48.35725447534388,24.786842494249292,1.9509243457113619,0.3369833002998932,0.10871968094673662,0.05572726650612091,0.003917371596389999,108.71968094673662,55.727266506120905,3917.371596389999
6,200.0,63.698484809834994,0.8695652173913043,24.708285709197646,10.988694977687722,2.248518660256493,0.619414911032571,0.055550650428560694,0.024705443370536196,0.0010109346055199998,55.550650428560694,24.705443370536194,1010.9346055199998
7,175.0,66.42640687119285,0.7231404958677686,24.362673566961092,12.514272257669758,1.946791077046424,0.4983866380097604,0.05477362447365594,0.028135337746028607,0.0008845677798299998,54.773624473655936,28.135337746028604,884.5677798299998
8,922.0,127.15432893255071,0.9369918699186992,44.73761116892355,27.041401434247977,1.6544117093082054,0.7166027734746521,0.10058178168664406,0.06079610118856235,0.004660408531447199,100.58178168664405,60.796101188562346,4660.408531447199
9,128.0,45.698484809834994,0.920863309352518,17.713766744591755,9.549153622478553,1.855009087181699,0.7702225549293512,0.039825153221195855,0.02146898012327363,0.0006469981475327999,39.825153221195855,21.468980123273628,646.9981475327999
10,709.0,106.08326112068522,0.9390728476821192,36.00389549820937,25.484068274542736,1.4128001506798424,0.7917031542976646,0.08094611809280418,0.057294811338923446,0.003583763176568399,80.94611809280418,57.294811338923445,3583.763176568399
11,551.0,95.01219330881975,0.9338983050847458,34.20133191956521,20.95179703625918,1.6323817885585847,0.7670130895574085,0.07689348650148167,0.047105087204740055,0.0027851248382075996,76.89348650148168,47.10508720474006,2785.1248382075996
12,186.0,64.91168824543144,0.7848101265822784,27.0956657362889,10.078541976785523,2.6884509484308228,0.5547240551707742,0.060918101448268876,0.022659182784727817,0.0009401691831335998,60.91810144826888,22.659182784727818,940.1691831335997
13,358.0,104.22539674441617,0.7306122448979592,37.52259631978376,16.61817155841777,2.257925680203792,0.4141386626163937,0.08436055240191702,0.03736197038792834,0.0018095729438807997,84.36055240191702,37.36197038792833,1809.5729438807996
14,761.0,117.7401153701776,0.9157641395908543,39.191684810716104,25.79309484528093,1.5194642227234147,0.6898356058883766,0.08811309729254058,0.057989583416851294,0.003846606174003599,88.11309729254057,57.989583416851296,3846.6061740035993
15,1037.0,136.42640687119285,0.9453053783044667,55.50452330492899,24.440802634432202,2.2709779271624337,0.7001510400814867,0.12478859956553963,0.05494927893088854,0.005241695929621199,124.78859956553963,54.94927893088854,5241.695929621199
16,96.0,48.526911934581186,0.8275862068965517,15.953756767334392,9.261828353687864,1.7225277945236313,0.5122898913309828,0.03586819318972721,0.020822998214462277,0.00048524861064959987,35.868193189727215,20.822998214462274,485.24861064959987
