#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
1.09611e-09	7.62939e-18	1.00575e-27	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
3.0884e-09	4.57764e-16	7.12177e-25	2.14844e-08	2.72039e-08	2.15094e-08	2.62892e-08
4.49839e-09	4.31061e-16	1.04047e-24	2.27101e-08	2.72039e-08	1.9973e-08	2.62892e-08
9.9859e-10	3.8147e-18	2.77951e-28	1.95312e-09	2.76214e-09	1.8778e-09	2.90206e-09
1.89574e-09	2.09808e-16	1.23468e-25	1.5625e-08	2.01087e-08	1.36568e-08	1.94609e-08
1.02757e-09	1.14441e-17	1.17099e-27	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
1.03419e-09	2.28882e-17	2.05778e-28	3.90625e-09	8.05294e-09	3.92632e-09	7.68192e-09
3.02151e-09	2.89917e-16	3.94657e-25	1.92162e-08	2.22691e-08	1.65588e-08	2.20215e-08
1.26416e-09	2.67029e-17	8.48275e-27	5.85937e-09	7.04209e-09	4.95057e-09	6.82838e-09
1.13619e-09	1.14441e-17	1.86218e-27	1.95312e-09	6.17632e-09	1.8778e-09	5.97483e-09
9.82095e-10	1.52588e-17	1.12768e-27	3.90625e-09	5.52427e-09	3.92632e-09	5.63341e-09
9.49259e-10	1.14441e-17	6.78251e-28	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
1.33539e-09	9.53674e-17	2.78333e-26	9.76562e-09	1.48746e-08	8.36476e-09	1.48517e-08
1.16221e-09	8.7738e-17	2.00933e-26	9.76562e-09	1.25061e-08	9.73043e-09	1.22911e-08
1.52194e-09	6.48499e-17	2.96544e-26	7.8125e-09	1.13886e-08	7.51121e-09	1.0584e-08
1.08297e-09	3.8147e-17	4.65082e-27	5.85937e-09	8.73464e-09	5.80412e-09	8.02334e-09
1.46022e-09	9.91821e-17	3.32897e-26	9.76562e-09	1.57466e-08	9.0476e-09	1.4681e-08
1.10075e-09	5.34058e-17	3.3403e-27	5.85937e-09	1.23526e-08	5.80412e-09	1.17789e-08
4.66914e-09	6.2561e-16	1.67494e-24	2.76214e-08	3.25065e-08	2.5265e-08	3.15812e-08
4.79382e-09	5.07355e-16	1.28011e-24	2.34375e-08	2.97491e-08	2.21922e-08	2.88499e-08
2.80335e-09	2.89917e-16	4.02111e-25	1.95312e-08	2.11263e-08	1.69002e-08	2.03144e-08
1.33483e-09	5.72205e-17	1.45611e-26	7.8125e-09	1.10485e-08	7.85263e-09	1.10961e-08
1.01125e-09	4.95911e-17	3.45128e-27	5.85937e-09	1.05179e-08	5.80412e-09	1.00719e-08
1.07712e-09	7.62939e-18	9.79856e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
9.89403e-10	2.67029e-17	2.13237e-27	5.52427e-09	8.28641e-09	2.90206e-09	8.36476e-09
9.41581e-10	1.52588e-17	1.65946e-27	3.90625e-09	5.52427e-09	3.92632e-09	5.63341e-09
1.19566e-09	9.15527e-17	1.24937e-26	7.8125e-09	1.61059e-08	5.80412e-09	1.57053e-08
3.99307e-09	4.99725e-16	1.12273e-24	2.14844e-08	3.05712e-08	2.15094e-08	2.95327e-08
8.31614e-10	3.8147e-18	4.33966e-29	1.95312e-09	2.76214e-09	1.8778e-09	2.90206e-09
1.00147e-09	4.19617e-17	1.03648e-27	5.55869e-09	1.23526e-08	2.73135e-09	1.19497e-08
9.26816e-10	7.62939e-18	1.08537e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
3.29386e-09	2.32697e-16	3.72118e-25	1.65728e-08	1.95312e-08	1.38275e-08	1.94609e-08
1.32504e-09	9.91821e-17	2.59776e-26	9.76562e-09	1.4219e-08	9.73043e-09	1.36568e-08
1.05683e-09	1.14441e-17	3.92278e-28	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
1.0968e-09	3.8147e-17	6.20808e-27	5.85937e-09	9.76562e-09	4.43844e-09	9.0476e-09
2.35531e-09	2.13623e-16	2.00488e-25	1.5625e-08	1.95312e-08	1.41689e-08	1.89487e-08
1.67365e-09	2.55585e-16	1.54533e-25	1.65958e-08	2.28607e-08	1.41689e-08	2.21922e-08
1.51221e-09	1.48773e-16	6.89106e-26	1.36719e-08	1.68014e-08	1.21204e-08	1.5876e-08
1.06392e-09	3.43323e-17	2.10065e-27	6.11425e-09	1.10485e-08	3.92632e-09	1.10961e-08
1.80351e-09	1.48773e-16	1.06752e-25	1.36719e-08	1.57466e-08	1.21204e-08	1.48517e-08
9.91484e-10	7.62939e-18	2.62617e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
8.63248e-10	3.8147e-18	7.84464e-30	1.95312e-09	2.76214e-09	1.8778e-09	2.90206e-09
3.02124e-09	3.28064e-16	5.53919e-25	1.75781e-08	2.47053e-08	1.75831e-08	2.42407e-08
1.18776e-09	7.62939e-18	7.61154e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
1.48747e-09	1.25885e-16	5.0783e-26	1.17187e-08	1.52544e-08	1.00719e-08	1.4681e-08
1.37761e-09	1.41144e-16	2.7787e-26	1.35425e-08	1.8529e-08	1.09254e-08	1.75831e-08
8.14698e-10	7.62939e-18	-2.51351e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
1.5121e-09	5.34058e-17	2.10946e-26	7.8125e-09	1.10485e-08	5.63341e-09	1.10961e-08
9.67041e-10	3.43323e-17	1.81552e-27	5.85937e-09	8.73464e-09	5.80412e-09	8.53547e-09
8.23064e-10	1.14441e-17	-9.04834e-29	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
2.87983e-09	3.50952e-16	5.94785e-25	1.5625e-08	2.65654e-08	1.57053e-08	2.62892e-08
9.78473e-10	2.67029e-17	3.72734e-27	5.85937e-09	7.04209e-09	4.95057e-09	6.82838e-09
9.91846e-10	1.52588e-17	5.57968e-28	3.90625e-09	6.17632e-09	3.92632e-09	5.97483e-09
2.73941e-09	2.93732e-16	3.57842e-25	1.75781e-08	2.28607e-08	1.69002e-08	2.23629e-08
1.11389e-09	6.10352e-17	8.31996e-27	7.8125e-09	1.13886e-08	6.65767e-09	1.0584e-08
1.01233e-09	1.90735e-17	1.42164e-27	3.90625e-09	7.04209e-09	3.92632e-09	6.65767e-09
1.25039e-09	5.72205e-17	8.7309e-27	7.8125e-09	1.13886e-08	6.31625e-09	1.09254e-08
1.32781e-09	1.06812e-16	2.4829e-26	9.76562e-09	1.48746e-08	9.38902e-09	1.41689e-08
1.29274e-09	2.67029e-17	2.78892e-27	3.90625e-09	8.73464e-09	3.92632e-09	8.53547e-09
1.2651e-09	8.39233e-17	1.61827e-26	9.76562e-09	1.3102e-08	7.68192e-09	1.22911e-08
1.78905e-09	1.67847e-16	9.17558e-26	1.17187e-08	1.8529e-08	1.17789e-08	1.75831e-08
1.21302e-09	3.43323e-17	6.92845e-27	5.85937e-09	8.73464e-09	4.77986e-09	8.02334e-09
1.06968e-09	9.91821e-17	9.05671e-27	9.76562e-09	1.61059e-08	7.85263e-09	1.57053e-08
1.70401e-09	1.75476e-16	1.13896e-25	1.36719e-08	1.9335e-08	1.36568e-08	1.92902e-08
1.2483e-09	1.2207e-16	3.09671e-26	1.1355e-08	1.57466e-08	9.55973e-09	1.48517e-08
3.49942e-09	4.42505e-16	9.67321e-25	1.95312e-08	2.90353e-08	1.80952e-08	2.83378e-08
4.09207e-09	4.42505e-16	1.10027e-24	1.95312e-08	2.72039e-08	1.94609e-08	2.62892e-08
1.04581e-09	2.67029e-17	2.50934e-27	5.52427e-09	8.28641e-09	2.90206e-09	8.36476e-09
1.05074e-09	1.90735e-17	3.10636e-27	3.90625e-09	7.04209e-09	3.92632e-09	6.65767e-09
1.20581e-09	3.43323e-17	7.06709e-27	5.85937e-09	8.28641e-09	5.97483e-09	8.36476e-09
1.3017e-09	4.19617e-17	8.68947e-27	5.85937e-09	9.95902e-09	5.97483e-09	9.73043e-09
1.49707e-09	1.14441e-16	3.41636e-26	9.76562e-09	1.66875e-08	7.85263e-09	1.62174e-08
1.41236e-09	1.71661e-16	6.91648e-26	1.35879e-08	1.92361e-08	1.0584e-08	1.80952e-08
4.78182e-09	3.31879e-16	8.6488e-25	1.5625e-08	2.84379e-08	1.57053e-08	2.62892e-08
1.69743e-09	1.02997e-16	5.9698e-26	7.8125e-09	1.96287e-08	6.31625e-09	1.82659e-08
1.31228e-09	4.57764e-17	1.3153e-26	5.85937e-09	1.23526e-08	4.43844e-09	1.21204e-08
