#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
1.46022e-09	6.86646e-17	1.47834e-26	7.8125e-09	1.13886e-08	7.68192e-09	1.0584e-08
1.10075e-09	5.72205e-17	1.39167e-27	5.85937e-09	1.23526e-08	5.80412e-09	1.17789e-08
4.66914e-09	7.36237e-16	1.87825e-24	2.92969e-08	3.47744e-08	2.8167e-08	3.44833e-08
4.79382e-09	6.06537e-16	1.40149e-24	2.73437e-08	3.15537e-08	2.54357e-08	3.12398e-08
2.80335e-09	3.24249e-16	4.93023e-25	1.95312e-08	2.27772e-08	1.82659e-08	2.16801e-08
1.33483e-09	3.43323e-17	6.74759e-27	5.85937e-09	8.73464e-09	4.77986e-09	8.02334e-09
9.30544e-10	4.57764e-17	1.55886e-27	5.85937e-09	9.76562e-09	5.97483e-09	9.73043e-09
9.89403e-10	8.7738e-17	2.74924e-27	5.85937e-09	1.8529e-08	5.80412e-09	1.82659e-08
1.19566e-09	9.53674e-17	1.14811e-26	7.8125e-09	1.48746e-08	7.85263e-09	1.41689e-08
3.99307e-09	5.6839e-16	1.20114e-24	2.53906e-08	3.08816e-08	2.32165e-08	2.95327e-08
8.89006e-10	2.28882e-17	1.55005e-27	3.90625e-09	8.73464e-09	3.92632e-09	8.02334e-09
9.26816e-10	1.52588e-17	-1.09504e-27	3.90625e-09	7.04209e-09	1.8778e-09	6.65767e-09
9.018e-10	1.52588e-17	-8.25823e-28	3.90625e-09	6.17632e-09	3.92632e-09	5.97483e-09
3.29386e-09	2.67029e-16	3.89111e-25	1.75781e-08	2.11263e-08	1.60467e-08	2.03144e-08
1.32504e-09	8.39233e-17	1.64825e-26	9.76562e-09	1.3102e-08	7.85263e-09	1.28032e-08
1.06145e-09	1.52588e-17	6.63148e-28	3.90625e-09	5.52427e-09	3.92632e-09	5.63341e-09
2.35531e-09	2.28882e-16	2.27992e-25	1.65728e-08	2.0762e-08	1.41689e-08	1.98023e-08
1.67365e-09	2.59399e-16	1.52303e-25	1.70533e-08	2.28607e-08	1.38275e-08	2.16801e-08
1.51221e-09	1.64032e-16	6.90384e-26	1.36719e-08	1.80069e-08	1.28032e-08	1.70709e-08
1.06392e-09	3.05176e-17	3.34478e-27	5.85937e-09	8.28641e-09	5.63341e-09	8.36476e-09
1.80351e-09	1.64032e-16	1.14377e-25	1.36719e-08	1.68014e-08	1.28032e-08	1.60467e-08
3.02124e-09	3.43323e-16	5.91719e-25	1.75781e-08	2.47053e-08	1.75831e-08	2.35579e-08
