#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
9.38636e-09	6.77109e-15	4.30654e-23	6.83594e-08	1.17998e-07	6.91373e-08	1.16936e-07
9.14462e-09	3.8147e-15	1.34576e-23	6.21481e-08	1.05631e-07	4.95057e-08	9.64508e-08
7.80054e-09	4.86374e-15	2.61358e-23	6.83594e-08	9.76562e-08	6.82838e-08	9.64508e-08
4.45139e-09	2.57492e-15	6.72234e-24	4.88281e-08	7.6272e-08	4.86522e-08	7.25515e-08
9.20785e-09	3.24249e-15	1.7285e-23	5.85937e-08	7.6272e-08	5.63341e-08	7.42586e-08
3.64158e-09	2.86102e-16	2.37216e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
1.67863e-08	4.673e-15	3.79121e-23	6.83594e-08	9.26449e-08	6.31625e-08	8.96224e-08
6.91553e-09	4.19617e-15	1.98578e-23	4.88281e-08	1.00543e-07	4.95057e-08	9.73043e-08
1.03695e-08	3.71933e-15	2.29e-23	6.83594e-08	7.8733e-08	6.06018e-08	7.42586e-08
3.75591e-09	7.62939e-16	7.95935e-25	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
9.00414e-09	1.52588e-15	8.22161e-24	3.90625e-08	5.69429e-08	3.32883e-08	5.63341e-08
1.59775e-08	5.81741e-15	4.81818e-23	7.8125e-08	1.00543e-07	7.85263e-08	9.73043e-08
3.91181e-09	1.33514e-15	1.73716e-24	3.90625e-08	4.88281e-08	3.84096e-08	4.5238e-08
1.13726e-08	4.673e-15	3.10065e-23	6.83594e-08	9.21287e-08	6.82838e-08	9.0476e-08
4.63455e-09	1.62125e-15	3.07113e-24	4.80405e-08	5.69429e-08	3.41419e-08	5.63341e-08
1.43725e-08	5.62668e-15	4.11615e-23	7.8125e-08	1.00543e-07	7.3405e-08	9.47437e-08
1.19254e-08	2.38419e-15	8.36589e-24	4.88281e-08	7.8733e-08	3.75561e-08	7.16979e-08
9.9009e-09	4.673e-15	2.33554e-23	6.83594e-08	1.01956e-07	6.31625e-08	1.00719e-07
1.1554e-08	4.1008e-15	1.94362e-23	6.83594e-08	1.00543e-07	5.4627e-08	9.73043e-08
1.17084e-08	5.05447e-15	3.35908e-23	6.83594e-08	9.61803e-08	6.82838e-08	9.13295e-08
1.42104e-08	6.96182e-15	5.55317e-23	8.78906e-08	1.11345e-07	8.53547e-08	1.06693e-07
9.16648e-09	4.76837e-15	2.06695e-23	7.59587e-08	9.26449e-08	6.4016e-08	9.0476e-08
3.61161e-09	7.62939e-16	1.05449e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
1.72263e-08	6.48499e-15	5.84405e-23	7.8125e-08	1.09183e-07	7.42586e-08	1.0584e-07
1.27238e-08	6.96182e-15	5.8105e-23	8.78906e-08	1.11345e-07	8.45011e-08	1.04133e-07
1.69723e-08	7.05719e-15	5.94509e-23	8.78906e-08	1.09183e-07	8.45011e-08	1.0584e-07
2.0572e-08	5.81741e-15	5.63303e-23	7.8125e-08	1.00543e-07	7.76728e-08	9.55973e-08
1.53116e-08	7.34329e-15	6.58344e-23	9.76562e-08	1.11345e-07	8.45011e-08	1.10961e-07
1.98842e-08	5.43594e-15	5.2436e-23	6.83594e-08	1.01956e-07	6.82838e-08	9.81579e-08
1.13247e-08	5.72205e-15	3.72706e-23	7.8125e-08	1.00543e-07	7.68192e-08	9.55973e-08
1.28737e-08	4.3869e-15	3.1495e-23	6.83594e-08	8.40071e-08	6.91373e-08	8.02334e-08
1.35608e-08	4.48227e-15	3.47245e-23	5.85937e-08	9.26449e-08	5.80412e-08	8.87689e-08
7.11952e-09	4.48227e-15	2.09782e-23	5.85937e-08	1.00543e-07	5.88947e-08	9.47437e-08
2.55921e-08	6.29425e-15	6.39231e-23	8.78906e-08	1.00543e-07	8.1087e-08	9.73043e-08
5.65632e-09	3.05176e-15	1.17597e-23	4.88281e-08	7.8733e-08	4.86522e-08	7.42586e-08
5.18369e-09	2.00272e-15	5.46405e-24	4.88281e-08	6.17632e-08	4.35309e-08	5.88947e-08
8.4757e-09	6.38962e-15	3.8215e-23	7.8125e-08	1.09183e-07	6.91373e-08	1.0584e-07
1.50004e-08	5.81741e-15	4.68008e-23	7.8125e-08	9.76562e-08	7.85263e-08	9.55973e-08
1.90367e-08	6.96182e-15	6.5688e-23	8.78906e-08	1.05631e-07	8.79153e-08	1.01572e-07
1.50812e-08	7.24792e-15	5.9772e-23	7.8125e-08	1.17998e-07	7.76728e-08	1.10961e-07
4.05777e-09	2.38419e-15	3.82215e-24	3.90625e-08	8.05294e-08	3.41419e-08	7.85263e-08
9.90321e-09	6.96182e-15	4.57457e-23	7.8125e-08	1.11345e-07	7.85263e-08	1.10108e-07
3.18169e-09	9.53674e-16	7.55753e-25	2.92969e-08	4.36732e-08	2.90206e-08	4.01167e-08
1.39614e-08	6.29425e-15	4.69767e-23	7.8125e-08	1.05179e-07	7.76728e-08	1.00719e-07
1.87269e-08	4.29153e-15	3.39584e-23	6.83594e-08	8.40071e-08	6.31625e-08	8.27941e-08
8.01912e-09	5.81741e-15	3.3899e-23	6.83594e-08	1.05631e-07	6.82838e-08	9.90114e-08
4.9901e-09	5.34058e-15	1.76056e-23	5.85937e-08	1.09183e-07	5.88947e-08	1.01572e-07
1.75509e-08	6.67572e-15	6.31063e-23	7.8125e-08	1.05631e-07	7.76728e-08	1.01572e-07
5.06369e-09	3.33786e-15	9.70067e-24	4.88281e-08	9.26449e-08	3.92632e-08	8.79153e-08
4.38768e-09	1.14441e-15	1.72567e-24	3.90625e-08	4.88281e-08	3.07277e-08	4.5238e-08
