#	z_max	r_eq	V_L
1.03188e-08	4.33831e-08	3.6382e-23
8.18101e-09	4.8971e-08	4.1879e-23
4.56653e-09	3.6547e-08	1.13845e-23
4.95046e-09	3.44078e-08	1.08531e-23
1.34763e-08	4.54339e-08	5.07982e-23
3.7894e-09	2.06153e-08	1.76837e-24
1.58812e-08	2.96704e-08	2.33516e-23
1.44512e-08	4.15971e-08	4.16485e-23
2.01932e-08	4.12305e-08	4.58554e-23
1.50397e-08	4.19604e-08	4.47972e-23
1.97802e-08	4.15971e-08	4.9738e-23
1.12372e-08	1.34959e-08	2.5589e-24
2.11889e-08	4.8971e-08	7.93556e-23
1.46314e-08	4.08608e-08	4.41744e-23
8.54185e-09	3.81721e-08	2.50252e-23
1.33326e-08	4.19604e-08	4.17232e-23
3.23566e-09	1.55837e-08	3.05627e-25
1.76586e-08	4.30319e-08	4.96583e-23
1.09412e-08	4.04876e-08	3.27169e-23
2.36755e-08	4.80321e-08	8.45574e-23
7.93291e-09	4.04876e-08	2.56665e-23
1.54782e-08	4.83471e-08	6.71684e-23
7.12323e-09	3.48462e-08	1.79527e-23
1.29997e-08	3.52791e-08	2.90807e-23
1.51522e-08	4.40773e-08	5.15375e-23
1.30793e-08	4.77151e-08	6.26051e-23
8.23693e-09	1.34959e-08	2.3104e-24
9.10444e-09	3.21266e-08	1.05092e-23
1.17911e-09	5.50966e-09	-2.76456e-26
9.05783e-09	3.77724e-08	1.74415e-23
6.8439e-09	5.07966e-08	4.60718e-23
1.93745e-08	4.12305e-08	6.12591e-23
