label,area,bbox-0,bbox-1,bbox-2,bbox-3,major_axis_length,minor_axis_length,eccentricity,perimeter,solidity,area_um2,area_nm2,equiv_diameter_nm,major_axis_length_nm,minor_axis_length_nm,bbox_height_px,bbox_width_px,bbox_height_nm,bbox_width_nm,bbox_major_nm,bbox_minor_nm,aspect_ratio,fraction_of_total_grain_area,sample_id,field_of_view_area_um2,masked_area_um2,masked_area_fraction,grain_area_fraction_of_total_grain_area,grain_area_fraction_of_fov,area_rank
13,42.0,2,274,9,284,10.291049256491876,5.6415185459513335,0.8363494797388205,25.31370849898476,0.84,0.0003080966150390625,308.0966150390625,19.806079719792624,27.872663720629717,15.279700386800066,7,10,18.959062499999998,27.084375,27.084375,18.959062499999998,1.4285714285714288,0.00044021465705181955,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00044355732978487467,0.00016021728515625,710
14,53.0,2,294,10,305,11.858966574801752,6.02628741206574,0.8612609468224709,28.970562748477143,0.828125,0.00038878858564453123,388.7885856445312,22.24906743628305,32.11926978243962,16.3218228126168,8,11,21.6675,29.792812499999997,29.792812499999997,21.6675,1.3749999999999998,0.0005555089719939628,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0005597271066332942,0.000202178955078125,401
15,19.0,2,394,7,399,5.833685718398605,4.1155364200581115,0.7087319067440508,13.65685424949238,0.95,0.00013937704013671875,139.37704013671876,13.321424816070175,15.800173162925221,11.146673172701142,5,5,13.5421875,13.5421875,13.5421875,13.5421875,1.0,0.00019914472580915649,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00020065688728363378,7.2479248046875e-05,2055
16,38.0,2,447,10,453,8.078187283288583,5.9958857935088785,0.6701434670680737,21.071067811865476,0.926829268292683,0.0002787540802734375,278.7540802734375,18.839339645019955,21.879265370081924,16.239481928856705,8,6,21.6675,16.250625,21.6675,16.250625,1.3333333333333335,0.00039828945161831297,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00040131377456726757,0.00014495849609375,869
17,23.0,2,483,8,488,5.8884798541197645,5.027213437970872,0.5207043730775703,15.65685424949238,0.92,0.00016871957490234376,168.71957490234377,14.65675389493084,15.9485796548925,13.615893395904234,6,5,16.250625,13.5421875,16.250625,13.5421875,1.2,0.00024106993124266312,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0002429004425012409,8.7738037109375e-05,1718
18,26.0,3,82,8,88,6.510418041618965,5.021164213552168,0.6365315537797905,16.242640687119284,0.9629629629629629,0.0001907264759765625,190.7264759765625,15.583340188847204,17.633060364597366,13.5995094496427,5,6,13.5421875,16.250625,16.250625,13.5421875,1.2,0.00027251383531779307,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00027458310891444627,9.918212890625e-05,1517
19,56.0,3,120,12,130,10.341678609469117,8.30070625638418,0.5964557899186143,31.798989873223327,0.835820895522388,0.00041079548671875,410.79548671875,22.870090915626918,28.00979015883401,22.481944101275527,9,10,24.3759375,27.084375,27.084375,24.3759375,1.1111111111111112,0.0005869528760690928,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0005914097730464995,0.000213623046875,356
20,76.0,3,235,13,251,17.689493603907575,8.89513166197389,0.8643746839604,50.384776310850235,0.6440677966101694,0.000557508160546875,557.508160546875,26.64284963214035,47.910887832833424,24.091908160727407,10,16,27.084375,43.335,43.335,27.084375,1.5999999999999999,0.0007965789032366259,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0008026275491345351,0.0002899169921875,127
21,36.0,3,266,10,273,7.031660887021652,6.496927439765986,0.38250489527506093,19.899494936611664,0.9230769230769231,0.000264082812890625,264.082812890625,18.336866702281515,19.044814033692706,17.596521912641187,7,7,18.959062499999998,18.959062499999998,18.959062499999998,18.959062499999998,1.0,0.00037732684890155965,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.000380191996958464,0.0001373291015625,950
22,85.0,3,335,18,347,17.29565304703482,7.695199478841069,0.8955698141135705,47.42031021678298,0.7391304347826086,0.0006235288637695312,623.5288637695312,28.176259628189673,46.84419529957837,20.841966838473606,15,12,40.6265625,32.50125,40.6265625,32.50125,1.25,0.0008909106154620157,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0008976755483741511,0.000324249267578125,77
23,13.0,3,346,7,350,4.318667337728677,3.6794648440311994,0.523556754446835,10.242640687119284,1.0,9.536323798828125e-05,95.36323798828126,11.019085521070712,11.696840567529513,9.965600563505753,4,4,10.83375,10.83375,10.83375,10.83375,1.0,0.00013625691765889653,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00013729155445722313,4.9591064453125e-05,2457
24,17.0,3,423,8,427,5.695306516473481,3.706277656090746,0.759283494666158,12.82842712474619,0.9444444444444444,0.00012470577275390624,124.70577275390625,12.60080637606301,15.425381743211144,10.03822138916828,5,4,13.5421875,10.83375,13.5421875,10.83375,1.25,0.00017818212309240314,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0001795351096748302,6.4849853515625e-05,2176
25,18.0,3,475,8,480,5.076445469458138,4.46191816837747,0.47692249040608053,13.071067811865476,0.9473684210526315,0.0001320414064453125,132.0414064453125,12.966122790897064,13.749235276185525,12.084826489164854,5,5,13.5421875,13.5421875,13.5421875,13.5421875,1.0,0.00018866342445077983,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.000190095998479232,6.866455078125e-05,2114
26,52.0,4,48,15,55,11.404432923765777,6.058235988866285,0.8472353950986643,28.14213562373095,0.8813559322033898,0.000381452951953125,381.452951953125,22.038171042141425,30.888193796961872,16.408353536095028,11,7,29.792812499999997,18.959062499999998,29.792812499999997,18.959062499999998,1.5714285714285714,0.0005450276706355861,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0005491662178288925,0.0001983642578125,424
27,6.0,4,103,6,106,3.265986323710904,2.0,0.7905694150420949,6.0,1.0,4.40138021484375e-05,44.0138021484375,7.4859944836701615,8.845719833625752,5.416875,2,3,5.416875,8.1253125,8.1253125,5.416875,1.5,6.288780815025994e-05,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,6.336533282641067e-05,2.288818359375e-05,2786
28,84.0,4,134,17,147,13.652903607209252,11.578071421073615,0.5299482728437213,47.83452377915607,0.7304347826086957,0.000616193230078125,616.193230078125,28.01002655717344,36.97803611365081,31.35848281451407,13,13,35.209687499999994,35.209687499999994,35.209687499999994,35.209687499999994,1.0,0.0008804293141036391,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0008871146595697493,0.0003204345703125,83
29,5.0,4,152,6,155,3.098386676965933,1.7888543819998317,0.816496580927726,5.207106781186548,1.0,3.6678168457031246e-05,36.67816845703125,6.833746740108977,8.39178666539492,4.845000290247669,2,3,5.416875,8.1253125,8.1253125,5.416875,1.5,5.240650679188328e-05,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,5.280444402200888e-05,1.9073486328125e-05,2854
30,11.0,4,176,8,179,4.346129984141888,3.067356324605906,0.7084437526351622,9.414213562373096,1.0,8.069197060546875e-05,80.69197060546875,10.136084447038224,11.771221428924296,8.30774289542481,4,3,10.83375,8.1253125,10.83375,8.1253125,1.3333333333333335,0.00011529431494214323,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00011616977684841956,4.1961669921875e-05,2552
31,42.0,4,203,14,210,10.653811608582147,5.253843752202676,0.8699487354538404,24.31370849898476,0.84,0.0003080966150390625,308.0966150390625,19.806079719792624,28.85518287861921,14.229707437606436,10,7,27.084375,18.959062499999998,27.084375,18.959062499999998,1.4285714285714288,0.00044021465705181955,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00044355732978487467,0.00016021728515625,711
32,8.0,4,260,7,263,3.4641016151377544,2.7386127875258306,0.6123724356957945,7.414213562373095,1.0,5.868506953125e-05,58.68506953125,8.644081860598043,9.382302718249662,7.417361571714492,3,3,8.1253125,8.1253125,8.1253125,8.1253125,1.0,8.385041086701326e-05,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,8.448711043521423e-05,3.0517578125e-05,2686
33,10.0,5,66,9,70,4.0,3.149603149604724,0.6164414002968978,9.071067811865476,1.0,7.335633691406249e-05,73.3563369140625,9.664377321685041,10.83375,8.530503280507546,4,4,10.83375,10.83375,10.83375,10.83375,1.0,0.00010481301358376656,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00010560888804401777,3.814697265625e-05,2603
34,24.0,5,147,10,154,7.106842038343618,4.575722968720504,0.7651537806624429,17.071067811865476,0.9230769230769231,0.00017605520859375,176.05520859375,14.971988967340323,19.248437483226294,12.39305967809394,5,7,13.5421875,18.959062499999998,18.959062499999998,13.5421875,1.3999999999999997,0.00025155123260103975,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00025346133130564266,9.1552734375e-05,1663
