label,area,bbox-0,bbox-1,bbox-2,bbox-3,major_axis_length,minor_axis_length,eccentricity,perimeter,solidity,area_um2,area_nm2,equiv_diameter_nm,major_axis_length_nm,minor_axis_length_nm,bbox_height_px,bbox_width_px,bbox_height_nm,bbox_width_nm,bbox_major_nm,bbox_minor_nm,aspect_ratio,fraction_of_total_grain_area,sample_id,field_of_view_area_um2,masked_area_um2,masked_area_fraction,grain_area_fraction_of_total_grain_area,grain_area_fraction_of_fov,area_rank
20,32.0,194,70,203,78,11.192933992064846,3.9626510885112363,0.935233502785162,23.48528137423857,0.8205128205128205,0.0030517578125,3051.7578125,62.334731312723854,109.30599601625826,38.697764536242545,9,8,87.890625,78.125,87.890625,78.125,1.125,0.04892966360856269,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.05378151260504202,0.0001220703125,6
21,15.0,199,460,204,464,5.6785120651297705,3.3151253794888635,0.8118962350262185,12.242640687119286,0.9375,0.001430511474609375,1430.511474609375,42.67767307000309,55.45421938603292,32.374271284070936,5,4,48.828125,39.0625,48.828125,39.0625,1.25,0.022935779816513763,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.025210084033613446,5.7220458984375e-05,16
23,11.0,243,433,247,436,4.346129984141888,3.067356324605906,0.7084437526351622,9.414213562373096,1.0,0.001049041748046875,1049.041748046875,36.54697576669487,42.44267562638563,29.95465160747955,4,3,39.0625,29.296875,39.0625,29.296875,1.3333333333333333,0.016819571865443424,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.018487394957983194,4.1961669921875e-05,21
24,7.0,247,393,249,397,4.155374705678736,1.9054711331003737,0.8886656215775005,7.207106781186548,1.0,0.000667572021484375,667.572021484375,29.154400983602766,40.57983111014391,18.60811653418334,2,4,19.53125,39.0625,39.0625,19.53125,2.0,0.010703363914373088,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.011764705882352941,2.6702880859375e-05,28
26,11.0,250,50,255,54,6.021335601033721,2.764840687273839,0.8883463557584421,8.82842712474619,0.8461538461538461,0.001049041748046875,1049.041748046875,36.54697576669487,58.802105478844936,27.000397336658587,5,4,48.828125,39.0625,48.828125,39.0625,1.25,0.016819571865443424,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.018487394957983194,4.1961669921875e-05,22
29,8.0,282,46,283,54,9.16515138991168,0.0,1.0,6.0,1.0,0.000762939453125,762.939453125,31.167365656361927,89.50343154210624,0.0,1,8,9.765625,78.125,78.125,9.765625,8.0,0.012232415902140673,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.013445378151260505,3.0517578125e-05,26
30,5.0,300,39,301,44,5.656854249492381,0.0,1.0,3.0,1.0,0.000476837158203125,476.837158203125,24.639966035353126,55.24271728019903,0.0,1,5,9.765625,48.828125,48.828125,9.765625,5.0,0.00764525993883792,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.008403361344537815,1.9073486328125e-05,29
31,24.0,301,453,306,459,6.531701874401847,4.661089949016677,0.7005428557723746,15.65685424949238,0.96,0.002288818359375,2288.818359375,53.983460854896165,63.786151117205534,45.51845653336599,5,6,48.828125,58.59375,58.59375,48.828125,1.2,0.03669724770642202,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.040336134453781515,9.1552734375e-05,9
37,21.0,346,96,353,102,8.276197447259097,4.023037151559197,0.8739046999210175,17.449747468305834,0.7777777777777778,0.002002716064453125,2002.716064453125,50.496903767836045,80.82224069588962,39.287472183195284,7,6,68.359375,58.59375,68.359375,58.59375,1.1666666666666667,0.03211009174311927,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.03529411764705882,8.0108642578125e-05,10
39,27.0,354,89,361,97,9.655036148534082,3.714580678618039,0.9230292178389112,20.9350288425444,0.8181818181818182,0.002574920654296875,2574.920654296875,57.25810686362343,94.28746238802815,36.275201939629284,7,8,68.359375,78.125,78.125,68.359375,1.1428571428571428,0.04128440366972477,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.0453781512605042,0.000102996826171875,7
40,4.0,383,56,385,58,2.0,2.0,0.0,4.0,1.0,0.0003814697265625,381.4697265625,22.03865560733423,19.53125,19.53125,2,2,19.53125,19.53125,19.53125,19.53125,1.0,0.0061162079510703364,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.0067226890756302525,1.52587890625e-05,33
43,14.0,402,117,408,121,6.04255701329408,3.3529996692375095,0.8319187369502874,11.65685424949238,0.875,0.00133514404296875,1335.14404296875,41.23054927387454,59.00934583295,32.74413739489756,6,4,58.59375,39.0625,58.59375,39.0625,1.5,0.021406727828746176,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.023529411764705882,5.340576171875e-05,18
44,5.0,403,164,406,167,3.2,2.5298221281347035,0.6123724356957945,4.414213562373095,0.7142857142857143,0.000476837158203125,476.837158203125,24.639966035353126,31.25,24.705294220065465,3,3,29.296875,29.296875,29.296875,29.296875,1.0,0.00764525993883792,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.008403361344537815,1.9073486328125e-05,30
47,9.0,410,110,413,116,6.753561505713558,1.6083960497158527,0.9712271013897171,9.414213562373096,0.8181818181818182,0.000858306884765625,858.306884765625,33.057983411001345,65.95274907923397,15.706992673006374,3,6,29.296875,58.59375,58.59375,29.296875,2.0,0.013761467889908258,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.015126050420168067,3.4332275390625e-05,25
49,12.0,438,274,442,278,3.8297084310253524,3.8297084310253524,0.0,9.65685424949238,1.0,0.0011444091796875,1144.4091796875,38.17207124241562,37.399496396731955,37.399496396731955,4,4,39.0625,39.0625,39.0625,39.0625,1.0,0.01834862385321101,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.020168067226890758,4.57763671875e-05,19
52,4.0,458,433,460,436,2.8284271247461903,1.7320508075688772,0.7905694150420949,4.621320343559642,1.0,0.0003814697265625,381.4697265625,22.03865560733423,27.621358640099515,16.914558667664817,2,3,19.53125,29.296875,29.296875,19.53125,1.5,0.0061162079510703364,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.0067226890756302525,1.52587890625e-05,34
54,25.0,473,141,482,147,10.052199134450195,3.908924732117356,0.9212957419870201,20.27817459305202,0.6944444444444444,0.002384185791015625,2384.185791015625,55.09663901833557,98.16600717236518,38.17309308708355,9,6,87.890625,58.59375,87.890625,58.59375,1.5,0.0382262996941896,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.04201680672268908,9.5367431640625e-05,8
55,21.0,476,499,478,512,14.048864482333395,1.9234608240387348,0.9905831877358828,20.0,0.875,0.002002716064453125,2002.716064453125,50.496903767836045,137.19594221028706,18.78379710975327,2,13,19.53125,126.953125,126.953125,19.53125,6.5,0.03211009174311927,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.03529411764705882,8.0108642578125e-05,11
59,42.0,494,128,496,159,33.82901594063905,1.734390765367232,0.998684863436653,41.207106781186546,0.7636363636363637,0.00400543212890625,4005.43212890625,71.41340616632277,330.36148379530323,16.937409818039374,2,31,19.53125,302.734375,302.734375,19.53125,15.5,0.06422018348623854,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.07058823529411765,0.00016021728515625,2
61,18.0,495,490,500,496,7.318795718773842,3.1764052346185316,0.9009097179775879,13.656854249492381,0.9,0.00171661376953125,1716.61376953125,46.75104848454289,71.4726144411508,31.019582369321597,5,6,48.828125,58.59375,58.59375,48.828125,1.2,0.027522935779816515,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.030252100840336135,6.866455078125e-05,12
65,17.0,506,366,512,371,6.757872350481712,3.2185156447490555,0.8793035945191828,14.278174593052022,0.8947368421052632,0.001621246337890625,1621.246337890625,45.43385245782498,65.99484717267296,31.430816843252494,6,5,58.59375,48.828125,58.59375,48.828125,1.2,0.02599388379204893,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.02857142857142857,6.4849853515625e-05,14
