#	z_max	r_eq	V_L
7.94197e-09	3.77724e-08	1.73288e-23
8.68143e-09	3.61293e-08	1.79859e-23
7.52567e-09	4.0111e-08	2.26589e-23
8.66942e-09	3.93469e-08	2.25068e-23
6.95265e-09	3.57067e-08	1.35993e-23
8.78914e-09	4.54339e-08	2.96775e-23
8.1958e-09	1.74231e-08	3.91919e-24
1.01154e-08	5.10945e-08	3.79565e-23
8.13847e-09	3.93469e-08	1.73209e-23
9.83603e-09	4.92799e-08	3.28981e-23
6.58003e-09	2.80939e-08	8.9059e-24
6.75627e-09	3.06765e-08	1.07134e-23
7.25576e-09	4.08608e-08	1.93895e-23
8.00342e-09	3.48462e-08	1.22993e-23
8.36615e-09	3.89592e-08	1.7697e-23
6.46839e-09	1.55837e-08	2.38719e-24
8.22792e-09	3.81721e-08	1.79569e-23
7.87538e-09	2.464e-08	2.3022e-24
7.29598e-09	3.69599e-08	1.61147e-23
8.33118e-09	4.60972e-08	2.75549e-23
9.10665e-09	3.73684e-08	1.6561e-23
7.36843e-09	3.11674e-08	1.11761e-23
6.19751e-09	2.58426e-08	7.25308e-24
6.64249e-09	3.48462e-08	1.32318e-23
8.12031e-09	3.01777e-08	1.04695e-23
7.7363e-09	2.40161e-08	2.73529e-24
8.19469e-09	3.77724e-08	1.72012e-23
6.73177e-09	2.69917e-08	7.91377e-24
7.43263e-09	3.11674e-08	9.72164e-24
8.36868e-09	3.77724e-08	1.75587e-23
7.1002e-09	3.3058e-08	1.37323e-23
6.75998e-09	2.464e-08	6.88922e-24
8.29524e-09	4.12305e-08	2.24889e-23
7.90452e-09	3.44078e-08	1.40025e-23
6.97836e-09	3.25956e-08	1.31097e-23
6.94903e-09	3.3514e-08	1.26019e-23
6.3295e-09	2.52485e-08	7.23348e-24
7.95947e-09	4.04876e-08	1.93878e-23
8.2246e-09	4.8971e-08	3.222e-23
9.1136e-09	4.15971e-08	2.07092e-23
8.22991e-09	3.93469e-08	1.96719e-23
5.86512e-09	3.89592e-08	1.76401e-23
7.09532e-09	3.73684e-08	1.42028e-23
