#	z_max	r_eq	V_L
4.6258e-09	4.70746e-08	1.94201e-23
6.77321e-09	3.48462e-08	3.41726e-24
6.41841e-09	4.98921e-08	2.827e-23
4.0356e-09	3.73684e-08	1.01201e-23
6.34562e-09	3.52791e-08	6.66816e-24
3.78536e-09	3.3058e-08	7.23929e-24
6.62889e-09	5.22693e-08	3.4733e-23
6.308e-09	5.25588e-08	2.77998e-23
8.41328e-09	5.95961e-08	4.18656e-23
4.50979e-09	3.44078e-08	1.00632e-23
4.99791e-09	4.04876e-08	1.51385e-23
3.68743e-09	2.06153e-08	1.99238e-24
2.78048e-09	1.55837e-08	8.43134e-25
7.15305e-09	5.13907e-08	2.81698e-23
4.54222e-09	4.83471e-08	2.25606e-23
3.66202e-09	2.464e-08	3.9007e-24
4.8619e-09	3.85676e-08	1.16639e-23
3.56772e-09	3.6547e-08	7.95664e-24
3.28542e-09	2.13388e-08	2.03791e-24
3.97496e-09	4.0111e-08	1.15931e-23
7.82833e-09	5.83088e-08	3.99187e-23
5.25449e-09	3.21266e-08	4.59666e-24
4.9633e-09	3.21266e-08	5.65015e-24
5.86998e-09	5.50966e-08	3.50068e-23
4.24508e-09	4.26777e-08	1.55457e-23
4.26347e-09	3.77724e-08	9.55901e-24
5.47483e-09	5.28468e-08	3.05321e-23
5.37715e-09	4.40773e-08	1.88152e-23
6.21163e-09	5.16852e-08	3.07248e-23
6.00648e-09	4.47607e-08	1.78784e-23
3.23155e-09	2.86291e-08	3.8947e-24
7.21967e-09	5.48205e-08	3.3738e-23
3.78463e-09	3.77724e-08	9.80316e-24
4.14684e-09	3.89592e-08	1.10487e-23
5.88461e-09	5.34182e-08	2.7505e-23
5.77036e-09	5.93409e-08	4.16473e-23
5.93483e-09	4.57667e-08	2.11131e-23
3.34756e-09	3.21266e-08	5.59039e-24
4.54467e-09	4.60972e-08	2.13226e-23
6.39174e-09	5.69924e-08	3.79622e-23
6.20032e-09	5.28468e-08	2.8904e-23
6.05174e-09	4.37316e-08	1.8527e-23
