Sample,Feature,Feature Value,SHAP Value
MBE3-250619A-GG,Substrate temperature (°C),400.0,-5.713087225013279
MBE3-250619A-GG,Equivalent thickness (ML),2.5,12.740896199564013
MBE3-250619A-GG,Total growth rate (ML/s),0.1,25.207018181542832
MBE3-250619A-GG,Bi surfactant,0.0,15.714333054406202
MBE3-250619A-GG,V/III ratio,3.5,-7.311033234849931
MBE3-250619A-GG,In/Ga ratio,0.0,36.99682251929943
MBE3-250620A-GG,Substrate temperature (°C),400.0,-5.713087225013279
MBE3-250620A-GG,Equivalent thickness (ML),2.5,12.740896199564013
MBE3-250620A-GG,Total growth rate (ML/s),0.1,25.207018181542832
MBE3-250620A-GG,Bi surfactant,0.0,15.714333054406202
MBE3-250620A-GG,V/III ratio,3.5,-7.311033234849931
MBE3-250620A-GG,In/Ga ratio,0.0,36.99682251929943
MBE3-250701A-GG,Substrate temperature (°C),400.0,-4.795511349123609
MBE3-250701A-GG,Equivalent thickness (ML),3.0,32.025500407042784
MBE3-250701A-GG,Total growth rate (ML/s),0.1,29.300369080225366
MBE3-250701A-GG,Bi surfactant,0.0,17.15994891407323
MBE3-250701A-GG,V/III ratio,3.5,-4.728887009517433
MBE3-250701A-GG,In/Ga ratio,0.0,41.23352945224899
MBE3-250702A-GG,Substrate temperature (°C),400.0,-6.186825350596333
MBE3-250702A-GG,Equivalent thickness (ML),2.0,-51.66071964286931
MBE3-250702A-GG,Total growth rate (ML/s),0.1,14.083056802043574
MBE3-250702A-GG,Bi surfactant,0.0,11.026626535218156
MBE3-250702A-GG,V/III ratio,3.5,-13.758083608441524
MBE3-250702A-GG,In/Ga ratio,0.0,24.21089475959537
MBE3-250703A-GG,Substrate temperature (°C),400.0,-6.186825350596333
MBE3-250703A-GG,Equivalent thickness (ML),2.0,-51.66071964286931
MBE3-250703A-GG,Total growth rate (ML/s),0.1,14.083056802043574
MBE3-250703A-GG,Bi surfactant,0.0,11.026626535218156
MBE3-250703A-GG,V/III ratio,3.5,-13.758083608441524
MBE3-250703A-GG,In/Ga ratio,0.0,24.21089475959537
MBE3-250707A-GG,Substrate temperature (°C),400.0,-4.795511349123609
MBE3-250707A-GG,Equivalent thickness (ML),3.0,32.025500407042784
MBE3-250707A-GG,Total growth rate (ML/s),0.1,29.300369080225366
MBE3-250707A-GG,Bi surfactant,0.0,17.15994891407323
MBE3-250707A-GG,V/III ratio,3.5,-4.728887009517433
MBE3-250707A-GG,In/Ga ratio,0.0,41.23352945224899
MBE3-251113A-MM,Substrate temperature (°C),400.0,-4.473427763819075
MBE3-251113A-MM,Equivalent thickness (ML),2.25,8.86025861169012
MBE3-251113A-MM,Total growth rate (ML/s),0.1,25.792072409130856
MBE3-251113A-MM,Bi surfactant,0.0,17.656011942764646
MBE3-251113A-MM,V/III ratio,2.92,17.273188883062822
MBE3-251113A-MM,In/Ga ratio,0.0,37.14684541212023
MBE3-251114A-MM,Substrate temperature (°C),425.0,57.66535590916946
MBE3-251114A-MM,Equivalent thickness (ML),2.25,8.28699329578426
MBE3-251114A-MM,Total growth rate (ML/s),0.1,35.91063500687627
MBE3-251114A-MM,Bi surfactant,0.0,22.27694947013929
MBE3-251114A-MM,V/III ratio,2.92,19.80610614141364
MBE3-251114A-MM,In/Ga ratio,0.0,50.340020782678046
MBE3-251114B-MM,Substrate temperature (°C),375.0,-25.424939315544727
MBE3-251114B-MM,Equivalent thickness (ML),2.25,4.16339920193562
MBE3-251114B-MM,Total growth rate (ML/s),0.1,22.040129662363224
MBE3-251114B-MM,Bi surfactant,0.0,15.784763590547598
MBE3-251114B-MM,V/III ratio,2.92,11.018802298279738
MBE3-251114B-MM,In/Ga ratio,0.0,32.152794057367785
MBE3-260303A-MM,Substrate temperature (°C),393.0,-3.3448803040131914
MBE3-260303A-MM,Equivalent thickness (ML),2.45,2.817334485419788
MBE3-260303A-MM,Total growth rate (ML/s),0.258,-31.13278248016753
MBE3-260303A-MM,Bi surfactant,0.0,7.352902819731982
MBE3-260303A-MM,V/III ratio,2.588875340024388,-14.923087024269401
MBE3-260303A-MM,In/Ga ratio,0.44943820224719117,-35.79453800175253
MBE3-260303B-MM,Substrate temperature (°C),401.0,-1.7942829893463164
MBE3-260303B-MM,Equivalent thickness (ML),3.81,1.9842140546019293
MBE3-260303B-MM,Total growth rate (ML/s),0.218,-31.088363096438936
MBE3-260303B-MM,Bi surfactant,0.0,7.478687280597222
MBE3-260303B-MM,V/III ratio,1.982018798528811,-5.230952556955429
MBE3-260303B-MM,In/Ga ratio,0.8166666666666667,-42.81435319750914
MBE3-260306B-MM,Substrate temperature (°C),490.0,15.333401630363147
MBE3-260306B-MM,Equivalent thickness (ML),3.88,6.691886228505325
MBE3-260306B-MM,Total growth rate (ML/s),0.283,-37.49759994763023
MBE3-260306B-MM,Bi surfactant,0.0,10.81868250257606
MBE3-260306B-MM,V/III ratio,4.992657856093979,-4.640343920130727
MBE3-260306B-MM,In/Ga ratio,0.6946107784431135,-41.89107699873393
MBE3-260408A-MM ,Substrate temperature (°C),393.0,-2.5923778839502383
MBE3-260408A-MM ,Equivalent thickness (ML),2.45,5.590162253269899
MBE3-260408A-MM ,Total growth rate (ML/s),0.258,-30.541901054283763
MBE3-260408A-MM ,Bi surfactant,0.0,12.710022008372512
MBE3-260408A-MM ,V/III ratio,2.57029702970297,0.8534863296296115
MBE3-260408A-MM ,In/Ga ratio,0.17808219178082196,7.155557841911365
MBE3-260410A-MM ,Substrate temperature (°C),393.0,-0.9830683332316414
MBE3-260410A-MM ,Equivalent thickness (ML),2.45,2.632539900058687
MBE3-260410A-MM ,Total growth rate (ML/s),0.258,-15.265124824734354
MBE3-260410A-MM ,Bi surfactant,1.0,-23.56285959209244
MBE3-260410A-MM ,V/III ratio,3.120356612184249,-0.04841991809230322
MBE3-260410A-MM ,In/Ga ratio,0.44943820224719117,-25.19811773695826
MBE3-260410B-MM ,Substrate temperature (°C),393.0,-2.8787388970190304
MBE3-260410B-MM ,Equivalent thickness (ML),2.45,3.200652652735411
MBE3-260410B-MM ,Total growth rate (ML/s),0.258,-30.147521734669674
MBE3-260410B-MM ,Bi surfactant,0.0,8.040345211087567
MBE3-260410B-MM ,V/III ratio,3.120356612184249,-11.745299259202573
MBE3-260410B-MM ,In/Ga ratio,0.44943820224719117,-31.614488477982125
MBE3-260413A-MM,Substrate temperature (°C),420.0,9.140887829819041
MBE3-260413A-MM,Equivalent thickness (ML),2.45,4.56932698797429
MBE3-260413A-MM,Total growth rate (ML/s),0.258,-37.90334872687214
MBE3-260413A-MM,Bi surfactant,0.0,13.609670280690512
MBE3-260413A-MM,V/III ratio,2.905494505494505,8.096505315713928
MBE3-260413A-MM,In/Ga ratio,0.44943820224719117,-38.09809219237599
MBE3-260414A-MM ,Substrate temperature (°C),380.0,-5.957172808841787
MBE3-260414A-MM ,Equivalent thickness (ML),2.45,4.4309968728131475
MBE3-260414A-MM ,Total growth rate (ML/s),0.258,-30.083494312295443
MBE3-260414A-MM ,Bi surfactant,0.0,10.68639237594387
MBE3-260414A-MM ,V/III ratio,2.419482785974933,-3.216271342059437
MBE3-260414A-MM ,In/Ga ratio,0.25242718446601947,-10.965501290610936
MBE3-260511A-MM,Substrate temperature (°C),393.0,1.6247988929776942
MBE3-260511A-MM,Equivalent thickness (ML),2.45,6.946450416159645
MBE3-260511A-MM,Total growth rate (ML/s),0.258,-21.329175578724396
MBE3-260511A-MM,Bi surfactant,0.0,19.67082830208759
MBE3-260511A-MM,V/III ratio,2.8,34.392521302493996
MBE3-260511A-MM,In/Ga ratio,0.44943820224719117,-18.130473840044388
MBE3-260512A-MM,Substrate temperature (°C),393.0,-0.7334529552761684
MBE3-260512A-MM,Equivalent thickness (ML),2.45,3.2598937741435314
MBE3-260512A-MM,Total growth rate (ML/s),0.258,-14.497291145708978
MBE3-260512A-MM,Bi surfactant,1.0,-48.390148231247885
MBE3-260512A-MM,V/III ratio,2.79,7.560036176445531
MBE3-260512A-MM,In/Ga ratio,0.44943820224719117,-23.46408812340656
MBE3-260527A-MM,Substrate temperature (°C),393.0,-1.267742012996336
MBE3-260527A-MM,Equivalent thickness (ML),2.45,2.4934518442123372
MBE3-260527A-MM,Total growth rate (ML/s),0.258,-15.85885520708925
MBE3-260527A-MM,Bi surfactant,1.0,-22.268759468766707
MBE3-260527A-MM,V/III ratio,2.59,-1.0906108671676096
MBE3-260527A-MM,In/Ga ratio,0.44943820224719117,-26.312534793242815
MBE3-260527B-MM,Substrate temperature (°C),421.0,8.312891477493217
MBE3-260527B-MM,Equivalent thickness (ML),2.86,4.554396427733813
MBE3-260527B-MM,Total growth rate (ML/s),1.45,-23.802206474568866
MBE3-260527B-MM,Bi surfactant,1.0,-31.37837367107197
MBE3-260527B-MM,V/III ratio,3.31,-2.594230929654883
MBE3-260527B-MM,In/Ga ratio,1.1354933726067746,-36.79752733498193
