Sample,Feature,Feature Value,SHAP Value
MBE3-250619A-GG,Equivalent thickness (ML),2.5,[ 0.06968796 -0.02965982 -0.04002814]
MBE3-250619A-GG,T Sub (°C),400.0,[ 0.03859102 -0.01614201 -0.02244901]
MBE3-250619A-GG,Ripening time (s),0.0,[-0.15633782 -0.0875478   0.24388563]
MBE3-250619A-GG,In/Ga ratio,0.0,[ 0.0778574  -0.14527788  0.06742048]
MBE3-250619A-GG,V/III ratio,3.5,[ 0.11686811 -0.05470582 -0.06216229]
MBE3-250620A-GG,Equivalent thickness (ML),2.5,[ 0.06968796 -0.02965982 -0.04002814]
MBE3-250620A-GG,T Sub (°C),400.0,[ 0.03859102 -0.01614201 -0.02244901]
MBE3-250620A-GG,Ripening time (s),0.0,[-0.15633782 -0.0875478   0.24388563]
MBE3-250620A-GG,In/Ga ratio,0.0,[ 0.0778574  -0.14527788  0.06742048]
MBE3-250620A-GG,V/III ratio,3.5,[ 0.11686811 -0.05470582 -0.06216229]
MBE3-250701A-GG,Equivalent thickness (ML),3.0,[ 0.38051541 -0.03365096 -0.34686446]
MBE3-250701A-GG,T Sub (°C),400.0,[ 0.0540111 -0.0157622 -0.0382489]
MBE3-250701A-GG,Ripening time (s),0.0,[-0.03852204 -0.08281357  0.12133562]
MBE3-250701A-GG,In/Ga ratio,0.0,[ 0.11931082 -0.14364654  0.02433572]
MBE3-250701A-GG,V/III ratio,3.5,[ 0.15135138 -0.05746006 -0.09389132]
MBE3-250702A-GG,Equivalent thickness (ML),2.0,[-0.2390316   0.00786915  0.23116245]
MBE3-250702A-GG,T Sub (°C),400.0,[ 0.01734821 -0.02071099  0.00336279]
MBE3-250702A-GG,Ripening time (s),0.0,[-0.20571059 -0.118306    0.32401659]
MBE3-250702A-GG,In/Ga ratio,0.0,[ 0.03790136 -0.14783357  0.10993221]
MBE3-250702A-GG,V/III ratio,3.5,[ 0.05615929 -0.05435191 -0.00180738]
MBE3-250703A-GG,Equivalent thickness (ML),2.0,[-0.2390316   0.00786915  0.23116245]
MBE3-250703A-GG,T Sub (°C),400.0,[ 0.01734821 -0.02071099  0.00336279]
MBE3-250703A-GG,Ripening time (s),0.0,[-0.20571059 -0.118306    0.32401659]
MBE3-250703A-GG,In/Ga ratio,0.0,[ 0.03790136 -0.14783357  0.10993221]
MBE3-250703A-GG,V/III ratio,3.5,[ 0.05615929 -0.05435191 -0.00180738]
MBE3-250707A-GG,Equivalent thickness (ML),3.0,[ 0.38051541 -0.03365096 -0.34686446]
MBE3-250707A-GG,T Sub (°C),400.0,[ 0.0540111 -0.0157622 -0.0382489]
MBE3-250707A-GG,Ripening time (s),0.0,[-0.03852204 -0.08281357  0.12133562]
MBE3-250707A-GG,In/Ga ratio,0.0,[ 0.11931082 -0.14364654  0.02433572]
MBE3-250707A-GG,V/III ratio,3.5,[ 0.15135138 -0.05746006 -0.09389132]
MBE3-251113A-MM,Equivalent thickness (ML),2.25,[-0.12169823 -0.0130384   0.13473662]
MBE3-251113A-MM,T Sub (°C),400.0,[ 0.01611714 -0.01340925 -0.00270789]
MBE3-251113A-MM,Ripening time (s),0.0,[-0.23239877 -0.1003788   0.33277758]
MBE3-251113A-MM,In/Ga ratio,0.0,[ 0.03817404 -0.14816537  0.10999133]
MBE3-251113A-MM,V/III ratio,2.92,[-0.03352752 -0.05834151  0.09186903]
MBE3-251114A-MM,Equivalent thickness (ML),2.25,[-0.11146068 -0.01642391  0.12788459]
MBE3-251114A-MM,T Sub (°C),425.0,[ 0.01273567 -0.02616274  0.01342707]
MBE3-251114A-MM,Ripening time (s),0.0,[-0.23135268 -0.09395847  0.32531115]
MBE3-251114A-MM,In/Ga ratio,0.0,[ 0.02379319 -0.13916358  0.11537039]
MBE3-251114A-MM,V/III ratio,2.92,[-0.02704884 -0.05762463  0.08467347]
MBE3-251114B-MM,Equivalent thickness (ML),2.25,[-0.10358051 -0.01590958  0.1194901 ]
MBE3-251114B-MM,T Sub (°C),375.0,[-0.0222985   0.02644107 -0.00414257]
MBE3-251114B-MM,Ripening time (s),0.0,[-0.22177225 -0.11828568  0.34005793]
MBE3-251114B-MM,In/Ga ratio,0.0,[ 0.04020008 -0.15914333  0.11894324]
MBE3-251114B-MM,V/III ratio,2.92,[-0.02588215 -0.06643581  0.09231796]
MBE3-251118A-MM,Equivalent thickness (ML),2.25,[-0.10284632 -0.01569174  0.11853807]
MBE3-251118A-MM,T Sub (°C),450.0,[-0.01758794 -0.04089008  0.05847803]
MBE3-251118A-MM,Ripening time (s),0.0,[-0.21445966 -0.08942989  0.30388955]
MBE3-251118A-MM,In/Ga ratio,0.0,[ 0.02412062 -0.1336023   0.10948168]
MBE3-251118A-MM,V/III ratio,2.92,[-0.02256002 -0.05371932  0.07627934]
MBE3-251118B-MM,Equivalent thickness (ML),2.25,[-0.09677247 -0.0148522   0.11162466]
MBE3-251118B-MM,T Sub (°C),475.0,[-0.04229411 -0.05171656  0.09401067]
MBE3-251118B-MM,Ripening time (s),0.0,[-0.19941231 -0.08748785  0.28690016]
MBE3-251118B-MM,In/Ga ratio,0.0,[ 0.02485679 -0.12837688  0.10352008]
MBE3-251118B-MM,V/III ratio,2.92,[-0.01971124 -0.05089985  0.07061109]
MBE3-251124A-MM,Equivalent thickness (ML),2.25,[-0.10517644 -0.01807272  0.12324916]
MBE3-251124A-MM,T Sub (°C),425.0,[ 0.01290061 -0.02785265  0.01495204]
MBE3-251124A-MM,Ripening time (s),0.0,[-0.22256571 -0.10335915  0.32592486]
MBE3-251124A-MM,In/Ga ratio,0.0,[ 0.02810935 -0.14286849  0.11475914]
MBE3-251124A-MM,V/III ratio,2.65,[-0.04660114 -0.04118033  0.08778147]
MBE3-260227B-MM,Equivalent thickness (ML),2.28,[-0.04697367  0.03940749  0.00756619]
MBE3-260227B-MM,T Sub (°C),376.0,[-0.05285158  0.09109935 -0.03824778]
MBE3-260227B-MM,Ripening time (s),44.0,[-0.0519446   0.14037373 -0.08842913]
MBE3-260227B-MM,In/Ga ratio,1.78,[-0.1413896   0.27710957 -0.13571996]
MBE3-260227B-MM,V/III ratio,4.101040118870728,[-0.04017388  0.11867653 -0.07850265]
MBE3-260303A-MM,Equivalent thickness (ML),2.45,[ 0.08589783 -0.06064088 -0.02525695]
MBE3-260303A-MM,T Sub (°C),393.0,[ 0.02081163 -0.00087787 -0.01993376]
MBE3-260303A-MM,Ripening time (s),112.0,[ 0.3002945   0.01271095 -0.31300545]
MBE3-260303A-MM,In/Ga ratio,0.44943820224719117,[ 0.21228131 -0.21508104  0.00279973]
MBE3-260303A-MM,V/III ratio,2.588875340024388,[ 0.0473814 -0.0694445  0.0220631]
MBE3-260303B-MM,Equivalent thickness (ML),3.81,[-0.0511858  -0.19393596  0.24512175]
MBE3-260303B-MM,T Sub (°C),401.0,[-0.00043791 -0.04875011  0.04918801]
MBE3-260303B-MM,Ripening time (s),58.0,[-0.07670084 -0.03879354  0.11549438]
MBE3-260303B-MM,In/Ga ratio,0.8166666666666667,[-0.13085123  0.01939209  0.11145914]
MBE3-260303B-MM,V/III ratio,1.982018798528811,[-0.07415756 -0.07124582  0.14540337]
MBE3-260306A-MM,Equivalent thickness (ML),2.89,[ 0.0844454   0.02757564 -0.11202104]
MBE3-260306A-MM,T Sub (°C),410.0,[-0.00044917  0.0223382  -0.02188903]
MBE3-260306A-MM,Ripening time (s),15.0,[-0.09604252  0.11385723 -0.01781471]
MBE3-260306A-MM,In/Ga ratio,1.4492753623188408,[-0.1614531   0.23941367 -0.07796057]
MBE3-260306A-MM,V/III ratio,5.619158878504673,[-0.15983395  0.26348192 -0.10364798]
MBE3-260306B-MM,Equivalent thickness (ML),3.88,[-0.05980545 -0.17468647  0.23449192]
MBE3-260306B-MM,T Sub (°C),490.0,[-0.09411022 -0.15499822  0.24910843]
MBE3-260306B-MM,Ripening time (s),106.0,[-0.02780963 -0.02217323  0.04998287]
MBE3-260306B-MM,In/Ga ratio,0.6946107784431135,[-0.06600463 -0.01923132  0.08523595]
MBE3-260306B-MM,V/III ratio,4.992657856093979,[-0.0856034   0.03775591  0.04784749]
MBE3-260310B-MM,Equivalent thickness (ML),1.71,[-0.09637805  0.13478626 -0.03840821]
MBE3-260310B-MM,T Sub (°C),390.0,[-0.02060795  0.04590937 -0.02530142]
MBE3-260310B-MM,Ripening time (s),88.0,[ 0.01413064  0.17030993 -0.18444056]
MBE3-260310B-MM,In/Ga ratio,2.3235294117647056,[-0.1979161   0.30780394 -0.10988784]
MBE3-260310B-MM,V/III ratio,1.922639362912401,[-0.03256187  0.00785718  0.0247047 ]
MBE3-260408A-MM ,Equivalent thickness (ML),2.45,[ 0.08595355 -0.05769948 -0.02825407]
