#Acq. time (s)=	15
#Accumulations=	2
#Range (cm-¹)=	10...600
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	Best Dynamic Range
#Detector ADC=	45 kHz       
#Detector temperature (°C)=	-60.1
#Instrument=	LabRAM Soleil
#Detector=	Syncerity
#Objective=	100x BD
#Grating=	1800 (500nm)
#ND Filter=	10% (6.0mW)
#Laser=	532nm_Edge
#Hole (µm)=	50 
#Laser mode=	Low frequency
#E-Cal_Neon=	0
#StageXY=	75x50mm Scan+
#StageZ=	Marzhauser
#X (µm)=	0
#Y (µm)=	0
#Z (µm)=	0
#Spectral res.(cm-¹)=	2.7
#Full time(s)=	33
#AC=	Calibrated 2026-06-13 10:52
#Project=	Raman_Soleil-MBE2-260612B-EW
#Sample=	
#Site=	
#Title=	_11_25_37_2026_06_13_2_15 s_532nm_Edge_1800 (500nm)_100x BD_50 µm_10% (6_0mW)_
#Remark=	
#Date=	13.06.2026 11:25
#Acquired=	13.06.2026 11:25:53
#AxisType[0]=Intens
#AxisUnit[0]=Cnt
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
11.7768	278
13.0146	268
14.25	248
15.4853	182
16.7205	162
17.9554	156
19.1902	164
20.4249	170
21.6593	204
22.8937	308
24.1278	380
25.3596	466
26.5935	530
27.8271	560
29.0606	702
30.294	710
31.525	718
32.758	644
33.9909	522
35.2214	430
36.454	394
37.6863	414
38.9164	390
40.1485	446
41.3782	434
42.6099	456
43.8393	520
45.0707	562
46.2998	566
47.5288	554
48.7597	626
49.9883	598
51.2167	594
52.4472	604
53.6753	592
54.9033	588
56.1311	674
57.3587	648
58.5883	680
59.8157	748
61.0428	778
62.2698	786
63.4967	866
64.7233	874
65.9499	894
67.1762	1014
68.4024	1036
69.6263	1030
70.8522	972
72.0779	812
73.3035	746
74.5289	650
75.752	600
76.977	550
78.2019	530
79.4267	506
80.6491	510
81.8736	514
83.0957	506
84.3198	526
85.5416	502
86.7654	492
87.9869	524
89.2104	506
90.4316	548
91.6547	526
92.8756	562
94.0963	554
95.319	568
96.5394	608
97.7596	590
98.9796	622
100.202	608
101.421	636
102.641	562
103.86	558
105.08	570
106.299	568
107.518	542
108.737	554
109.955	526
111.174	510
112.392	510
113.61	486
114.828	478
116.046	468
117.261	494
118.479	460
119.696	476
120.914	458
122.128	418
123.345	422
124.562	434
125.777	404
126.993	364
128.207	378
129.423	362
130.637	358
131.853	316
133.066	330
134.282	306
135.495	296
136.708	274
137.923	278
139.136	304
140.348	284
141.563	264
142.775	256
143.987	258
145.199	260
146.411	272
147.622	264
148.834	264
150.045	254
151.256	268
152.467	280
153.678	288
154.888	268
156.099	316
157.309	292
158.519	304
159.73	284
160.939	274
