5.014096e+002,-1.090027e-001
5.052666e+002,-4.747761e-002
5.091236e+002,-3.945708e-003
5.129806e+002,2.667543e-002
5.168376e+002,5.421051e-002
5.206946e+002,8.821782e-002
5.245516e+002,1.337191e-001
5.284086e+002,1.844221e-001
5.322656e+002,2.379339e-001
5.361226e+002,2.862355e-001
5.399796e+002,3.231730e-001
5.438365e+002,3.471829e-001
5.476936e+002,3.619415e-001
5.515505e+002,3.747021e-001
5.554076e+002,3.931074e-001
5.592646e+002,4.201578e-001
5.631216e+002,4.569770e-001
5.669786e+002,4.980564e-001
5.708356e+002,5.342852e-001
5.746926e+002,5.556558e-001
5.785496e+002,5.542269e-001
5.824066e+002,5.265645e-001
5.862635e+002,4.751825e-001
5.901205e+002,4.086432e-001
5.939775e+002,3.405161e-001
5.978345e+002,2.864114e-001
6.016915e+002,2.603769e-001
6.055485e+002,2.706967e-001
6.094055e+002,3.165217e-001
6.132625e+002,3.867179e-001
6.171195e+002,4.619157e-001
6.209765e+002,5.194908e-001
6.248335e+002,5.410962e-001
6.286905e+002,5.176362e-001
6.325475e+002,4.525315e-001
6.364045e+002,3.603573e-001
6.402615e+002,2.616980e-001
6.441185e+002,1.763178e-001
6.479755e+002,1.174608e-001
6.518325e+002,9.023617e-002
6.556895e+002,9.037731e-002
6.595465e+002,1.112085e-001
6.634035e+002,1.466092e-001
6.672605e+002,1.930171e-001
6.711175e+002,2.486556e-001
6.749745e+002,3.108633e-001
6.788315e+002,3.735894e-001
6.826885e+002,4.274048e-001
6.865455e+002,4.610720e-001
6.904025e+002,4.665349e-001
6.942595e+002,4.425783e-001
6.981165e+002,3.963185e-001
7.019734e+002,3.411933e-001
7.058304e+002,2.920682e-001
7.096874e+002,2.595440e-001
7.135444e+002,2.465539e-001
7.174014e+002,2.457029e-001
7.212584e+002,2.444098e-001
7.251154e+002,2.287213e-001
7.289724e+002,1.881863e-001
7.328294e+002,1.192275e-001
7.366864e+002,2.623420e-002
7.405435e+002,-7.939536e-002
7.444004e+002,-1.800298e-001
7.482574e+002,-2.599801e-001
7.521144e+002,-3.031901e-001
7.559714e+002,-2.981960e-001
7.598284e+002,-2.414421e-001
7.636854e+002,-1.398154e-001
7.675424e+002,-1.114850e-002
7.713994e+002,1.184721e-001
7.752564e+002,2.191735e-001
7.791134e+002,2.704800e-001
7.829704e+002,2.635811e-001
7.868274e+002,2.065999e-001
7.906844e+002,1.228649e-001
7.945414e+002,4.372410e-002
7.983984e+002,-1.746550e-003
8.022554e+002,3.720641e-003
8.061124e+002,5.780604e-002
8.099694e+002,1.477553e-001
8.138264e+002,2.502948e-001
8.176833e+002,3.427376e-001
8.215403e+002,4.105769e-001
8.253973e+002,4.506171e-001
8.292544e+002,4.689107e-001
8.331113e+002,4.752573e-001
8.369684e+002,4.764781e-001
8.408253e+002,4.771698e-001
8.446824e+002,4.758891e-001
8.485393e+002,4.709517e-001
8.523964e+002,4.644556e-001
8.562533e+002,4.637768e-001
8.601104e+002,4.791334e-001
8.639673e+002,5.180390e-001
8.678243e+002,5.814483e-001
8.716813e+002,6.558993e-001
8.755383e+002,7.210202e-001
8.793953e+002,7.529762e-001
8.832523e+002,7.323005e-001
8.871093e+002,6.510460e-001
8.909663e+002,5.163751e-001
8.948233e+002,3.490743e-001
8.986803e+002,3.142053e-001
9.025373e+002,2.653905e-001
9.063943e+002,2.100838e-001
9.102513e+002,1.548170e-001
9.141083e+002,1.045121e-001
9.179653e+002,6.220826e-002
9.218223e+002,2.916856e-002
9.256793e+002,5.254146e-003
9.295363e+002,-3.646813e-002
9.333933e+002,-8.145428e-002
9.372502e+002,-1.368951e-001
9.411073e+002,-2.045100e-001
9.449642e+002,-2.803753e-001
9.488213e+002,-3.564363e-001
9.526782e+002,-4.229659e-001
9.565353e+002,-4.710813e-001
9.603922e+002,-4.907105e-001
9.642493e+002,-4.727001e-001
9.681062e+002,-4.186381e-001
9.719633e+002,-3.341489e-001
9.758203e+002,-2.268866e-001
9.796772e+002,-1.046892e-001
9.835342e+002,2.551292e-002
9.873912e+002,1.577856e-001
9.912482e+002,2.904476e-001
9.951052e+002,4.119745e-001
9.989622e+002,5.136043e-001
1.002819e+003,5.854487e-001
1.006676e+003,6.183480e-001
1.010533e+003,6.067647e-001
1.014390e+003,5.517200e-001
1.018247e+003,4.624756e-001
1.022104e+003,3.554289e-001
1.025961e+003,2.527074e-001
1.029818e+003,1.756994e-001
1.033675e+003,1.400217e-001
1.037532e+003,1.519111e-001
1.041389e+003,2.074896e-001
1.045246e+003,2.949754e-001
1.049103e+003,3.987381e-001
1.052960e+003,5.041498e-001
1.056817e+003,5.979760e-001
1.060674e+003,6.716482e-001
1.064531e+003,7.197534e-001
1.068388e+003,7.389992e-001
1.072245e+003,7.281071e-001
1.076102e+003,6.890175e-001
1.079959e+003,6.286784e-001
1.083816e+003,5.594890e-001
1.087673e+003,4.996987e-001
1.091530e+003,4.677915e-001
1.095387e+003,4.774354e-001
1.099244e+003,5.325621e-001
1.103101e+003,6.252781e-001
1.106958e+003,7.378312e-001
1.110815e+003,8.481502e-001
1.114672e+003,9.373047e-001
1.118529e+003,9.934403e-001
1.122386e+003,1.016166e+000
1.126243e+003,1.013764e+000
1.130100e+003,9.979246e-001
1.133957e+003,9.777997e-001
1.137814e+003,9.560357e-001
1.141671e+003,9.283664e-001
1.145528e+003,8.846118e-001
1.149385e+003,8.192566e-001
1.153242e+003,7.309744e-001
1.157099e+003,6.260669e-001
1.160956e+003,5.171276e-001
1.164813e+003,4.190863e-001
1.168670e+003,3.443933e-001
1.172527e+003,2.993002e-001
1.176384e+003,2.805395e-001
1.180241e+003,2.842810e-001
