on SiOx 25 nm calibration wafer
	AOI	211.081	212.663	214.244	215.826	217.408	218.990	220.572	222.154	223.736	225.318	226.900	228.482	230.064	231.646	233.229	234.811	236.393	237.976	239.558	241.140	242.723	244.305	245.888	247.470	249.053	250.636	252.218	253.801	255.384	256.967	258.550	260.132	261.715	263.298	264.881	266.464	268.047	269.630	271.213	272.796	274.380	275.963	277.546	279.129	280.712	282.296	283.879	285.462	287.046	288.629	290.212	291.796	293.379	294.963	296.546	298.130	299.713	301.297	302.880	304.464	306.048	307.631	309.215	310.799	312.382	313.966	315.550	317.134	318.717	320.301	321.885	323.469	325.053	326.636	328.220	329.804	331.388	332.972	334.556	336.140	337.724	339.308	340.892	342.476	344.060	345.644	347.228	348.812	350.396	351.980	353.564	355.148	356.732	358.316	359.900	361.484	363.068	364.652	366.236	367.820	369.404	370.988	372.573	374.157	375.741	377.325	378.909	380.493	382.077	383.661	385.245	386.829	388.414	389.998	391.582	393.166	394.750	396.334	397.918	399.502	401.086	402.670	404.254	405.838	407.422	409.006	410.590	412.174	413.758	415.342	416.926	418.510	420.094	421.678	423.262	424.846	426.430	428.014	429.598	431.182	432.766	434.350	435.934	437.517	439.101	440.685	442.269	443.852	445.436	447.020	448.604	450.187	451.771	453.355	454.938	456.522	458.106	459.689	461.273	462.856	464.440	466.023	467.607	469.190	470.774	472.357	473.940	475.524	477.107	478.690	480.274	481.857	483.440	485.023	486.606	488.190	489.773	491.356	492.939	494.522	496.105	497.688	499.271	500.854	502.436	504.019	505.602	507.185	508.768	510.350	511.933	513.516	515.098	516.681	518.263	519.846	521.428	523.011	524.593	526.175	527.758	529.340	530.922	532.504	534.086	535.668	537.250	538.832	540.414	541.996	543.578	545.160	546.742	548.324	549.905	551.487	553.069	554.650	556.232	557.813	559.395	560.976	562.557	564.139	565.720	567.301	568.882	570.463	572.044	573.625	575.206	576.787	578.368	579.949	581.530	583.110	584.691	586.271	587.852	589.432	591.013	592.593	594.173	595.754	597.334	598.914	600.494	602.074	603.654	605.234	606.814	608.394	609.973	611.553	613.133	614.712	616.292	617.871	619.450	621.030	622.609	624.188	625.767	627.346	628.925	630.504	632.083	633.661	635.240	636.819	638.397	639.976	641.554	643.133	644.711	646.289	647.867	649.445	651.023	652.601	654.179	655.757	657.335	658.912	660.490	662.067	663.645	665.222	666.799	668.377	669.954	671.531	673.108	674.685	676.261	677.838	679.415	680.991	682.568	684.144	685.721	687.297	688.873	690.449	692.025	693.601	695.177	696.753	698.328	699.904	701.480	703.055	704.630	706.206	707.781	709.356	710.931	712.506	714.081	715.656	717.230	718.805	720.379	721.954	723.528	725.102	726.676	728.250	729.824	731.398	732.972	734.545	736.119	737.693	739.266	740.839	742.412	743.985	745.558	747.131	748.704	750.277	751.850	753.422	754.995	756.567	758.139	759.711	761.283	762.855	764.427	765.999	767.570	769.142	770.713	772.285	773.856	775.427	776.998	778.569	780.140	781.710	783.281	784.851	786.422	787.992	789.562	791.132	792.702	794.272	795.842	797.411	798.981	800.550	802.120	803.689	805.258	806.827	808.396	809.965	811.533	813.102	814.670	816.238	817.807	819.375	820.943	822.510	824.078	825.646	827.213	828.781	830.348	831.915	833.482	835.049	836.616	838.182	839.749	841.315	842.882	844.448	846.014	847.580	849.146	850.711	852.277	853.842	855.408	856.973	858.538	860.103	861.668	863.232	864.797	866.362	867.926	869.490	871.054	872.618	874.182	875.745	877.309	878.872	880.436	881.999	883.562	885.125	886.688	888.250	889.813	891.375	892.937	894.500	896.061	897.623	899.185	900.747	902.308	903.869	905.430	906.992	908.552	910.113	911.674	913.234	914.795	916.355	917.915	919.475	921.034	922.594	924.154	925.713	927.272	928.831	930.390	931.949	933.508	935.066	936.624	938.182	939.741	941.299	942.856	944.414	945.971	947.529	949.086	950.643	952.200	953.757	955.313	956.870	958.426	959.982	961.538	963.094	964.649	966.205	967.760	969.316	970.871	972.426	973.980	975.535	977.089	978.644	980.198	981.752	983.306	984.859	986.413	987.966	989.519	991.072	992.625	994.178	995.731	997.283	998.835	1010.572	1013.940	1017.308	1020.677	1024.047	1027.417	1030.787	1034.158	1037.530	1040.903	1044.276	1047.649	1051.023	1054.398	1057.773	1061.149	1064.525	1067.902	1071.280	1074.658	1078.036	1081.416	1084.796	1088.176	1091.557	1094.938	1098.321	1101.703	1105.087	1108.470	1111.855	1115.240	1118.625	1122.012	1125.398	1128.786	1132.174	1135.562	1138.951	1142.341	1145.731	1149.122	1152.513	1155.905	1159.297	1162.691	1166.084	1169.478	1172.873	1176.269	1179.665	1183.061	1186.458	1189.856	1193.254	1196.653	1200.052	1203.452	1206.853	1210.254	1213.656	1217.058	1220.461	1223.865	1227.268	1230.673	1234.078	1237.484	1240.890	1244.297	1247.705	1251.113	1254.522	1257.931	1261.341	1264.751	1268.162	1271.573	1274.986	1278.398	1281.812	1285.225	1288.640	1292.055	1295.470	1298.887	1302.303	1305.721	1309.139	1312.557	1315.976	1319.396	1322.816	1326.237	1329.658	1333.080	1336.503	1339.926	1343.349	1346.774	1350.199	1353.624	1357.050	1360.477	1363.904	1367.332	1370.760	1374.189	1377.618	1381.048	1384.479	1387.910	1391.342	1394.774	1398.207	1401.641	1405.075	1408.510	1411.945	1415.381	1418.817	1422.254	1425.692	1429.130	1432.569	1436.008	1439.448	1442.888	1446.329	1449.771	1453.213	1456.656	1460.100	1463.544	1466.988	1470.433	1473.879	1477.325	1480.772	1484.220	1487.668	1491.116	1494.566	1498.015	1501.466	1504.917	1508.368	1511.820	1515.273	1518.726	1522.180	1525.635	1529.089	1532.545	1536.001	1539.458	1542.915	1546.373	1549.832	1553.291	1556.750	1560.211	1563.672	1567.133	1570.595	1574.057	1577.521	1580.984	1584.449	1587.914	1591.379	1594.845	1598.312	1601.779	1605.247	1608.715	1612.184	1615.654	1619.124	1622.595	1626.066	1629.538	1633.010	1636.483	1639.957	1643.431	1646.906	1650.381	1653.857	1657.334	1660.811	1664.289	1667.767	1671.246	1674.725	1678.205	1681.686	1685.167	1688.649
Psi	73.443	46.141922	45.84114	45.77193	45.494476	45.18395	45.05666	44.93423	44.680695	44.1597	44.243187	43.76865	43.829712	43.609573	43.32273	43.13215	42.96832	42.966633	42.819725	42.822556	42.73468	42.5968	42.372177	42.41388	42.253693	42.184612	42.319088	42.185226	42.146862	42.07034	42.03637	42.049946	42.058056	42.005585	41.83332	41.96677	41.667313	41.668217	41.546284	41.395164	41.415337	41.284794	41.111683	40.99164	40.686672	40.435463	40.380177	40.029747	39.836586	39.50823	39.078495	38.650024	38.333523	37.909145	37.65914	37.213123	36.778984	36.493454	36.3515	35.913433	35.883503	35.606064	35.47456	35.184887	35.065998	34.96207	34.60825	34.581535	34.36599	34.318417	34.037533	34.005936	33.89621	33.77897	33.67885	33.428635	33.413994	33.186	33.175007	33.15596	32.90896	32.97646	32.914856	32.75721	32.76913	32.597656	32.588673	32.562782	32.40097	32.48064	32.215263	32.50355	32.582066	32.440998	32.4648	32.420403	32.41236	32.289524	32.138992	31.845648	31.53058	31.032211	30.799435	30.274784	29.648293	29.32683	28.967136	28.535652	28.14935	27.633293	27.247559	26.922394	26.570581	26.247036	26.0675	25.674097	25.38569	25.188305	24.862125	24.636572	24.423523	24.172894	23.878187	23.746975	23.554752	23.363178	23.112865	22.989573	22.85237	22.689434	22.452192	22.282387	22.101091	22.006475	21.799086	21.756546	21.492832	21.361553	21.208384	21.065756	20.92877	20.732494	20.727234	20.541399	20.399426	20.320938	20.165964	20.0856	19.914938	19.812357	19.691965	19.575932	19.461931	19.346502	19.242603	19.07104	19.000828	18.837614	18.769403	18.729649	18.643595	18.499266	18.445541	18.293976	18.197567	18.084871	17.972435	17.935461	17.792707	17.745684	17.678045	17.551777	17.484268	17.341656	17.271027	17.177652	17.117598	17.080812	16.98458	16.91493	16.87114	16.774422	16.654089	16.544893	16.49483	16.402637	16.391747	16.286823	16.226051	16.185244	16.138016	16.054438	16.000143	15.889184	15.836375	15.774735	15.688103	15.609737	15.50448	15.499488	15.435001	15.341135	15.334076	15.311663	15.212182	15.1276045	15.05912	15.007887	14.974716	14.899697	14.802712	14.753012	14.712121	14.6759815	14.619782	14.595711	14.521285	14.471634	14.425015	14.3701105	14.291393	14.215237	14.173044	14.138965	14.088137	14.011438	13.987191	13.95382	13.883565	13.853384	13.814437	13.784146	13.712253	13.689286	13.61524	13.548534	13.533564	13.4635725	13.394559	13.331034	13.314416	13.257637	13.246551	13.190466	13.161075	13.13743	13.083802	13.031344	12.998834	12.957271	12.901787	12.865325	12.80585	12.763857	12.701838	12.662074	12.636421	12.604143	12.540972	12.512596	12.488199	12.471139	12.424071	12.38569	12.345022	12.31531	12.275019	12.247613	12.18163	12.152031	12.109772	12.057001	12.039329	11.982009	11.930156	11.902206	11.868807	11.8464575	11.808498	11.760079	11.767729	11.726978	11.708708	11.678474	11.639551	11.614407	11.57754	11.545147	11.499222	11.445371	11.414661	11.394699	11.355932	11.313303	11.273397	11.262107	11.212006	11.17411	11.162712	11.134688	11.121752	11.101397	11.068934	11.025507	11.017298	10.980041	10.967364	10.927495	10.893201	10.853707	10.817267	10.798635	10.761968	10.729237	10.688053	10.654781	10.631507	10.588831	10.5937	10.5521145	10.50466	10.47991	10.459581	10.439472	10.426788	10.405994	10.379994	10.357987	10.322045	10.313549	10.302687	10.275542	10.27218	10.21729	10.188307	10.170944	10.129004	10.104335	10.092196	10.039591	10.019532	9.992781	9.95846	9.936234	9.905679	9.891256	9.875745	9.856179	9.819702	9.790784	9.778105	9.768163	9.750935	9.72495	9.728664	9.6595	9.674105	9.654317	9.64381	9.609799	9.576796	9.566277	9.526396	9.512364	9.487889	9.456294	9.42105	9.398553	9.393172	9.352067	9.324259	9.312702	9.293546	9.254064	9.2539	9.227517	9.223822	9.182446	9.18591	9.130209	9.137464	9.113192	9.075767	9.080112	9.071493	9.034669	9.040859	9.015956	9.00648	8.980294	8.963156	8.940668	8.92007	8.900376	8.873695	8.859048	8.839242	8.824189	8.799241	8.783218	8.75631	8.757322	8.722867	8.666292	8.668312	8.672813	8.634022	8.6157675	8.605287	8.5729475	8.589041	8.541735	8.533231	8.525886	8.507851	8.484539	8.473892	8.45635	8.449749	8.401114	8.414055	8.389004	8.370336	8.369447	8.361313	8.337942	8.320208	8.300075	8.290518	8.277906	8.259795	8.242075	8.212062	8.203809	8.18718	8.165246	8.1411915	8.123045	8.108476	8.0921545	8.066453	8.065079	8.041259	8.023334	8.01122	7.986291	7.9679856	7.9647903	7.947425	7.9402466	7.923206	7.8988104	7.8869057	7.883461	7.85955	7.841351	7.8461695	7.8274555	7.827653	7.7892785	7.798543	7.7621584	7.7533636	7.7549357	7.738592	7.7234287	7.7119484	7.719349	7.6943746	7.649696	7.640634	7.6376834	7.6351705	7.6096168	7.575274	7.567086	7.5436525	7.5571985	7.5421576	7.5201483	7.5165267	7.5040183	7.460346	7.4596643	7.4714847	7.41407	7.429534	7.4031463	7.3849893	7.3760047	7.363204	7.3598976	7.343275	7.326775	7.317084	7.2994623	7.291142	7.273138	7.271209	7.25564	7.239738	7.2385917	7.1551976	7.1336904	7.121594	7.099598	7.0785294	7.049936	7.0002356	7.0018196	6.9476924	6.9148893	6.9070168	6.8857555	6.846772	6.838798	6.800331	6.78065	6.7461605	6.731043	6.710202	6.679024	6.6663365	6.649009	6.6223373	6.6061172	6.5884986	6.570765	6.554042	6.531719	6.5113173	6.4874716	6.4717464	6.449817	6.4297395	6.4107275	6.38184	6.355014	6.3471847	6.317216	6.3030562	6.2624855	6.2321978	6.2271075	6.2121344	6.1864247	6.166666	6.1489215	6.127115	6.1113663	6.0979285	6.076654	6.0609193	6.035632	6.022172	6.0032806	5.992576	5.971406	5.9635863	5.9387164	5.9386115	5.9138103	5.890574	5.868718	5.873435	5.8451304	5.829955	5.8021426	5.7901726	5.762345	5.7651215	5.7344837	5.715156	5.682214	5.686839	5.6609077	5.63894	5.6268897	5.6215553	5.594215	5.570336	5.5630445	5.5549307	5.528951	5.5221076	5.49366	5.5005608	5.478907	5.4438133	5.4376955	5.4181547	5.4306464	5.401951	5.3945136	5.367989	5.361116	5.3580256	5.341054	5.320706	5.330365	5.293758	5.270142	5.2745304	5.257973	5.2521024	5.234129	5.216152	5.202119	5.186276	5.1820164	5.159656	5.1330442	5.122347	5.1082196	5.0999026	5.0712705	5.0612617	5.067281	5.046818	5.0304914	5.0211506	5.0008936	4.985244	4.983322	4.9624515	4.950986	4.939037	4.9379473	4.905897	4.8986154	4.8986926	4.894171	4.860213	4.874876	4.836154	4.8148	4.838243	4.823532	4.804638	4.798574	4.788526	4.774095	4.763879	4.7672367	4.72831	4.7215424	4.7108855	4.7184887	4.6973186	4.682549	4.668569	4.669752	4.6606884	4.6469264	4.6249857	4.6122413	4.607276	4.5838876	4.5860033	4.570454	4.5544925	4.5356374	4.547733	4.5038652	4.4916935	4.513662	4.510478	4.4516025	4.446408	4.4736123	4.42058	4.465243	4.4345865	4.451408	4.3959875	4.4044747	4.3597713	4.362852	4.394007	4.362548	4.337181	4.363588	4.3032165	4.3365197	4.3409266	4.34179	4.2981052	4.2782917	4.3077793	4.3110905	4.2686896	4.2457037	4.265877	4.1998663	4.2351756	4.259047	4.208263	4.2442737	4.258391	4.168779	4.197978
Psi_err	73.443	0.14463553	0.13422836	0.12217758	0.11530752	0.10701477	0.10061299	0.09521224	0.08882424	0.0850222	0.07810036	0.07859428	0.07429815	0.07080977	0.070503615	0.07051838	0.06918133	0.06597663	0.065073684	0.06248403	0.06296682	0.05940441	0.06068766	0.06049092	0.05751558	0.057469048	0.05495575	0.055551123	0.056760006	0.05528414	0.05354766	0.0519583	0.051165137	0.051422436	0.050486874	0.051214416	0.05003701	0.050452475	0.04924948	0.04886637	0.047554053	0.04939593	0.046641823	0.04785119	0.047575623	0.04696875	0.046954505	0.045526274	0.04693728	0.04614489	0.046188757	0.046657175	0.046392787	0.04758966	0.047280908	0.047743205	0.04895184	0.047961164	0.048677526	0.04931319	0.05030435	0.050517023	0.050721623	0.051211074	0.04962643	0.050106548	0.049065657	0.048210107	0.04929683	0.048993323	0.048750017	0.049249467	0.04809684	0.05013005	0.04909136	0.048063748	0.04948959	0.04735917	0.045822285	0.046437442	0.04601731	0.047453575	0.047292303	0.04912738	0.050356343	0.049545515	0.04890735	0.04649914	0.04892842	0.054853484	0.06076157	0.059125658	0.053998232	0.046173844	0.04391656	0.042708416	0.04228275	0.04097486	0.04175176	0.04100601	0.040389586	0.041630335	0.040734038	0.042798508	0.04190038	0.0404829	0.04114916	0.042785775	0.04217818	0.041710008	0.042506877	0.042594966	0.04195776	0.04144859	0.041566264	0.04087128	0.04114163	0.041111853	0.03940405	0.04023829	0.039390437	0.039833914	0.040988524	0.04189383	0.040702246	0.039847612	0.040105823	0.039284337	0.038044948	0.03915414	0.038440324	0.038091876	0.038010642	0.037615605	0.038316905	0.037759125	0.03758594	0.035611175	0.036181945	0.03588266	0.034631822	0.035380203	0.033367373	0.03549639	0.034155115	0.034678012	0.033780556	0.034305755	0.034191694	0.032866795	0.03174989	0.030360816	0.028927892	0.028538914	0.028883178	0.028123641	0.028393665	0.027905934	0.027200019	0.026044669	0.025365688	0.025061188	0.023095954	0.022242574	0.022358842	0.023130955	0.02335387	0.02376806	0.023963429	0.024677733	0.02501599	0.023142258	0.023338418	0.022829985	0.023740353	0.02369629	0.02357395	0.023498893	0.02315195	0.02327682	0.022671638	0.02399709	0.022537919	0.023884147	0.023524957	0.02318704	0.0227189	0.02289021	0.022895595	0.022727644	0.021991797	0.02198859	0.021810023	0.021477604	0.021697728	0.020572325	0.021469861	0.020682722	0.020526761	0.020785931	0.02098783	0.020510344	0.02083765	0.020277921	0.020098507	0.019428823	0.020291895	0.0193845	0.019881746	0.019925995	0.019262299	0.018955907	0.019414289	0.018619457	0.019324044	0.019332984	0.018514123	0.01822862	0.018427735	0.018504394	0.018317474	0.018193522	0.017925922	0.018236807	0.018280042	0.019494178	0.020221613	0.020987734	0.019994052	0.01976922	0.018971007	0.018320736	0.018665642	0.017533723	0.017736442	0.017287236	0.017789548	0.017055068	0.017536381	0.01723127	0.016946252	0.017725268	0.017278947	0.017247794	0.017968908	0.017904866	0.017839924	0.017103694	0.017814787	0.018002165	0.016951414	0.017643478	0.01688286	0.017396381	0.01800423	0.017361585	0.017169697	0.016976327	0.016983535	0.017001534	0.017154194	0.01673985	0.016745694	0.01630148	0.016629962	0.016597588	0.016993925	0.016573811	0.01610366	0.016778547	0.016699001	0.016467683	0.016456602	0.01693406	0.016232913	0.016544055	0.016987842	0.01601888	0.017199606	0.016527863	0.016517758	0.016688231	0.016274849	0.017352099	0.016857577	0.01606294	0.01624746	0.016582087	0.01701202	0.016704442	0.01602169	0.016121982	0.015602421	0.015519008	0.016443796	0.016345324	0.016598726	0.016616456	0.016378768	0.015392846	0.015747488	0.016250452	0.015135712	0.014979926	0.015692716	0.0155511	0.016414255	0.016253058	0.016980369	0.01651208	0.016784307	0.016436419	0.017232563	0.017046617	0.016555456	0.016809631	0.016054759	0.016406462	0.015555393	0.015764557	0.016201288	0.015999926	0.017094025	0.017249089	0.017775906	0.01818015	0.017595068	0.017650597	0.017429505	0.016787792	0.01590814	0.01563763	0.015685378	0.016014684	0.016492313	0.015603119	0.015913164	0.016185079	0.016767696	0.016564801	0.01672702	0.016718734	0.016511656	0.017402472	0.017446188	0.017171849	0.018490037	0.018839026	0.02015047	0.018790867	0.016801232	0.01574929	0.016496262	0.017789783	0.018668428	0.018338343	0.01940497	0.019818034	0.020270107	0.020982075	0.02017493	0.020103576	0.020311994	0.020551007	0.020095676	0.020219289	0.019613523	0.0181817	0.019060083	0.019341994	0.019625861	0.019309683	0.018285522	0.019258058	0.01934158	0.020464236	0.020371955	0.0194343	0.02037	0.020518279	0.019778993	0.019964628	0.019028375	0.019303929	0.017572483	0.0152811445	0.0118575785	0.008442151	0.006667996	0.00673829	0.007497037	0.008221515	0.0094857635	0.0112020355	0.012046511	0.010853267	0.011239707	0.012650851	0.014543841	0.014754161	0.01575569	0.017936496	0.02125266	0.022730362	0.023755085	0.02411307	0.024697758	0.025274577	0.02624968	0.02482163	0.025182694	0.023647496	0.02345858	0.02353195	0.022113366	0.021221856	0.02048978	0.02014356	0.018978471	0.018310629	0.017436251	0.01607129	0.0149425	0.012144209	0.009084696	0.0075342483	0.0076701865	0.007837223	0.009477449	0.010854307	0.012451436	0.013423801	0.012216378	0.010655465	0.009545507	0.009839666	0.011314276	0.012763953	0.012553132	0.011033844	0.009601081	0.01032285	0.012802483	0.014533771	0.015208721	0.013351328	0.0111659765	0.009635898	0.009385958	0.010334519	0.0125379255	0.0142416125	0.016020754	0.01777328	0.02023863	0.021364892	0.021232368	0.021364562	0.02181228	0.022608362	0.021928594	0.021144925	0.02036004	0.021169418	0.024704685	0.024860052	0.023729967	0.023220772	0.023171984	0.022038015	0.02097227	0.021859651	0.023533558	0.02588826	0.027386192	0.029117247	0.029088318	0.029113082	0.028935049	0.026703456	0.025692614	0.023176828	0.022814142	0.021296168	0.021171628	0.019783134	0.016240004	0.01489288	0.012663319	0.013456455	0.01662663	0.01897184	0.021141108	0.02032409	0.01828974	0.016237093	0.0141273225	0.014579278	0.016804108	0.020218354	0.023361979	0.026633957	0.022980776	0.020006645	0.022855371	0.028004382	0.030343274	0.030506058	0.028767947	0.0286488	0.027745938	0.02656298	0.024514394	0.020649344	0.017859705	0.016572991	0.018261407	0.020030573	0.020798873	0.021316523	0.019962972	0.018605914	0.016833777	0.012534778	0.011602852	0.012726646	0.014383322	0.017193714	0.020095162	0.019593518	0.016777992	0.01258973	0.011924411	0.0135828955	0.015680067	0.016887419	0.021399735	0.021871148	0.022671364	0.02282052	0.024347177	0.023063963	0.02306031	0.022967163	0.025529986	0.024675617	0.022421027	0.020105744	0.020931304	0.017198514	0.012432433	0.011029928	0.012316661	0.014065509	0.015902672	0.018381072	0.020112116	0.022754755	0.02616023	0.026571162	0.028310053	0.028138582	0.034124784	0.03216889	0.02971128	0.027068378	0.027393196	0.030699924	0.031302016	0.03348459	0.03502665	0.03441355	0.03509906	0.03342477	0.03199734	0.02408984	0.01673127	0.014360955	0.015544597	0.020731812	0.02412224	0.029898232	0.034528464	0.038669094	0.036999803	0.037833992	0.039566197	0.03951097	0.04160989	0.042258747	0.042589363	0.043721016	0.04093694	0.041569524	0.04596542	0.047958266	0.04159332	0.03893983	0.042414054	0.04637297	0.04297423	0.04574801	0.04040732	0.041724313	0.041203592	0.038009163	0.027477253	0.021429667	0.022364968	0.029395763	0.040931787	0.05118829	0.053161148	0.055998277	0.0510217	0.049419887	0.05052176	0.051881023	0.04971776	0.044706877	0.03419444	0.028288314	0.027252331	0.027583025	0.02995988	0.032806262	0.034547377	0.036005966	0.035401132	0.042654675	0.04616782	0.04746752	0.055415574	0.051455505	0.049013533	0.044304002	0.03760795	0.025730403	0.019999707	0.01945543	0.024428098	0.031109866	0.040843017	0.046253208	0.047821816	0.05208144	0.057567745	0.054040264	0.06122617	0.05776693	0.065731	0.07123327	0.07169775	0.070194	0.06869768	0.06867813	0.05696708	0.043017626	0.036421947	0.03852141	0.04284148	0.05120308	0.06090798	0.06606998	0.067887574	0.07942364	0.08812845	0.08735749	0.0852396	0.08645601	0.08472855	0.09670263	0.08700473	0.094896756	0.09016337	0.08410331	0.07196726	0.06805063	0.07638163	0.08396577	0.092404895	0.10612006	0.105721325	0.123556904	0.12814778	0.12529127	0.125613	0.11739063	0.1399468	0.12967607	0.14115947	0.1245926	0.14666833	0.119865954	0.119904526	0.10940964	0.09312258	0.13421752	0.18081851	0.2490856	0.38204694
