#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
2.88551e-09	3.8147e-16	4.06222e-25	1.95312e-08	3.08816e-08	1.96316e-08	2.98741e-08
1.64486e-09	9.53674e-17	8.60167e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
4.22816e-09	8.58307e-16	1.8222e-24	2.92969e-08	4.36732e-08	2.04851e-08	4.26773e-08
3.62653e-09	5.72205e-16	8.49536e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.37339e-09	1.90735e-16	2.45732e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
1.94983e-09	9.53674e-17	9.97275e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.55686e-09	4.76837e-16	6.61495e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
3.14916e-09	8.58307e-16	9.09461e-25	2.92969e-08	4.1432e-08	2.98741e-08	4.18238e-08
2.77429e-09	2.86102e-16	4.00988e-25	9.76562e-09	3.08816e-08	9.38902e-09	2.98741e-08
2.1199e-09	1.90735e-16	2.33226e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.12968e-09	1.90735e-16	1.95194e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
4.7007e-09	1.04904e-15	1.72406e-24	3.90625e-08	4.36732e-08	3.15812e-08	4.18238e-08
3.51402e-09	5.72205e-16	7.61401e-25	2.76214e-08	3.52105e-08	2.04851e-08	3.15812e-08
1.58342e-09	9.53674e-17	5.7439e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.25514e-09	4.76837e-16	5.84896e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
3.01034e-09	6.67572e-16	7.9866e-25	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
2.76547e-09	2.86102e-16	3.48609e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
1.18761e-09	9.53674e-17	2.94875e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
1.93385e-09	2.86102e-16	2.44423e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
2.00184e-09	3.8147e-16	4.80468e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
3.76732e-09	9.53674e-16	1.25163e-24	3.45267e-08	4.36732e-08	2.73135e-08	4.09703e-08
2.53878e-09	9.53674e-17	1.12772e-25	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.73324e-09	3.8147e-16	5.7513e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
3.53869e-09	1.14441e-15	1.35342e-24	3.90625e-08	4.36732e-08	2.8167e-08	4.18238e-08
3.05083e-09	7.62939e-16	9.55626e-25	2.92969e-08	4.02647e-08	2.30458e-08	4.01167e-08
3.92135e-09	7.62939e-16	8.59442e-25	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
2.31206e-09	9.53674e-17	9.92091e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.41424e-09	7.62939e-16	1.06814e-24	2.92969e-08	4.02647e-08	2.30458e-08	4.01167e-08
3.60888e-09	6.67572e-16	9.30557e-25	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
2.95828e-09	4.76837e-16	5.54724e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
4.04338e-09	9.53674e-16	1.56274e-24	2.92969e-08	4.88281e-08	2.30458e-08	4.86522e-08
2.03646e-09	9.53674e-17	8.46297e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
1.42173e-09	9.53674e-17	4.14965e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.0993e-09	4.76837e-16	6.81894e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
3.83116e-09	7.62939e-16	1.18796e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
1.66073e-09	1.90735e-16	1.39984e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.60546e-09	4.76837e-16	4.72931e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.9609e-09	7.62939e-16	1.09887e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
2.87085e-09	4.76837e-16	4.33223e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
3.0986e-09	5.72205e-16	7.05119e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
3.19394e-09	5.72205e-16	9.6084e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.45037e-09	9.53674e-17	1.09971e-25	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.04192e-09	3.8147e-16	3.80539e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
2.08864e-09	2.86102e-16	2.44818e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
2.42088e-09	1.90735e-16	2.0958e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
4.69777e-09	1.04904e-15	2.03253e-24	2.92969e-08	4.97951e-08	2.98741e-08	4.86522e-08
2.10912e-09	9.53674e-17	8.21776e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.84897e-09	7.62939e-16	9.84082e-25	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
2.09864e-09	9.53674e-17	9.27613e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.07443e-09	9.53674e-17	8.93203e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.30521e-09	6.67572e-16	9.12753e-25	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
2.48455e-09	2.86102e-16	2.83476e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
3.38444e-09	6.67572e-16	9.21178e-25	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
2.58055e-09	5.72205e-16	7.28266e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
