 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
31,0.0007,0,0.1175,0.6157,0.5011,0.0247,0.0404,0.0416,0.0212,84.8074,0.6298,0.0420,278,223,105.5241,0.0247,1.9681,0.5081,0.8035
32,0.0018,0,0.1696,0.8876,0.5079,0.0607,0.0360,0.0645,0.0364,176.4840,0.8056,0.0627,395,237,14.5345,0.0352,1.7721,0.5643,0.9383
33,0.0011,0,0.1246,1.6899,0.5326,0.0382,0.0360,0.0407,0.0356,40.6380,0.9194,0.0455,752,250,32.9052,0.0360,1.1423,0.8754,0.9395
34,0.0035,0,0.2278,0.3506,0.5461,0.0787,0.0517,0.0844,0.0532,176.0474,0.8551,0.0824,156,259,17.4472,0.0517,1.5851,0.6309,0.9641
35,0.0012,0,0.1299,1.9843,0.5618,0.0382,0.0360,0.0398,0.0372,165.1566,0.8652,0.0461,884,250,133.0251,0.0358,1.0704,0.9343,0.9293
36,0.0013,0,0.1376,0.2562,0.5663,0.0337,0.0449,0.0475,0.0352,85.1737,0.8720,0.0486,115,270,56.3099,0.0337,1.3516,0.7399,0.9489
37,0.0012,0,0.1254,3.2472,0.5820,0.0382,0.0337,0.0415,0.0356,10.6034,0.9283,0.0468,1445,272,35.2176,0.0337,1.1644,0.8588,0.9644
38,0.0008,0,0.1061,2.5730,0.5910,0.0292,0.0337,0.0353,0.0293,109.5963,0.9076,0.0382,1148,263,118.0725,0.0292,1.2069,0.8286,0.9388
39,0.0031,0,0.2119,1.3865,0.6090,0.0652,0.0539,0.0688,0.0572,175.6062,0.8651,0.0734,618,274,139.9697,0.0539,1.2018,0.8321,0.9592
40,0.0040,0,0.2378,1.2292,0.6157,0.0764,0.0607,0.0789,0.0638,179.2790,0.8783,0.0818,547,295,20.9245,0.0607,1.2373,0.8082,0.9584
41,0.0016,0,0.1503,1.6809,0.6157,0.0449,0.0427,0.0488,0.0407,166.1675,0.8684,0.0536,748,277,146.9761,0.0427,1.1985,0.8344,0.9464
42,0.0005,0,0.0932,0.9101,0.6180,0.0360,0.0225,0.0340,0.0189,2.1728,0.7312,0.0371,405,281,14.0362,0.0225,1.7980,0.5562,0.8230
43,0.0024,0,0.1855,1.7371,0.6180,0.0539,0.0539,0.0564,0.0552,48.1545,0.8930,0.0630,773,295,34.8245,0.0531,1.0212,0.9792,0.9462
44,0.0034,0,0.2201,3.0944,0.6337,0.0697,0.0562,0.0736,0.0584,171.9646,0.8764,0.0773,1378,285,144.4623,0.0559,1.2607,0.7932,0.9571
45,0.0010,0,0.1431,0.9865,0.6494,0.0360,0.0360,0.0380,0.0325,98.2448,0.5946,0.0445,439,291,135.0000,0.0360,1.1671,0.8568,0.8312
46,0.0033,0,0.2182,0.1596,0.6607,0.0584,0.0652,0.0689,0.0613,86.2948,0.8754,0.0751,73,295,128.9275,0.0578,1.1249,0.8890,0.9570
47,0.0006,0,0.1053,2.3326,0.6607,0.0360,0.0247,0.0375,0.0206,11.2145,0.6864,0.0393,1038,305,30.9638,0.0237,1.8238,0.5483,0.8136
48,0.0010,0,0.1125,3.0247,0.6742,0.0337,0.0337,0.0362,0.0339,60.4160,0.9585,0.0398,1347,313,42.7094,0.0337,1.0675,0.9368,0.9502
49,0.0020,0,0.1714,2.9326,0.6764,0.0539,0.0449,0.0559,0.0462,174.9035,0.8681,0.0603,1305,319,26.5651,0.0447,1.2098,0.8266,0.9448
50,0.0007,0,0.1111,2.3303,0.6876,0.0360,0.0270,0.0378,0.0242,172.5493,0.7296,0.0393,1038,306,149.0362,0.0266,1.5635,0.6396,0.8452
51,0.0025,0,0.1931,1.1303,0.7011,0.0607,0.0517,0.0614,0.0515,175.0584,0.8371,0.0664,503,330,23.9625,0.0495,1.1908,0.8398,0.9318
52,0.0017,0,0.1548,2.3326,0.7169,0.0494,0.0404,0.0517,0.0415,12.7788,0.8849,0.0567,1039,336,33.6901,0.0404,1.2462,0.8025,0.9422
53,0.0017,0,0.1561,1.6584,0.7303,0.0472,0.0427,0.0491,0.0440,41.4327,0.8752,0.0562,739,343,36.8699,0.0427,1.1178,0.8946,0.9465
54,0.0022,0,0.1746,3.0517,0.7393,0.0494,0.0517,0.0567,0.0494,62.9882,0.9055,0.0625,1358,349,37.6942,0.0484,1.1484,0.8708,0.9539
55,0.0034,0,0.2209,1.3528,0.7506,0.0629,0.0607,0.0676,0.0649,10.5251,0.8872,0.0773,602,356,35.5377,0.0607,1.0415,0.9602,0.9681
56,0.0025,0,0.1899,0.3775,0.7753,0.0584,0.0517,0.0613,0.0514,2.7395,0.8618,0.0656,171,365,38.0470,0.0517,1.1935,0.8379,0.9478
57,0.0017,0,0.1503,1.1101,0.8112,0.0449,0.0427,0.0466,0.0451,0.7199,0.9190,0.0513,494,374,28.8108,0.0427,1.0318,0.9692,0.9534
58,0.0013,0,0.1357,0.9124,0.8202,0.0315,0.0449,0.0488,0.0329,83.8743,0.8616,0.0499,406,384,54.1623,0.0315,1.4824,0.6746,0.9542
59,0.0011,0,0.1259,2.1978,0.8337,0.0404,0.0337,0.0434,0.0322,11.2735,0.8683,0.0474,978,384,31.4296,0.0330,1.3474,0.7422,0.9254
60,0.0005,0,0.1021,3.1798,0.8360,0.0337,0.0225,0.0344,0.0187,3.9107,0.6082,0.0372,1415,382,25.0169,0.0225,1.8355,0.5448,0.7576
61,0.0021,0,0.1741,2.8764,0.8427,0.0539,0.0449,0.0572,0.0469,178.9907,0.8734,0.0611,1281,392,36.0274,0.0449,1.2208,0.8191,0.9510
62,0.0024,0,0.1860,0.4584,0.8584,0.0629,0.0472,0.0663,0.0469,167.2562,0.8860,0.0676,204,389,158.5523,0.0462,1.4135,0.7075,0.9517
63,0.0022,0,0.1772,1.8337,0.8584,0.0472,0.0539,0.0591,0.0477,74.2901,0.8868,0.0639,817,405,50.7106,0.0459,1.2380,0.8078,0.9554
64,0.0026,0,0.1894,1.9820,0.8652,0.0607,0.0472,0.0646,0.0503,176.2142,0.8933,0.0667,883,388,147.3808,0.0472,1.2835,0.7791,0.9619
65,0.0010,0,0.1566,2.1910,0.8876,0.0584,0.0337,0.0567,0.0227,11.0872,0.5174,0.0618,975,410,19.0935,0.0301,2.4981,0.4003,0.7273
66,0.0015,0,0.1873,0.0360,0.8921,0.0539,0.0427,0.0462,0.0415,53.6083,0.5390,0.0603,16,413,26.5651,0.0427,1.1118,0.8994,0.7720
67,0.0007,0,0.1180,2.9618,0.9011,0.0404,0.0270,0.0394,0.0211,160.2416,0.5875,0.0422,1318,405,154.7989,0.0247,1.8681,0.5353,0.7633
68,0.0010,0,0.1738,2.1978,0.9079,0.0539,0.0404,0.0514,0.0256,30.4893,0.4305,0.0611,979,420,36.0274,0.0338,2.0075,0.4981,0.6868
69,0.0029,0,0.2055,1.3258,0.9258,0.0652,0.0494,0.0708,0.0525,174.6927,0.8684,0.0729,591,414,146.3099,0.0494,1.3486,0.7415,0.9649
70,0.0008,0,0.1233,2.9596,0.9303,0.0404,0.0247,0.0436,0.0236,2.0550,0.6678,0.0443,1317,422,23.9625,0.0247,1.8445,0.5421,0.8421
71,0.0028,0,0.2132,0.6517,0.9326,0.0742,0.0427,0.0783,0.0456,178.1749,0.7749,0.0785,290,430,23.6294,0.0427,1.7179,0.5821,0.9503
72,0.0006,0,0.1109,0.3258,0.9461,0.0427,0.0292,0.0465,0.0170,151.6174,0.6345,0.0463,145,424,157.1663,0.0196,2.7348,0.3657,0.8311
73,0.0021,0,0.1812,1.9101,0.9933,0.0607,0.0404,0.0639,0.0428,172.5853,0.8215,0.0675,850,444,150.0184,0.0404,1.4931,0.6697,0.9487
74,0.0013,0,0.1336,3.2382,1.0000,0.0382,0.0404,0.0413,0.0394,113.9528,0.8994,0.0463,1443,446,129.0939,0.0382,1.0490,0.9533,0.9336
75,0.0014,0,0.1482,0.5910,1.0157,0.0472,0.0360,0.0461,0.0374,5.7235,0.7745,0.0505,263,465,20.8545,0.0360,1.2348,0.8099,0.9024
76,0.0026,0,0.1939,2.2944,1.0472,0.0629,0.0472,0.0663,0.0492,175.7802,0.8575,0.0679,1023,467,145.7843,0.0467,1.3467,0.7426,0.9486
77,0.0013,0,0.1317,0.6517,1.0539,0.0360,0.0404,0.0434,0.0380,81.3576,0.9396,0.0463,292,486,50.9061,0.0360,1.1417,0.8759,0.9644
78,0.0019,0,0.1754,3.1146,1.0607,0.0629,0.0360,0.0660,0.0368,177.4116,0.7799,0.0654,1386,484,15.9454,0.0360,1.7919,0.5581,0.9356
79,0.0041,0,0.2450,1.8000,1.0697,0.0831,0.0584,0.0867,0.0602,171.8232,0.8586,0.0875,803,480,150.8025,0.0579,1.4405,0.6942,0.9575
80,0.0015,0,0.1465,3.2674,1.0697,0.0449,0.0382,0.0477,0.0404,177.1391,0.8865,0.0524,1454,490,30.9638,0.0382,1.1815,0.8464,0.9509
81,0.0012,0,0.1252,3.1888,1.0719,0.0382,0.0382,0.0399,0.0369,26.8914,0.9276,0.0436,1420,492,34.5085,0.0382,1.0797,0.9262,0.9328
82,0.0012,0,0.1291,0.8607,1.0989,0.0360,0.0404,0.0426,0.0364,113.6805,0.9174,0.0474,384,489,121.4296,0.0360,1.1704,0.8544,0.9526
83,0.0013,0,0.1344,2.4315,1.1034,0.0360,0.0404,0.0433,0.0374,74.1810,0.8856,0.0481,1083,508,52.5946,0.0360,1.1573,0.8641,0.9474
84,0.0027,0,0.1944,3.0562,1.1034,0.0517,0.0607,0.0658,0.0529,73.7464,0.9080,0.0692,1362,517,54.2461,0.0511,1.2439,0.8039,0.9635
85,0.0023,0,0.1823,0.7640,1.1213,0.0629,0.0427,0.0666,0.0435,2.1322,0.8614,0.0685,340,515,23.1986,0.0424,1.5292,0.6539,0.9495
86,0.0022,0,0.1759,2.5258,1.1528,0.0472,0.0539,0.0569,0.0497,94.3243,0.9022,0.0617,1127,513,123.1113,0.0472,1.1451,0.8733,0.9565
