#	z_max	r_eq	V_L
6.13747e-09	3.25956e-08	9.93684e-24
2.93856e-09	1.10193e-08	3.46106e-25
5.62755e-09	3.3058e-08	1.02213e-23
6.95463e-09	2.464e-08	5.49977e-24
4.83202e-09	1.74231e-08	2.98531e-24
8.27913e-09	2.33755e-08	5.96081e-24
5.58332e-09	2.96704e-08	4.37538e-24
1.26981e-08	3.93469e-08	2.07257e-23
5.21872e-09	2.96704e-08	6.63262e-24
4.39477e-09	1.55837e-08	2.07312e-24
1.29076e-08	2.91544e-08	8.34189e-24
3.14349e-09	7.79184e-09	1.22786e-25
9.42004e-09	3.25956e-08	1.19953e-23
2.28842e-10	5.50966e-09	-2.533e-27
5.08373e-09	4.26777e-08	2.00963e-23
8.75786e-09	2.80939e-08	8.49676e-24
6.14743e-09	2.86291e-08	7.7881e-24
4.4844e-09	5.50966e-09	9.11582e-26
5.77277e-09	2.86291e-08	6.10443e-24
4.74889e-09	2.58426e-08	5.98486e-24
5.49908e-09	5.50966e-09	1.85966e-26
7.24646e-09	3.16506e-08	9.66136e-24
2.97348e-09	7.79184e-09	6.25683e-26
4.23657e-09	5.50966e-09	3.21726e-26
3.58502e-09	1.45772e-08	9.30799e-25
7.97331e-09	3.11674e-08	8.76828e-24
-2.53317e-10	5.50966e-09	-6.95801e-26
4.95515e-09	2.40161e-08	4.91288e-24
7.24149e-09	2.33755e-08	4.55928e-24
8.91028e-09	2.96704e-08	8.16716e-24
6.07411e-09	3.06765e-08	8.22595e-24
1.1054e-08	3.93469e-08	1.8487e-23
4.81188e-09	9.54302e-09	-4.76278e-26
4.55435e-09	2.464e-08	3.28524e-24
5.11697e-09	1.34959e-08	2.88545e-25
4.61108e-09	2.27169e-08	3.84848e-24
3.98329e-09	2.13388e-08	2.96362e-24
5.4179e-09	2.75483e-08	4.39766e-24
5.24004e-09	2.40161e-08	1.30245e-24
4.46113e-09	1.82735e-08	2.40743e-24
6.78237e-09	3.73684e-08	1.32844e-23
7.61212e-09	2.75483e-08	6.60937e-24
5.37434e-09	3.21266e-08	8.91612e-24
4.77267e-09	2.64234e-08	4.92345e-24
4.41306e-09	1.9086e-08	2.60467e-24
4.4045e-09	1.6529e-08	1.57146e-24
4.89502e-09	2.80939e-08	6.88103e-24
4.69415e-09	2.86291e-08	5.87917e-24
5.66025e-09	2.75483e-08	4.7938e-24
8.8667e-09	2.91544e-08	9.01838e-24
3.25181e-09	1.34959e-08	6.47393e-25
6.20531e-09	2.80939e-08	7.51474e-24
6.9812e-09	2.96704e-08	8.17428e-24
7.05947e-09	3.73684e-08	1.56334e-23
4.51968e-09	2.75483e-08	4.92505e-24
6.08312e-09	2.464e-08	5.27256e-24
1.56516e-08	4.57667e-08	3.36692e-23
6.86812e-09	3.3058e-08	1.07052e-23
2.05277e-08	5.01954e-08	5.29318e-23
1.157e-08	3.39638e-08	1.25182e-23
3.63301e-09	5.50966e-09	3.92041e-26
5.44538e-09	3.21266e-08	9.94238e-24
9.78173e-09	3.81721e-08	1.71773e-23
9.84596e-09	3.01777e-08	1.23722e-23
9.44953e-09	3.25956e-08	1.07589e-23
5.72574e-09	2.40161e-08	5.79535e-24
6.65315e-09	3.16506e-08	9.36075e-24
4.09185e-09	2.64234e-08	5.33292e-24
1.18024e-08	4.0111e-08	2.23257e-23
3.93722e-09	1.74231e-08	1.60271e-24
5.55075e-09	2.20387e-08	4.14624e-24
1.41108e-08	3.11674e-08	8.26069e-24
3.55347e-09	2.13388e-08	1.65726e-24
6.27437e-09	3.48462e-08	8.84757e-24
8.08358e-09	4.04876e-08	1.39497e-23
6.36838e-09	3.25956e-08	6.53214e-24
7.98808e-09	3.21266e-08	1.05434e-23
6.50754e-09	2.40161e-08	4.7591e-24
3.25513e-09	7.79184e-09	1.25175e-25
4.4363e-09	2.40161e-08	4.10127e-24
5.0123e-09	3.39638e-08	9.78136e-24
1.32207e-08	3.97308e-08	2.1448e-23
4.87773e-09	2.52485e-08	5.49193e-24
8.41712e-09	3.39638e-08	1.26282e-23
6.35405e-09	3.3058e-08	8.66552e-24
5.42859e-09	2.58426e-08	5.48298e-24
4.44893e-09	1.74231e-08	1.73192e-24
5.04262e-09	2.13388e-08	3.65102e-24
5.23873e-09	3.48462e-08	1.23579e-23
1.08517e-08	3.06765e-08	1.37998e-23
7.57614e-09	4.37316e-08	2.63588e-23
6.05094e-09	2.58426e-08	5.80366e-24
7.3468e-09	3.16506e-08	9.07189e-24
7.12633e-09	2.33755e-08	4.88072e-24
8.28965e-09	3.25956e-08	1.14663e-23
9.38028e-09	3.61293e-08	1.53646e-23
1.31772e-08	3.44078e-08	1.42527e-23
1.11211e-08	5.13907e-08	4.33892e-23
5.00356e-09	2.13388e-08	3.5566e-24
7.19819e-09	2.86291e-08	8.39872e-24
9.20405e-09	2.86291e-08	7.97757e-24
6.18229e-09	3.21266e-08	7.06848e-24
5.79118e-09	3.25956e-08	9.28959e-24
3.94839e-09	1.98654e-08	2.47794e-24
4.07086e-09	2.20387e-08	3.63817e-24
5.56559e-09	3.16506e-08	8.31273e-24
7.53962e-09	2.75483e-08	7.23126e-24
4.56684e-09	2.27169e-08	3.59739e-24
6.37289e-09	3.57067e-08	1.16366e-23
5.38211e-09	2.20387e-08	4.31985e-24
1.08416e-08	4.47607e-08	2.10736e-23
8.44537e-09	2.96704e-08	7.48577e-24
1.04564e-08	3.16506e-08	9.74641e-24
8.60572e-09	3.11674e-08	8.51975e-24
5.33249e-09	2.64234e-08	4.97098e-24
1.05685e-08	3.01777e-08	8.21252e-24
9.871e-09	2.86291e-08	7.31603e-24
6.8522e-09	3.01777e-08	8.58629e-24
3.28611e-09	1.10193e-08	4.4801e-25
3.71357e-09	7.79184e-09	1.80483e-25
2.85219e-09	1.10193e-08	2.39957e-25
5.7835e-09	3.01777e-08	7.04688e-24
3.40452e-09	1.232e-08	5.19257e-25
4.83228e-09	2.13388e-08	3.60724e-24
9.46954e-09	3.44078e-08	1.08761e-23
5.18176e-09	3.3514e-08	8.62301e-24
1.14654e-08	3.93469e-08	2.07292e-23
4.51508e-09	1.98654e-08	3.47631e-24
7.47208e-09	3.3058e-08	1.02792e-23
6.79776e-09	3.69599e-08	1.24941e-23
2.93083e-09	1.34959e-08	4.68967e-25
1.00426e-08	2.91544e-08	8.0639e-24
5.33145e-09	2.06153e-08	3.80068e-24
7.07483e-09	4.50985e-08	2.74162e-23
6.50406e-09	3.01777e-08	1.02333e-23
9.72782e-09	5.34182e-08	4.54912e-23
1.21494e-08	3.97308e-08	1.92015e-23
4.91332e-09	2.06153e-08	3.29555e-24
9.8357e-09	2.58426e-08	6.19744e-24
9.257e-09	2.69917e-08	6.86054e-24
4.30427e-09	2.64234e-08	4.53273e-24
4.58961e-09	2.40161e-08	5.06406e-24
5.07421e-09	2.33755e-08	5.10734e-24
4.96133e-09	2.58426e-08	5.30585e-24
3.77295e-09	1.34959e-08	9.71763e-25
6.37425e-09	4.54339e-08	2.51207e-23
3.17392e-09	1.45772e-08	7.85506e-25
5.51278e-09	3.48462e-08	1.16708e-23
6.11991e-09	2.52485e-08	5.83712e-24
4.28561e-09	2.13388e-08	3.49015e-24
8.01144e-09	3.25956e-08	1.14954e-23
6.53157e-09	2.75483e-08	7.35642e-24
7.64755e-09	3.16506e-08	9.17242e-24
5.54373e-09	3.52791e-08	1.13646e-23
7.41852e-09	3.3058e-08	9.01458e-24
4.04296e-09	2.33755e-08	4.39375e-24
5.83219e-09	3.48462e-08	9.81855e-24
6.15668e-09	3.39638e-08	8.3082e-24
8.28075e-09	3.06765e-08	8.75721e-24
7.29334e-09	3.44078e-08	1.14966e-23
7.37297e-09	3.11674e-08	9.12428e-24
4.54693e-09	1.82735e-08	2.34481e-24
1.01959e-08	3.11674e-08	9.36169e-24
4.90108e-09	3.3514e-08	8.7895e-24
3.62001e-09	7.79184e-09	1.58496e-25
4.65369e-09	2.64234e-08	5.80481e-24
3.59253e-09	5.50966e-09	7.93581e-26
7.55365e-09	3.11674e-08	9.44288e-24
4.79087e-09	2.80939e-08	7.07292e-24
4.7483e-09	2.96704e-08	6.73597e-24
7.48797e-09	3.39638e-08	9.51059e-24
4.7352e-09	2.27169e-08	4.45652e-24
9.8048e-09	2.96704e-08	8.34174e-24
4.19396e-09	2.75483e-08	4.86934e-24
5.41493e-09	3.3058e-08	7.61804e-24
4.00644e-09	1.98654e-08	2.638e-24
9.52311e-09	3.57067e-08	1.42085e-23
6.89154e-09	3.3514e-08	9.08338e-24
5.82846e-09	2.52485e-08	4.68598e-24
7.86636e-09	3.3514e-08	1.12794e-23
9.48526e-09	4.0111e-08	1.85111e-23
5.58056e-09	2.33755e-08	4.96292e-24
8.20795e-09	3.3058e-08	1.19082e-23
3.92256e-09	1.98654e-08	2.59369e-24
4.71195e-09	2.80939e-08	5.88889e-24
2.81717e-09	5.50966e-09	1.50944e-26
8.30431e-09	2.96704e-08	8.64567e-24
2.68725e-09	5.50966e-09	1.98269e-26
5.23688e-09	3.11674e-08	8.55062e-24
1.01136e-08	3.44078e-08	1.36998e-23
4.8425e-09	3.01777e-08	7.92201e-24
9.38825e-09	2.86291e-08	8.84873e-24
4.61454e-09	1.98654e-08	3.18127e-24
4.41114e-09	2.58426e-08	5.30308e-24
5.28236e-09	3.3058e-08	9.51585e-24
1.41615e-08	3.52791e-08	1.64254e-23
7.98794e-09	3.06765e-08	1.00198e-23
5.37699e-09	2.91544e-08	5.81078e-24
3.59084e-09	1.6529e-08	1.48121e-24
6.66131e-09	3.01777e-08	7.9924e-24
9.0972e-09	2.69917e-08	6.73379e-24
3.9608e-09	2.06153e-08	3.1978e-24
6.95702e-09	3.52791e-08	1.02274e-23
1.5009e-08	4.23205e-08	2.24366e-23
5.42884e-09	2.86291e-08	5.48795e-24
1.32248e-08	3.89592e-08	1.93717e-23
4.30426e-09	2.20387e-08	3.82581e-24
6.25746e-09	2.58426e-08	5.8384e-24
1.39459e-08	3.81721e-08	1.83964e-23
1.08607e-08	3.3058e-08	1.31745e-23
4.88295e-09	2.86291e-08	6.51279e-24
4.75657e-09	2.52485e-08	5.77395e-24
9.14824e-09	3.48462e-08	1.29101e-23
3.29533e-09	1.10193e-08	3.93175e-25
3.57728e-09	7.79184e-09	1.99137e-25
