#Acq. time (s)=	15
#Accumulations=	2
#Range (cm-¹)=	10...600
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	Best Dynamic Range
#Detector ADC=	45 kHz       
#Detector temperature (°C)=	-60.1
#Instrument=	LabRAM Soleil
#Detector=	Syncerity
#Objective=	100x BD
#Grating=	1800 (500nm)
#ND Filter=	10% (6.0mW)
#Laser=	532nm_Edge
#Hole (µm)=	50 
#Laser mode=	Low frequency
#E-Cal_Neon=	0
#StageXY=	QScan
#StageZ=	Marzhauser
#X (µm)=	-1006.3
#Y (µm)=	2788.45
#Z (µm)=	0
#Spectral res.(cm-¹)=	2.7
#Full time(s)=	36
#AC=	Calibrated 2026-06-13 10:52
#Project=	Raman_Soleil-MBE2-260612C-EW
#Sample=	
#Site=	
#Title=	_10_59_40_2026_06_13_2_15 s_532nm_Edge_1800 (500nm)_100x BD_50 µm_10% (6_0mW)_
#Remark=	
#Date=	13.06.2026 10:59
#Acquired=	13.06.2026 10:59:58
#AxisType[0]=Intens
#AxisUnit[0]=Cnt
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
11.7768	246
13.0146	250
14.25	190
15.4853	132
16.7205	138
17.9554	134
19.1902	128
20.4249	166
21.6593	198
22.8937	314
24.1278	420
25.3596	536
26.5935	602
27.8271	668
29.0606	836
30.294	1120
31.525	1614
32.758	2236
33.9909	2156
35.2214	1186
36.454	590
37.6863	450
38.9164	398
40.1485	402
41.3782	420
42.6099	432
43.8393	442
45.0707	506
46.2998	500
47.5288	470
48.7597	500
49.9883	496
51.2167	494
52.4472	572
53.6753	614
54.9033	652
56.1311	692
57.3587	712
58.5883	742
59.8157	838
61.0428	930
62.2698	1002
63.4967	1066
64.7233	1146
65.9499	1284
67.1762	1480
68.4024	1688
69.6263	2054
70.8522	2460
72.0779	2458
73.3035	1728
74.5289	1082
75.752	862
76.977	752
78.2019	742
79.4267	714
80.6491	692
81.8736	738
83.0957	766
84.3198	816
85.5416	782
86.7654	812
87.9869	860
89.2104	902
90.4316	954
91.6547	1046
92.8756	1078
94.0963	1130
95.319	1210
96.5394	1270
97.7596	1282
98.9796	1284
100.202	1358
101.421	1358
102.641	1276
103.86	1248
105.08	1176
106.299	1158
107.518	1134
108.737	1088
109.955	1066
111.174	1010
112.392	1020
113.61	1056
114.828	950
116.046	1004
117.261	1028
118.479	960
119.696	1020
120.914	954
122.128	964
123.345	952
124.562	926
125.777	888
126.993	834
128.207	816
129.423	772
130.637	668
131.853	652
133.066	570
134.282	506
135.495	506
136.708	460
137.923	428
139.136	424
140.348	394
141.563	374
142.775	364
143.987	326
145.199	332
146.411	312
147.622	332
148.834	352
150.045	360
151.256	408
152.467	436
153.678	508
154.888	548
156.099	502
157.309	470
158.519	410
159.73	372
160.939	306
162.147	328
163.357	288
164.566	278
165.773	276
166.982	272
168.191	260
169.398	234
170.606	234
171.813	226
173.021	234
174.227	246
175.435	228
176.641	228
177.848	226
179.054	234
180.259	254
181.466	242
182.671	246
183.876	244
185.081	220
186.285	246
187.491	252
188.696	222
189.9	248
