#	z_max	r_eq	V_L
4.08639e-09	3.06765e-08	4.66874e-24
9.01769e-09	7.2886e-08	9.59301e-23
1.34906e-08	6.42532e-08	6.70658e-23
3.72623e-09	2.40161e-08	3.8179e-24
8.46668e-09	5.56449e-08	4.27815e-23
6.89292e-09	5.83088e-08	3.97332e-23
7.70439e-09	5.07966e-08	3.02906e-23
3.46928e-09	2.80939e-08	4.42853e-24
1.24538e-08	8.84983e-08	1.45361e-22
9.72102e-09	6.90359e-08	6.92754e-23
4.6164e-09	4.30319e-08	1.19723e-23
1.12843e-08	6.5886e-08	6.76043e-23
6.93066e-09	4.33831e-08	2.08299e-23
5.02144e-09	4.80321e-08	1.45631e-23
7.06608e-09	5.25588e-08	3.09984e-23
7.68058e-09	6.35405e-08	4.81539e-23
3.60986e-09	3.73684e-08	9.8181e-24
1.08921e-08	6.96923e-08	9.04908e-23
8.0037e-09	4.83471e-08	3.38956e-23
1.55708e-08	8.88407e-08	1.7045e-22
3.61982e-09	2.52485e-08	3.75559e-24
1.60814e-08	8.71154e-08	1.63228e-22
4.16346e-09	3.44078e-08	8.81808e-24
5.40084e-09	5.13907e-08	2.49982e-23
7.21524e-09	5.28468e-08	3.94317e-23
7.80584e-09	5.31333e-08	3.70921e-23
8.96774e-09	6.96923e-08	7.71706e-23
5.16039e-09	5.16852e-08	3.17579e-23
5.5199e-09	5.34182e-08	2.83548e-23
3.52579e-09	1.34959e-08	8.14308e-25
5.21725e-09	4.77151e-08	1.93034e-23
7.65732e-09	5.42639e-08	4.59769e-23
5.52472e-09	5.56449e-08	4.17315e-23
